dataset_id,short_name,authors,year_published,journal_or_source,doi_or_url,access_type,data_format,coverage_spatial,coverage_temporal,key_variables,notes
DS01,OECD-NEA Chernobyl Assessment,OECD Nuclear Energy Agency,2002,OECD-NEA Report,https://www.oecd-nea.org/jcms/pl_28292,Free/Online,HTML/PDF,Europe + FSU,1986–2001,Release fractions; dose estimates; deposition,Authoritative multi-chapter technical assessment; source term in Ch.II
DS02,Kashparov CEZ Spatial Datasets,Kashparov et al.,2018,Earth System Science Data Vol.10 pp.339-353,https://doi.org/10.5194/essd-10-339-2018,Open (OGL),CSV/ZIP,Ukrainian CEZ ~2598 km2,1987–2014,137Cs; 134Cs; 90Sr; 154Eu; Pu-238; Pu-239/240; hot particles; dose rates,6 sub-datasets; hosted at EIDC DOI 10.5285/782ec845-2135-4698-8881-b38823e533bf
DS03,Kashparov 60km Soil Survey 1987,Kashparov et al.,2020,Earth System Science Data Vol.12 pp.1861-1875,https://doi.org/10.5194/essd-12-1861-2020,Open (OGL),CSV,60km radius around ChNPP; 540 polar-grid sites,April-May 1987,Zr-95; Nb-95; Ru-106; Cs-134; Cs-137; Ce-144; dose rate; exchangeable Cs,489 usable samples; hosted at EIDC DOI 10.5285/a408ac9d-763e-4f4c-ba72-73bc2d1f596d
DS04,Evangeliou Airborne/Deposition DB,Evangeliou et al.,2016,Environmental Pollution Vol.216 pp.408-418,https://doi.org/10.1016/j.envpol.2016.05.080,Open (gridded),Gridded (0.01deg near CEZ; 0.1deg Europe),Europe + FSU,1986,Air: I-131 (2041 obs); Cs-134 (1927); Cs-137 (1601); Deposition: Cs-134 (2966); Cs-137 (11334),Primary data-rescue effort; 30-year data consolidation; publicly available gridded product
DS05,JRC Cs-137 Atlas,De Cort et al. (EC/JRC),1998,EUR 16733 EN (European Commission),https://remon.jrc.ec.europa.eu/Past-Activities/137Cs-ATLAS,Free/Online,Maps + data,Europe,Post-1986 deposition,Cs-137 deposition in kBq/m2; contamination zoning >40 kBq/m2 and >1480 kBq/m2,~100 color maps at 1:200k-1:10M; joint EC/CIS project
DS06,REMdb (JRC),European Commission JRC,1988-ongoing,JRC Data Catalogue,https://remon.jrc.ec.europa.eu/About/Environmental-Monitoring/REMdb,Query-based (free),Relational DB,EU Member States,1984–present,Air; soil; food; water radionuclide concentrations; >5 million records,Query tool at remon.jrc.ec.europa.eu; not a flat-file download; historical Chernobyl era data included
DS07,UNSCEAR 2008 Annex D,UN Scientific Committee on Effects of Atomic Radiation,2008,UNSCEAR 2008 Report Vol.II,https://www.unscear.org/unscear/uploads/documents/publications/UNSCEAR_2008_Annex-D-CORR.pdf,Free PDF,PDF/Tables,FSU + Global,1986–2005,Doses by population group; thyroid cancer incidence; liquidator health; cancer projections,Most scientifically rigorous epidemiological assessment; corrected version available
DS08,Chernobyl Forum Report,WHO/IAEA/UNDP/UNICEF,2005,Chernobyl Forum Synthesis Report,https://www.who.int/news/item/05-09-2005-chernobyl-the-true-scale-of-the-accident,Free PDF,PDF,FSU,1986–2005,Death toll; dose estimates; population health,Consensus UN report; ~4000 projected deaths; widely cited and criticized
DS09,TORCH Report,Ian Fairlie and David Sumner,2006,Commissioned by European Parliament Greens/EFA,https://www.greens-efa.eu/en/article/document/the-other-report-on-chernobyl-torch,Free PDF,PDF,Europe + FSU,1986–2056 (projected),Cancer deaths; thyroid cancer; dose projections,Independent assessment; estimates 30000-60000 excess cancer deaths; contrasts sharply with Forum
DS10,Bugai 35-yr Groundwater Monitoring,Bugai et al.,2022,Scientific Reports,https://doi.org/10.1038/s41598-022-22842-5,Free (OA),PDF + data,CEZ key aquifers,1986–2021,Sr-90; Cs-137; Pu; Am in groundwater; soil inventory,35-year dataset; confirms natural attenuation; 87 monitoring wells
DS11,Wildfire Resuspension 2015,Evangeliou et al.,2016,Scientific Reports 6 26062,https://doi.org/10.1038/srep26062,Free (OA),PDF,CEZ + Eastern Europe,2015,Cs-137; Sr-90; Pu-238/239/240; Am-241 resuspended; atmospheric transport,2015 April-May and August fires; FLEXPART atmospheric model used
DS12,Harvard MAPA Chornobyl Atlas,Ukrainian Research Institute (Harvard),2022-ongoing,MAPA Digital Atlas of Ukraine,https://www.gis.huri.harvard.edu/chornobyl,Free/Online,GIS/Web,Ukraine settlements,1986–present,Cs-137; Sr-90; I-131 zoning; thyroid doses by age/sex; population dynamics,Settlement-level data; good for demographic + dose correlation; not raw sensor data
DS13,INSAG-7 Safety Assessment,International Nuclear Safety Advisory Group,1992,IAEA Safety Series No.75-INSAG-7,https://www-pub.iaea.org/MTCD/Publications/PDF/Pub913e_web.pdf,Free PDF,PDF,ChNPP Unit 4,1986 accident sequence,Reactor design flaws; accident causation; operator actions; positive void coefficient,Revised the 1986 INSAG-1; acknowledged design deficiencies as primary cause
DS14,RNMDR Liquidator Registry,Russian National Medical and Dosimetric Registry,1999,OECD-NEA Ch.IV,https://www.oecd-nea.org/jcms/pl_28312,Partial (published data),Tables,Russia,1986–1999,Individual doses; medical outcomes; 174000 entries,Primary source for liquidator dose reconstruction; national registry data
DS15,Reference Site CEZ Radionuclide Data,Beresford et al.,2016,EIDC,https://www.data.gov.uk/dataset/87f1cf58-c443-4f19-be29-26d7ba38c8f7,Open (OGL),CSV,Single reference site CEZ,2014,Am-241; Pu-238; Pu-239/240; stable elements; vegetation and wildlife,Used for dose rate estimation in wildlife studies
DS16,Post-Chernobyl GB Radiocaesium Survey,Beresford et al.,2015,Earth System Science Data Vol.7 pp.215-227,https://essd.copernicus.org/articles/7/215/2015/,Open (OGL),CSV,Great Britain,1986–2013,Cs-137; Cs-134 in soil; vegetation; wildlife; fungi,Long-term UK monitoring; contamination persists in upland Wales/Scotland
