isotope,half_life,decay_type,core_inventory_PBq,released_PBq,release_fraction_pct_low,release_fraction_pct_high,release_fraction_pct_best,biological_significance,physical_note,primary_source
Xe-133,5.25d,beta+gamma,6500,6500,100,100,100,Low direct hazard; inert gas,Complete release; noble gas does not deposit,OECD-NEA Ch.II
Kr-85,10.76yr,beta+gamma,~33,~33,~100,~100,~100,Low direct hazard; inert gas,Near-complete release,OECD-NEA Ch.II
I-131,8.02d,beta+gamma,3200,1760,50,60,55,Thyroid dose driver; concentrated in milk,Volatile; long-range transport; primary source of early thyroid dose,OECD-NEA Ch.II; WNA
I-133,20.8h,beta+gamma,high,high,50,60,55,Short-lived thyroid irradiator,Deposited close to source; mostly decayed before reaching Western Europe,OECD-NEA Ch.II
Te-132,3.2d,beta+gamma,~2800,1150,25,60,41,Parent of I-132; volatile,Co-released with iodine; short-lived,OECD-NEA Ch.II
Cs-137,30.17yr,beta+gamma,~280,85,20,40,30,Long-term contamination; cesium behaves like potassium in biology,Primary long-term contamination marker; Cs-134/137 ratio fingerprints source,OECD-NEA Ch.II; WNA
Cs-134,2.06yr,beta+gamma,~180,54,~30,~30,~30,Same as Cs-137 but shorter-lived,Cs-134/Cs-137 activity ratio at release = 0.57 ± 0.07; used for source dating,Kashparov ESSD 2020 (ratio); OECD-NEA Ch.II (release)
Sr-89,50.5d,beta,~2000,115,~5.8,~5.8,~5.8,Bone-seeker; short-term dose contributor,Near-zone deposition dominant; decayed within ~1 year,OECD-NEA Ch.II
Sr-90,28.8yr,beta,~200,10,~5,~5,~5,Bone-seeker; pure beta; long-term hazard,Highly mobile in groundwater; primary long-term water contamination risk,OECD-NEA Ch.II; Bugai 2022
Ru-106,373d,beta+gamma,~2200,~73,~3,~4,~3.3,External dose contributor; moderate mobility,Detectable in European stations; decayed within ~5 years,OECD-NEA Ch.II
Zr-95,64d,beta+gamma,high,~84,~3,~4,~3.5,Fuel particle marker; near-zone deposition,Short-lived; used as fuel particle tracer in 1987 survey,Kashparov ESSD 2020
Nb-95,35d,beta+gamma,high,~80,~3,~4,~3.5,Daughter of Zr-95,Secular equilibrium with Zr-95 in samples,Kashparov ESSD 2020
Ce-144,284d,beta+gamma,high,~116,~3,~4,~3.5,Fuel particle marker,Ce-144/Zr-95 ratio = 0.73 ± 0.05 (R2=0.98) in 60km survey; fuel particle indicator,Kashparov ESSD 2020
Pu-238,87.7yr,alpha,~3,~0.015,~0.5,~0.5,~0.5,Alpha emitter; inhalation hazard (fuel particles),Heavy; deposits locally; present in hot particle dataset (Kashparov 2018),Kashparov ESSD 2018; Evangeliou 2016 wildfire
Pu-239,24100yr,alpha,~3,~0.003,~0.1,~0.1,~0.1,Alpha emitter; long-lived; ingestion/inhalation hazard,30km zone deposition >3.7 kBq/m2 in some areas; Am-241 ingrowth ~40 kBq/m2 at 30yr,Kashparov ESSD 2018
Pu-240,6561yr,alpha,~3,~0.003,~0.1,~0.1,~0.1,Alpha emitter; reported combined with Pu-239 as 239+240Pu,Co-deposited with Pu-239; ratio fingerprints reactor origin,Kashparov ESSD 2018
Am-241,432yr,alpha+gamma,negligible at accident,ingrowth product,,,,Alpha emitter; arises from Pu-241 decay; 59 keV gamma measurable,Ingrowth product; increasing over decades; ~40 kBq/m2 by 30 years post-accident where Pu >3.7 kBq/m2,Kashparov ESSD 2018
total_excluding_noble_gases,,,~7800 PBq core,~3400 PBq,,,,,,WNA: ~14 EBq total including noble gases; ~6 EBq excluding noble gases,WNA; OECD-NEA
