date,time_local,reactor_power_MWt,event,operational_notes,physics_notes,source
1986-04-25,01:06,3200,Reactor power reduction initiated for scheduled safety test,,Reactor at normal operating power,WNA Appendix 1
1986-04-25,03:47,1600,Power reduction halted; grid operator requests continued electricity supply,Emergency Core Cooling System (ECCS) isolated at this point,ECCS isolation a safety violation; not relevant to accident causation but indicative of culture,WNA Appendix 1
1986-04-25,14:00,1600,Grid operator releases reactor; power reduction resumes,,11-hour delay at 1600 MWt while ECCS remained isolated,WNA Appendix 1
1986-04-25/26,23:10,1600,Power reduction finally resumed after shift handover,,Night shift takes over with test still pending,WNA Appendix 1
1986-04-26,00:05,720,Power at 720 MWt,,Gradual reduction toward test target of 700-1000 MWt,WNA Appendix 1
1986-04-26,00:28,~30,Unexpected power collapse during transfer to local automatic control,Operator possibly reset the setpoint incorrectly; Xe-135 poisoning plays role,Xenon-135 (t1/2=9.2h) had accumulated during high-power operation; strong neutron absorber suppressed power; positive void coefficient irrelevant at this power,WNA Appendix 1; INSAG-7
1986-04-26,01:00,200,Power stabilized at 200 MWt; operators decide to proceed with test at reduced power,Operating reactivity margin (ORM) = 8 rods inserted equivalent; minimum required = 15,8 rods ORM violates operating procedures; insufficient negative reactivity reserve; test should have been aborted,WNA Appendix 1; INSAG-7
1986-04-26,01:03,200,Additional main coolant circulation pump (MCP) activated,,Pump 12 started; increased coolant flow reduces steam void fraction temporarily,WNA Appendix 1
1986-04-26,01:07,200,Second additional MCP switched on,8 of 8 MCPs now running; coolant flow at maximum,High flow reduces steam voids; reduces positive void feedback temporarily; but also reduces margin to boiling,WNA Appendix 1
1986-04-26,01:22:30,200,ORM formally checked and recorded at 8 rods,Shift foreman signs off on proceeding,8 rods = ~700 MW(t) worth of negative reactivity; minimum for safe operation is 15 rods; this is documented safety violation #2,WNA Appendix 1; INSAG-7
1986-04-26,01:23:04,200,Test begins; steam turbine generator feed valves closed,Turbogenerator begins coasting; timer started,Reduced coolant flow as turbine winds down; steam void fraction rises; positive void coefficient begins amplifying reactivity; power starts to increase,WNA Appendix 1
1986-04-26,01:23:40,rising rapidly,Emergency SCRAM (AZ-5) button pressed by operator Leonid Toptunov,All control rods commanded to insert,Graphite displacer tips on control rods insert first; 1-2 second positive reactivity pulse before neutron-absorbing sections reach core; this is the design defect,WNA Appendix 1; INSAG-7
1986-04-26,01:23:43,>530 (and rising),Power excursion rate emergency protection signals triggered,Reactor protection system registering uncontrolled power rise,Positive void coefficient and graphite tip effect create compounding positive reactivity; control rods slow and jam before reaching bottom,WNA Appendix 1
1986-04-26,01:23:44-58,~30000 est. (10x nominal),Fuel element rupture; steam explosion; second explosion (possibly partial nuclear excursion),1000-tonne reactor lid (Elena plate) ejected; core exposed to atmosphere,Peak power estimated at ~30000 MWt = 10x design; prompt criticality exceeded; fuel fragmented; steam explosion from contact of fragmented fuel with water; second explosion possibly steam or hydrogen or limited nuclear excursion — disputed,WNA Appendix 1; INSAG-7; academic literature
1986-04-26,01:24+,N/A (core destroyed),Graphite fire begins; radioactive plume initiated,Graphite moderator ignites; 10-day fire,Plume direction shifted with wind over 10 days; total release extended April 26 - May 5; I-131 release peaked Day 1 (704 PBq) then declined,OECD-NEA Ch.II
1986-04-27,~14:00,N/A,Pripyat (pop 45000) evacuation ordered and executed,36+ hours after explosion,Population received dose during delay; average thyroid doses elevated,UNSCEAR 2008 Annex D
1986-05-05,N/A,N/A,Graphite fire extinguished after sand/boron/lead aerial drops,,Total I-131 release by May 5: ~1760 PBq; Cs-137: ~85 PBq,OECD-NEA Ch.II
