country_or_region,Cs137_total_deposition_PBq,Cs137_percent_of_European_total,Cs137_dominant_deposition_kBq_per_m2,contamination_area_km2_above_40kBq_per_m2,notes,source
Europe_total,80,100,,~29400 (>180 kBq/m2 for Cs-137),8e16 Bq total = 80 PBq; ~29400 km2 exceeded 180 kBq/m2 (used as high-contamination threshold),JRC Cs-137 Atlas 1998; WNA
Belarus,26.8,33.5,,high,Received largest share; 33.5% of European Cs-137 deposition; primarily northern and western fallout plumes,JRC Cs-137 Atlas 1998
Russia,19.2,24,,high,Second largest; Bryansk region most contaminated in Russia,JRC Cs-137 Atlas 1998
Ukraine,estimate ~8-10,~10-12,,high,Third; includes CEZ and surrounding oblasts; exact figure from Atlas not recovered in searches,JRC Cs-137 Atlas 1998
Scandinavia,significant,,elevated,moderate,Primarily Sweden and Finland; plume arrived ~April 28; elevated I-131 and Cs measured at multiple stations,Evangeliou 2016; Airborne dataset
Sweden,,,elevated,moderate,First Western country to detect plume (April 28 1986); Forsmark NPP workers triggered international alarm,Historical record
Finland,,,elevated,moderate,Multiple ground stations; documented in airborne paper,Finnish Radiation and Nuclear Safety Authority (STUK)
Germany,,,elevated,moderate,Multiple stations documented; Ansbach I-131 air peak 5.8 Bq/m3 April 30 1986,Evangeliou 2016; European monitoring dataset
Austria,,,elevated hotspots,moderate,Wet deposition hotspot in Alps; rain during plume passage concentrated fallout,JRC Cs-137 Atlas 1998
UK (Wales/Scotland uplands),,,1-10 Bq/kg soil persisting,small,Upland areas received elevated Cs-137 via wet deposition; sheep movement restrictions lasted until 2012,Beresford ESSD 2015
Poland,,,,moderate,Hot particles (fuel fragments) detected in NE Poland September 1986; 206 particles analyzed (Kashparov),Kashparov ESSD 2018
Greece,,,elevated in some areas,,Northern Greece received elevated deposition; documented in Atlas,JRC Cs-137 Atlas 1998
Romania,,,elevated in some areas,,Northern Romania affected,JRC Cs-137 Atlas 1998
deposition_type_note,,,,,Wet deposition (rain during plume passage) creates highly localized hotspots vs dry deposition which is more uniform; Alps and Welsh uplands are examples of wet deposition concentration,JRC Atlas; Evangeliou 2016
atlas_coverage_note,,,,,Atlas covers >40 kBq/m2 contamination (~2% of European territory) and >1480 kBq/m2 (~0.03% of European territory) at scales 1:200k to 1:10M,JRC Cs-137 Atlas 1998
atlas_doi_or_ref,,,,,EUR 16733 EN; Joint Study Project 6 (JSP6) EC/CIS Collaborative Programme,JRC Cs-137 Atlas 1998
daily_I131_release_Apr26,704,PBq,I-131 only,,Day 1 of release; highest daily release; wind initially southward then shifted,OECD-NEA Ch.II
daily_I131_release_Apr27,204,PBq,I-131 only,,Day 2,OECD-NEA Ch.II
daily_I131_release_Apr28,150,PBq,I-131 only,,Day 3; plume reaching Sweden,OECD-NEA Ch.II
daily_I131_release_Apr29,102,PBq,I-131 only,,Day 4,OECD-NEA Ch.II
daily_I131_release_Apr30,69,PBq,I-131 only,,Day 5,OECD-NEA Ch.II
daily_I131_release_May1_to_5,62-130,PBq/day,I-131 only,,Variable due to graphite fire intensity; fire extinguished May 5,OECD-NEA Ch.II
