year,t_years_post_accident,Pu241_activity_PBq,Pu241_activity_TBq,Pu241_percent_remaining,Am241_ingrowth_from_Pu241_PBq,Am241_from_initial_release_PBq,Am241_total_PBq,Am241_total_TBq,Am241_percent_of_peak,notes
1986,0,2.6,2600.0,100.0,0.0,0.007,0.007,7.0,8.46,Year_of_accident; initial_release; Pu241=2.6PBq Am241=0.007PBq
1987,1,2.4768948,2476.8948,95.2652,0.004067,0.0069888,0.0110558,11.0558,13.36,
1988,2,2.3596185,2359.6185,90.7546,0.0079349,0.0069776,0.0149125,14.9125,18.02,
1989,3,2.2478949,2247.8949,86.4575,0.0116132,0.0069664,0.0185796,18.5796,22.46,
1990,4,2.1414613,2141.4613,82.3639,0.0151108,0.0069552,0.022066,22.066,26.67,4_yr_post; Pu241 lost ~18%; first_measurable_Am241_ingrowth
1991,5,2.0400671,2040.0671,78.4641,0.0184363,0.0069441,0.0253804,25.3804,30.68,
1992,6,1.9434737,1943.4737,74.749,0.0215979,0.006933,0.0285308,28.5308,34.48,
1993,7,1.8514538,1851.4538,71.2098,0.0246033,0.0069219,0.0315251,31.5251,38.1,
1994,8,1.7637909,1763.7909,67.8381,0.0274599,0.0069108,0.0343707,34.3707,41.54,
1995,9,1.6802787,1680.2787,64.6261,0.0301749,0.0068997,0.0370746,37.0746,44.81,Chernobyl_Forum_baseline; Pu241 half_depleted_by_2000
1996,10,1.6007207,1600.7207,61.5662,0.0327549,0.0068886,0.0396435,39.6435,47.92,
1997,11,1.5249295,1524.9295,58.6511,0.0352063,0.0068776,0.0420839,42.0839,50.87,
1998,12,1.4527269,1452.7269,55.8741,0.0375352,0.0068666,0.0444018,44.4018,53.67,
1999,13,1.383943,1383.943,53.2286,0.0397474,0.0068556,0.046603,46.603,56.33,
2000,14,1.3184159,1318.4159,50.7083,0.0418485,0.0068446,0.0486931,48.6931,58.85,Sarcophagus_cracks_repaired; Am241 exceeds_initial_release_activity
2001,15,1.2559914,1255.9914,48.3074,0.0438438,0.0068336,0.0506774,50.6774,61.25,
2002,16,1.1965225,1196.5225,46.0201,0.0457382,0.0068227,0.0525608,52.5608,63.53,
2003,17,1.1398694,1139.8694,43.8411,0.0475365,0.0068117,0.0543482,54.3482,65.69,
2004,18,1.0858987,1085.8987,41.7653,0.0492433,0.0068008,0.0560442,56.0442,67.74,
2005,19,1.0344834,1034.4834,39.7878,0.050863,0.0067899,0.0576529,57.6529,69.68,UNSCEAR_2008_data_cutoff_baseline; wildlife_recolonization_documented
2006,20,0.9855025,985.5025,37.9039,0.0523997,0.006779,0.0591787,59.1787,71.53,
2007,21,0.9388408,938.8408,36.1093,0.0538573,0.0067682,0.0606254,60.6254,73.28,
2008,22,0.8943885,894.3885,34.3996,0.0552395,0.0067573,0.0619968,61.9968,74.93,
2009,23,0.8520408,852.0408,32.7708,0.05655,0.0067465,0.0632965,63.2965,76.51,
2010,24,0.8116983,811.6983,31.2192,0.0577922,0.0067357,0.0645279,64.5279,77.99,
2011,25,0.7732659,773.2659,29.741,0.0589693,0.0067249,0.0656941,65.6941,79.4,Fukushima_accident; comparison_benchmark
2012,26,0.7366532,736.6532,28.3328,0.0600843,0.0067141,0.0667984,66.7984,80.74,
2013,27,0.701774,701.774,26.9913,0.0611403,0.0067034,0.0678437,67.8437,82.0,
2014,28,0.6685463,668.5463,25.7133,0.0621401,0.0066926,0.0688327,68.8327,83.2,
2015,29,0.6368919,636.8919,24.4958,0.0630863,0.0066819,0.0697682,69.7682,84.33,
2016,30,0.6067363,606.7363,23.336,0.0639814,0.0066712,0.0706526,70.6526,85.4,NSC_New_Safe_Confinement_installed; Am241_concentration_in_NSC_concerns
2017,31,0.5780084,578.0084,22.2311,0.064828,0.0066605,0.0714884,71.4884,86.41,BfS_remapping_survey; Ru106_Europe_detection_event; 31yr_post
2018,32,0.5506408,550.6408,21.1785,0.0656282,0.0066498,0.072278,72.278,87.36,
2019,33,0.524569,524.569,20.1757,0.0663844,0.0066392,0.0730235,73.0235,88.26,
2020,34,0.4997316,499.7316,19.2204,0.0670985,0.0066285,0.0737271,73.7271,89.11,870km2_wildfire; 630GBq_Cs137_released; Am241_increasing
2021,35,0.4760703,476.0703,18.3104,0.0677727,0.0066179,0.0743906,74.3906,89.91,
2022,36,0.4535292,453.5292,17.4434,0.0684088,0.0066073,0.0750161,75.0161,90.67,Russian_invasion; 70x_dose_spike; monitoring_offline_Feb-Apr
2023,37,0.4320555,432.0555,16.6175,0.0690086,0.0065967,0.0756053,75.6053,91.38,
2024,38,0.4115984,411.5984,15.8307,0.0695738,0.0065861,0.07616,76.16,92.05,
2025,39,0.39211,392.11,15.0812,0.0701062,0.0065756,0.0766817,76.6817,92.68,
2026,40,0.3735443,373.5443,14.3671,0.0706072,0.006565,0.0771722,77.1722,93.28,Current_year; Am241_still_INCREASING; 40yr_post
2027,41,0.3558577,355.8577,13.6868,0.0710783,0.0065545,0.0776329,77.6329,93.83,
2028,42,0.3390085,339.0085,13.0388,0.0715211,0.006544,0.0780651,78.0651,94.36,
2029,43,0.3229571,322.9571,12.4214,0.0719367,0.0065335,0.0784703,78.4703,94.85,
2030,44,0.3076657,307.6657,11.8333,0.0723266,0.0065231,0.0788497,78.8497,95.3,Pu241 <12% original; major_isotopes_Cs137_Sr90_dominant
2031,45,0.2930983,293.0983,11.273,0.072692,0.0065126,0.0792046,79.2046,95.73,
2032,46,0.2792206,279.2206,10.7393,0.073034,0.0065022,0.0795362,79.5362,96.13,
2033,47,0.266,266.0,10.2308,0.0733537,0.0064918,0.0798455,79.8455,96.51,
2034,48,0.2534054,253.4054,9.7464,0.0736522,0.0064814,0.0801336,80.1336,96.86,
2035,49,0.2414072,241.4072,9.2849,0.0739306,0.006471,0.0804016,80.4016,97.18,
2036,50,0.229977,229.977,8.8453,0.0741897,0.0064606,0.0806503,80.6503,97.48,
2037,51,0.219088,219.088,8.4265,0.0744306,0.0064502,0.0808808,80.8808,97.76,
2038,52,0.2087146,208.7146,8.0275,0.074654,0.0064399,0.0810939,81.0939,98.02,
2039,53,0.1988323,198.8323,7.6474,0.0748609,0.0064296,0.0812905,81.2905,98.25,
2040,54,0.189418,189.418,7.2853,0.0750519,0.0064193,0.0814712,81.4712,98.47,54yr_post; Cs137_at_26%_original; Am241_near_plateau
2041,55,0.1804494,180.4494,6.9404,0.075228,0.006409,0.0816369,81.6369,98.67,
2042,56,0.1719055,171.9055,6.6117,0.0753897,0.0063987,0.0817884,81.7884,98.86,
2043,57,0.1637661,163.7661,6.2987,0.0755378,0.0063885,0.0819262,81.9262,99.02,
2044,58,0.156012,156.012,6.0005,0.0756729,0.0063782,0.0820511,82.0511,99.17,
2045,59,0.1486252,148.6252,5.7164,0.0757956,0.006368,0.0821637,82.1637,99.31,
2046,60,0.141588,141.588,5.4457,0.0759067,0.0063578,0.0822645,82.2645,99.43,
2047,61,0.1348841,134.8841,5.1879,0.0760065,0.0063476,0.0823541,82.3541,99.54,
2048,62,0.1284976,128.4976,4.9422,0.0760957,0.0063375,0.0824331,82.4331,99.64,
2049,63,0.1224135,122.4135,4.7082,0.0761748,0.0063273,0.082502,82.502,99.72,
2050,64,0.1166174,116.6174,4.4853,0.0762442,0.0063172,0.0825613,82.5613,99.79,
2051,65,0.1110958,111.0958,4.2729,0.0763044,0.006307,0.0826114,82.6114,99.85,
2052,66,0.1058356,105.8356,4.0706,0.0763559,0.0062969,0.0826528,82.6528,99.9,
2053,67,0.1008245,100.8245,3.8779,0.0763991,0.0062868,0.0826859,82.6859,99.94,
2054,68,0.0960507,96.0507,3.6943,0.0764344,0.0062768,0.0827111,82.7111,99.97,
2055,69,0.0915028,91.5028,3.5193,0.0764621,0.0062667,0.0827288,82.7288,99.99,
2056,70,0.0871703,87.1703,3.3527,0.0764827,0.0062567,0.0827394,82.7394,100.01,
2057,71,0.083043,83.043,3.194,0.0764965,0.0062466,0.0827432,82.7432,100.01,
2058,72,0.0791111,79.1111,3.0427,0.0765038,0.0062366,0.0827405,82.7405,100.01,Am241_PEAK_year; maximum_Am241_activity_in_CEZ_soils
2059,73,0.0753653,75.3653,2.8987,0.076505,0.0062266,0.0827316,82.7316,100.0,
2060,74,0.0717969,71.7969,2.7614,0.0765003,0.0062167,0.0827169,82.7169,99.98,
2061,75,0.0683974,68.3974,2.6307,0.07649,0.0062067,0.0826967,82.6967,99.95,
2062,76,0.0651589,65.1589,2.5061,0.0764744,0.0061967,0.0826712,82.6712,99.92,
2063,77,0.0620738,62.0738,2.3875,0.0764538,0.0061868,0.0826406,82.6406,99.89,
2064,78,0.0591347,59.1347,2.2744,0.0764284,0.0061769,0.0826053,82.6053,99.84,
2065,79,0.0563348,56.3348,2.1667,0.0763984,0.006167,0.0825654,82.5654,99.8,
2066,80,0.0536674,53.6674,2.0641,0.0763641,0.0061571,0.0825212,82.5212,99.74,
2067,81,0.0511264,51.1264,1.9664,0.0763257,0.0061473,0.0824729,82.4729,99.68,
2068,82,0.0487057,48.7057,1.8733,0.0762833,0.0061374,0.0824207,82.4207,99.62,
2069,83,0.0463995,46.3995,1.7846,0.0762373,0.0061276,0.0823648,82.3648,99.55,
2070,84,0.0442026,44.2026,1.7001,0.0761877,0.0061177,0.0823054,82.3054,99.48,
2071,85,0.0421097,42.1097,1.6196,0.0761347,0.0061079,0.0822427,82.2427,99.4,
2072,86,0.0401159,40.1159,1.5429,0.0760786,0.0060982,0.0821768,82.1768,99.33,
2073,87,0.0382165,38.2165,1.4699,0.0760194,0.0060884,0.0821078,82.1078,99.24,
2074,88,0.036407,36.407,1.4003,0.0759574,0.0060786,0.082036,82.036,99.16,
2075,89,0.0346832,34.6832,1.334,0.0758926,0.0060689,0.0819615,81.9615,99.07,
2076,90,0.033041,33.041,1.2708,0.0758253,0.0060592,0.0818844,81.8844,98.97,
2077,91,0.0314766,31.4766,1.2106,0.0757554,0.0060495,0.0818049,81.8049,98.88,
2078,92,0.0299862,29.9862,1.1533,0.0756833,0.0060398,0.081723,81.723,98.78,
2079,93,0.0285664,28.5664,1.0987,0.0756089,0.0060301,0.081639,81.639,98.68,
2080,94,0.0272139,27.2139,1.0467,0.0755324,0.0060204,0.0815528,81.5528,98.57,
2081,95,0.0259253,25.9253,0.9971,0.075454,0.0060108,0.0814647,81.4647,98.46,
2082,96,0.0246978,24.6978,0.9499,0.0753736,0.0060011,0.0813747,81.3747,98.36,
2083,97,0.0235284,23.5284,0.9049,0.0752914,0.0059915,0.081283,81.283,98.24,
2084,98,0.0224144,22.4144,0.8621,0.0752076,0.0059819,0.0811895,81.1895,98.13,
