category,dose_Gy_low,dose_Gy_high,n_patients,n_deaths_acute,n_deaths_later,ARS_grade,notes,source
Total_hospitalized_for_observation,any,any,499,,,N/A,499 initially admitted to hospitals in Moscow and Kiev for observation on night of 26 April 1986 and days after,UNSCEAR 2008 Annex D p.58; Chernobyl Forum 2005
Initially_diagnosed_ARS,any,any,237,,,I-IV,237 emergency workers initially examined for ARS signs; preliminary clinical assessment,UNSCEAR 2008 Annex D p.58
Confirmed_ARS,0.8,16.0,134,,,I-IV,"134 confirmed ARS after dosimetric and clinical review; 103 downgraded; range 0.8-16 Gy whole body dose; emergency workers and first responders",UNSCEAR 2008 Annex D; Chernobyl Forum 2005
ARS_Grade_I_mild,0.8,2.0,140,0,,I,"Grade I (mild): 140 patients; doses roughly 0.8-2 Gy; bone marrow suppression; nausea vomiting; full recovery expected; no deaths in this group",OECD-NEA Ch.V; UNSCEAR 2008
ARS_Grade_II_moderate,2.0,4.0,55,1,,II,"Grade II (moderate): 55 patients; doses ~2-4 Gy; haematopoietic syndrome; significant bone marrow depression; 1 death; most survived",OECD-NEA Ch.V; UNSCEAR 2008
ARS_Grade_III_severe,4.0,6.0,21,7,,III,"Grade III (severe): 21 patients; doses ~4-6 Gy; severe bone marrow failure plus radiation skin burns; 7 deaths; required BMT in some cases",OECD-NEA Ch.V; UNSCEAR 2008
ARS_Grade_IV_very_severe,6.0,16.0,21,20,,IV,"Grade IV (very severe): 21 patients; doses ~6-16 Gy; GI syndrome + bone marrow destruction + severe radiation burns; 20 deaths; only 1 survivor in this group; skin doses 400-500 Gy on some patients",OECD-NEA Ch.V; UNSCEAR 2008
immediate_deaths,,,2,2,,N/A,2 immediate deaths on night of accident: Valery Khodemchuk (steam explosion) and Vladimir Shashenok (acute injuries from steam/explosion at 01:23 26 April 1986),Historical record
ARS_deaths_3_months,0.8,16.0,134,28,,I-IV,28 confirmed ARS deaths within 3 months (April-July 1986); predominantly Grade III-IV; causes: bone marrow failure + skin burns + GI syndrome,UNSCEAR 2008 Annex D p.59; WNA
ARS_deaths_total_first_weeks,,,,,31,,"28 ARS deaths + additional early deaths = ~31 in first weeks; OECD-NEA Ch.V specifies ""31 deaths in first weeks""",OECD-NEA Ch.V
ARS_survivor_deaths_to_2006,survivors,,,,,19,"ARS survivors subsequent deaths: 11 by 2000 (UNSCEAR 2000); 8 more died 2000-2006 = 19 total survivor deaths through 2006; causes not all radiation-related",UNSCEAR 2008 Annex D p.65
BMT_bone_marrow_transplants,4.0,16.0,13,11,,III-IV,"13 bone marrow transplants performed; only 2 engraftments; 11 of 13 BMT patients died; concurrent radiation skin burns reduced effectiveness of BMT; BMT had limited impact on outcome",UNSCEAR 2008 Annex D p.59
ARS_skin_doses,4.0,16.0,,,,,Skin doses exceeded bone marrow doses by factor 10-30; many ARS patients received skin doses 400-500 Gy; radiation burns to skin were major contributor to at least 19 of deaths; burns >50% body surface area led to major infections,UNSCEAR 2008 p.59
ARS_cataracts_survivors,any,16.0,,,,,Many patients who suffered moderate-severe ARS developed radiation-induced cataracts in first few years; strong correlation between ARS grade and cataract prevalence,UNSCEAR 2008 p.60
ARS_leukemia_in_survivors,any,16.0,,,,,Over the years increase in haematological malignancies in ARS survivors; haematopoietic recovery substantial in many patients; significant local skin injuries remain,UNSCEAR 2008 p.60-65
no_ARS_general_public,0,<0.8,0,0,,N/A,No ARS cases among general public evacuated or non-evacuated; consistent with dose assessment showing whole-body doses far below ARS threshold (~700 mGy) in all civilian populations,UNSCEAR 2008 p.59
ARS_medical_team,Moscow_Hosp_No6,,,,,,Dr. Angelina Gus'kova led treatment at Moscow Hospital No.6; pioneered diagnosis and management of radiation-induced ARS; significant advance in nuclear medicine understanding,Historical; UNSCEAR 2008
highest_dose_workers,reactor_operators,,0,,"doses ~16 Gy",,Reactor operators on duty at 01:23 and first responder firefighters received highest doses ~8-16 Gy; all died; exact doses reconstructed retrospectively as no badges survived or were saturated,UNSCEAR 2008; Chernobyl Forum
GI_syndrome,6.0,16.0,15,,,IV,"Gastrointestinal syndrome (GI tract damage) in 15 patients; radiation pneumonitis in 8 patients; complicating bone marrow syndrome in highest-dose group",UNSCEAR 2008 p.59
ARS_total_confirmed_acute_deaths,,,,,30-31,,"Total definite deaths attributed to accident: 2 immediate (explosion/burns) + 28 ARS = 30; some sources cite 31 with different attribution; CNSC Canada cites 2+28=30",UNSCEAR 2008; CNSC Canada; Chernobyl Forum
