"date","time_UTC","event_type","location","parameter","value","units","notes","source"
"1986-04-26","01:23","source_term","Chernobyl_Unit4","accident_start","","","Explosion at 01:23:40 UTC; prompt criticality and steam explosion; graphite fire begins; initial release primarily noble gases and volatile fission products","INSAG-7; OECD-NEA Ch.II"
"1986-04-26 to 04-27","01:23-24:00","meteorology","Chernobyl_region","wind_direction","","degrees","Initial winds northwesterly at low altitude (300-500m); stable nocturnal atmosphere; upper atmosphere SE winds 8-10 m/s at 1500m; high pressure over western Siberia driving northward transport","OECD-NEA Ch.II; IRSN 2006"
"1986-04-27","morning","detection","Sweden_Forsmark_1100km","first_international_detection","","","Forsmark Nuclear Power Plant workers found with radioactive particles on clothing ~1100 km from Chernobyl; triggered international awareness; Swedish authorities alerted Soviet Union; USSR denied accident initially","Historical record; OECD-NEA Ch.II"
"1986-04-28","afternoon","detection","Poland_Mikolajki","air_radioactivity","550000","times_above_baseline","Poland: radioactivity 550,000 times higher than baseline on April 28; Poland was the only country to distribute KI to population (~18 million people) in the first days","Chernobyl 35yr anniversary review; OECD-NEA"
"1986-04-28 to 04-29","","meteorology","Eastern_Central_Europe","wind_shift","","","Wind shifted from southeast to westerly direction April 28-29; plume path changed direction; second radioactive cloud path through Slovakia Czech Republic Austria","OECD-NEA Ch.II; IRSN 2006"
"1986-04-29","","detection","Slovakia_Czech_Austria","plume_arrival","","","Second radioactive cloud path reaches Slovakia, Czech Republic, Austria; Hungary sharp rise in radioactivity recorded","OECD-NEA Ch.II"
"1986-04-30","","detection","Southern_Germany","plume_arrival","","","Plume reaches southern Germany; entire region affected; high pressure formed over North Europe changed wind to southerly; Bavaria received significant deposition","OECD-NEA Ch.II; BfS"
"1986-04-30 to 05-01","","meteorology","Western_Europe","wind_change","","","Northerly winds became effective April 30; changed overall transport pattern; subsequent plume pulses tracked differently","OECD-NEA Ch.II"
"1986-05-01 to 05-02","","detection","Ireland","plume_arrival","0.25","mm_rainfall","Plume traveled to Ireland May 1-2; minimal precipitation (0.0-0.5 mm); low deposition; no milk ban triggered initially","Met Eireann; EPA Ireland; Kilkenny Weather archives"
"1986-05-03","","detection","Ireland_Kilkenny_region","plume_peak_deposition","5.1","mm_rainfall","Plume arrived with significant rainfall May 3 (5.1 mm); maximum deposition event; wet deposition 50-100x more efficient than dry; triggered milk monitoring","Met Eireann; EPA Ireland"
