"parameter","value","units","date_or_period","region_or_location","context","notes","source"
"Baltic_Sea_area","415000","km2","reference","entire_Baltic_Sea","Baltic Sea total surface area 415,000 km²; semi-enclosed marginal sea; limited exchange with North Sea via Kattegat/Skagerrak; average depth only 55m (max 459m Landsort Deep); unique low-salinity (5-25 psu) from large freshwater input; drainage basin 1.72 million km²","Low salinity = lower ionic competition for Sr-2+ and Cs+ uptake by biota vs high-salinity oceans; Baltic fish show higher Cs-137 bioconcentration per unit water concentration than marine fish","HELCOM Baltic Sea Environment Proceedings; Povinec 2004; Smith JT 1999 J Environ Radioact"
"Chernobyl_plume_over_Baltic","direct_atmospheric_deposition","1986-04-27_to_05-10","all_Baltic_regions","Chernobyl plume passed over Baltic Sea April 27-May 10; two main plume passages: (1) April 28-29 northerly plume to Scandinavia; (2) May 1-2 secondary plume; Baltic received direct atmospheric fallout; significant wet deposition from precipitation over Baltic catchment also delivered contamination via rivers","Baltic Sea is directly in the path of main Chernobyl transport plumes; Sweden Finland Denmark all experienced elevated fallout; Baltic received among highest marine surface deposition globally from Chernobyl","Devell 1986 Nature; atmospheric_transport_plume_REAL.csv; HELCOM 1990 report"
"Cs137_deposition_on_Baltic","400_to_1000_TBq_estimated_total_on_Baltic_Sea_surface","TBq","1986","entire_Baltic_Sea_surface","Direct atmospheric Cs-137 deposition on Baltic Sea surface estimated 400-1000 TBq total; range reflects uncertainty in spatial integration of highly variable deposition; Finnish and Swedish coastal areas received higher deposition (1000-5000 Bq/m²); open Baltic lower (200-500 Bq/m²)","Compare to Black Sea (~130-200 TBq direct fallout): Baltic received more because closer to main plume paths; Baltic Cs-137 inventory higher than Black Sea despite similar areas; limited sea exchange means residence time longer","HELCOM 1990; Smith JT 1999 J Environ Radioact doi:10.1016/S0265-931X(98)00038-0; Povinec 2004"
"Cs137_surface_water_1987","200_to_2000","Bq_per_m3","1987","Baltic_Sea_surface_layer","Peak Cs-137 in Baltic surface water 1987: 200-2000 Bq/m³ depending on region; highest in Gulf of Finland and Swedish coasts; Eastern Baltic (Estonia Latvia Lithuania) also elevated; WHO drinking water limit = 10 Bq/L = 10,000 Bq/m³; Baltic levels well below limit; ecological/food chain significance dominated concern","Cs-137 in Baltic seawater rapidly transferred to sediments via particle scavenging in Baltic's organic-rich low-energy environment; ~30-50% of dissolved Cs-137 removed to sediments within first year","HELCOM 1990; Strand P et al. 1994 Sci Total Environ; IAEA Marine radioactivity atlas"
"Cs137_surface_water_current","20_to_50","Bq_per_m3","2020s","Baltic_Sea_open_water","Current (2020s) Baltic Sea Cs-137 = 20-50 Bq/m³ (0.02-0.05 Bq/L); declining by factor ~2-3x per decade; elevated above pre-Chernobyl weapons-test baseline of ~2-5 Bq/m³; still constitutes elevated Chernobyl signal 40 years later","Baltic Cs-137 declining more slowly than Black Sea because: limited water exchange with North Sea (residence time ~30-40 years for Baltic water); sediment remobilization continues; Baltic acts as buffer/reservoir vs direct ocean dilution","HELCOM State of the Baltic Sea 2022; Smith 1999; IAEA Marine 2005"
"herring_Cs137_1987","100_to_500","Bq_per_kg_fresh_weight","1987","Baltic_herring_Clupea_harengus_membras","Peak Cs-137 in Baltic herring (main commercial fish species) 1987: 100-500 Bq/kg in Swedish waters; Finnish Baltic herring 200-400 Bq/kg; elevated above EU limit of 600 Bq/kg for fish in some individuals; Finland and Sweden advised limiting consumption of large fat herring (older fish accumulate more)","Cs-137 in marine fish via: (1) direct from water (lower bioconcentration factor ~10-40 in marine vs freshwater because stable Cs competitive inhibition); (2) via food chain (zooplankton → small fish → herring); fat content matters: Cs-137 not lipophilic but higher metabolic activity in fatty fish","Johanson 1994 J Environ Radioact PMID:11538069; food_agricultural_contamination_REAL.csv; HELCOM 1990"
"herring_Cs137_current","5_to_30","Bq_per_kg_fresh_weight","2020s","Baltic_herring","Current (2020s) Baltic herring Cs-137 = 5-30 Bq/kg; well below EU fish limit 600 Bq/kg; Sweden maintains monitoring; no current consumption restrictions; Finland lifted specific herring Chernobyl advisories but monitoring continues; still detectable above pre-Chernobyl background (<1 Bq/kg)","Baltic herring will retain elevated Cs-137 above pre-Chernobyl background until approximately 2060 (2-3 half-lives from peak); Cs-137 in fish follows water concentration with ~5-year equilibration lag; sediment remobilization sustains water concentrations","HELCOM 2022; Swedish Radiation Safety Authority SSIMFS; Finnish STUK"
"Swedish_freshwater_lakes_Cs137","14000_lakes_elevated","qualitative_count","1986_to_present","Sweden","~14000 Swedish freshwater lakes received elevated Cs-137 from Chernobyl rainfall (May 1-2 1986 heavy precipitation deposited 100-10000 kBq/m² in parts of central Sweden); some lakes >1000 kBq/m² watershed deposition; freshwater fish (pike perch brown trout) showed very high Cs-137","Freshwater fish Cs-137 far higher than marine: bioconcentration factor in freshwater fish 100-1000 vs 10-40 marine; Swedish pike 1987: 2000-10000 Bq/kg in most contaminated lakes (limit 600 Bq/kg for fish in Sweden then); some Swedish lakes still exceed limit 40 years later","food_agricultural_contamination_REAL.csv; Swedish SSIMFS; Johanson 1994"
"Norwegian_reindeer_Cs137","highest_contaminated_animal_outside_CEZ","qualitative","1986_to_present","Norway_Sami_reindeer_herding_areas","Norwegian reindeer (semi-domestic; Sami herding tradition): major Chernobyl impact; Cs-137 in reindeer meat 1986-1987 up to 100,000 Bq/kg in some animals (EU limit 600 Bq/kg for general food; 300 Bq/kg for reindeer in Norway emergency limit); 40,000+ reindeer slaughtered 1986 or fed uncontaminated food","Reindeer specifically accumulate Cs-137 because: diet of lichen (Cladonia spp.) which has very high Cs-137 concentration factor (Fv=10-100); no competing stable Cs or K in lichen environment; lichen has no roots → surface deposition directly bioavailable; reindeer-lichen-Sami subsistence pathway = significant dose","Strand P 2002 PMID:12148494; food_agricultural_contamination_REAL.csv; soil_plant_transfer_factors_REAL.csv"
"Finnish_reindeer","similar_to_Norway","Bq_per_kg","1986_to_1990s","Finland_Lapland","Finnish semi-domestic reindeer similar to Norway; Lapland reindeer meat Cs-137 >600 Bq/kg in 1987-1990; Finnish emergency limit set at 3000 Bq/kg for reindeer (higher than general food limit to prevent destruction of Sami culture); Cs-137 declining by ~2000 to levels near normal limits","Finland's approach: set elevated emergency limit for reindeer to preserve Sami cultural subsistence rather than destroy entire herds; tradeoff between radiation dose and cultural/economic survival; dose from reindeer consumption was manageable at 3000 Bq/kg level with limited consumption","STUK Finland; food_agricultural_contamination_REAL.csv"
"Baltic_Sr90_current","5_to_15","Bq_per_m3","2020s","Baltic_Sea","Current (2020s) Sr-90 in Baltic surface water = 5-15 Bq/m³ (0.005-0.015 Bq/L); below WHO drinking water guideline (10 Bq/L); primarily weapons testing fallout (622 PBq global Sr-90 from tests >> 10 PBq Chernobyl); Chernobyl contribution ~10-15% of current Baltic Sr-90","Baltic river inputs (from contaminated Scandinavian catchments) contribute small Sr-90 increment; Baltic Sr-90 lower than Black Sea because Chernobyl plume paths deposited more in E-W corridor (Black Sea) vs N-NE corridor (Baltic)","HELCOM; IAEA Marine; Mirzoyeva 2013"
