"isotope_or_parameter","decay_or_property","endpoint_or_value","units","physics_detail","chernobyl_relevance","source"
"Sr90_beta_spectrum","beta_minus_decay_to_Y90","546","keV_maximum_energy","Sr-90 → Y-90 + β⁻ + ν̄ₑ; E_max = 546 keV; Q-value = 546 keV; average beta energy ≈ 195 keV (~1/3 of E_max for allowed transitions); spectrum is CONTINUOUS from 0 to 546 keV (Fermi energy distribution); pure beta emitter = no gamma","Sr-90 emits only beta radiation → undetectable by standard gamma-sensitive Geiger-Müller counters and NaI detectors; this is why Sr-90 can be present in water/soil at hazardous levels with no gamma signal; requires Cherenkov counting or beta spectrometry for detection","NNDC NuDat 3; Fermi 1934 Z Physik; radioactive_decay_chains_REAL.csv"
"Y90_beta_spectrum","beta_minus_decay_to_Zr90_stable","2279","keV_maximum_energy","Y-90 → Zr-90 (stable) + β⁻ + ν̄ₑ; E_max = 2.279 MeV; average beta energy ≈ 933 keV; t1/2(Y-90)=64.1 hr; secular equilibrium with Sr-90 in environment; in equilibrium: Sr-90 and Y-90 activities equal","Y-90's 2.28 MeV beta produces Cherenkov radiation in water (visible blue light; threshold ~0.26 MeV for water); used for Cherenkov counting of Y-90 / Sr-90 in water samples; maximum range in tissue = 11 mm; can penetrate skin (dead layer ~70 µm); eye lens dose from Y-90 in contaminated water possible at high concentrations","NNDC; radioactive_decay_chains_REAL.csv; Knoll 2010 Cherenkov"
"Sr90_range_tissue","beta_range_in_tissue","1.4_to_1.8","mm_in_tissue (Sr90 beta)","Sr-90 beta max range in tissue (Csda range): ~1.8 mm at E_max=546 keV; Y-90 beta max range ~11 mm; both ranges much shorter than typical organ dimensions; dose deposited locally within ~1-2 cm of source","For Sr-90 in bone: beta irradiates immediately adjacent bone marrow; dose highly concentrated in trabecular bone surface cells and adjacent marrow cells; this is why Sr-90 bone dose coefficient is very high (Sr-90 is a bone-seeker replacing Ca)","NIST ESTAR electron stopping power; ICRP 67; dose_conversion_factors_REAL.csv"
"Cs137_beta_spectrum","beta_minus_to_Ba137m","514","keV_maximum_energy_dominant_branch","Cs-137 → Ba-137m (93.5%) + β⁻ + ν̄ₑ with E_max=514 keV; also Cs-137 → Ba-137 ground state (6.5%) with E_max=1174 keV; Ba-137m then emits 662 keV gamma (85.1%); average beta energy ≈ 188 keV for dominant branch","Cs-137 beta deposits dose locally (max range ~4 mm in tissue) while 662 keV gamma penetrates body; external Cs-137 exposure: skin beta dose is surface dose; whole-body dose from penetrating gamma; internally: Cs-137 uniformly distributed in soft tissue → whole-body irradiation from both beta and gamma","NNDC; radioactive_decay_chains_REAL.csv; dose_conversion_factors_REAL.csv"
"I131_beta_spectrum","beta_minus_to_Xe131","606","keV_maximum_energy_dominant_branch","I-131 → Xe-131 + β⁻ + ν̄ₑ (dominant branch E_max=606 keV, 89.4%); followed by gamma 364.5 keV (81.5%); t1/2=8.02 days; average beta energy ~192 keV; range in thyroid tissue ~5 mm","I-131 beta deposits virtually all energy within thyroid gland (thyroid ~20g adult; ~4g infant); localized dose = HIGH dose per unit activity ingested; I-131 thyroid dose coefficient adult 4.3E-07 Sv/Bq; infant 2.4E-06 Sv/Bq; see dose_conversion_factors_REAL.csv","NNDC; radioactive_decay_chains_REAL.csv; dose_conversion_factors_REAL.csv"
"Pu239_alpha_decay","alpha_decay_to_U235","5150.3","keV_alpha_energy","Pu-239 → U-235 + α; E_alpha = 5.150 MeV (monoenergetic; discrete energy lines); t1/2=24110 yr; specific activity = 2.31 GBq/g; alpha particles are helium nuclei (2 protons + 2 neutrons); monoenergetic unlike continuous beta spectrum","Pu-239 alpha = LET ~80-100 keV/µm in tissue; range = 37 µm in tissue (< one cell diameter); completely stopped by dead layer of skin (70 µm); ONLY hazardous if inhaled or ingested (internal dose); RBE=20 for cancer induction; hot particles of Pu-239 create very concentrated local dose","NNDC; fuel_particle_contamination_REAL.csv; dose_conversion_factors_REAL.csv; radiation_biology_mechanisms_REAL.csv"
"Am241_alpha_decay","alpha_decay_to_Np237","5485.6_keV_dominant","keV_alpha_energy","Am-241 → Np-237 + α; dominant E_alpha = 5.486 MeV (85.2%) and 5.443 MeV (12.8%); t1/2=432.2 yr; specific activity = 127 GBq/g; also emits 59.54 keV gamma (35.9%) = detectable by gamma spectrometry; growing in Chernobyl environment from Pu-241 decay","Am-241 growing in CEZ soils (Bateman equations; peaks 2059); alpha from hot particles = internal hazard if inhaled; 59.54 keV gamma allows detection at surface but attenuated by >1 cm soil; alpha spectrometry (silicon surface barrier detector) detects alpha at 5.486 MeV; see am241_ingrowth_timeseries_REAL.csv","NNDC; am241_ingrowth_timeseries_REAL.csv; radioactive_decay_chains_REAL.csv"
"alpha_particle_range_tissue","Pu239_alpha","36_to_38","micrometers_in_tissue","Alpha particle range in tissue: 37 µm for 5.15 MeV Pu-239 alpha; 37 µm ≈ 2-3 cell diameters; dead skin layer (~70 µm) completely stops alpha from external contamination; this is why alpha emitters are ONLY dangerous internally (inhalation/ingestion)","For hot particle inhalation: Pu-239 alpha from hot particle deposits ALL energy within 37 µm radius; creates highly localized dose (hot spots) that are much more biologically effective than distributed dose of equal energy; single hot particle in lung can deliver Gy-level dose to adjacent cells; see fuel_particle_contamination_REAL.csv","NIST ASTAR; IAEA 1988 hot particles report; Casarett 1968; radiation_biology_mechanisms_REAL.csv"
"Cherenkov_radiation","threshold_velocity_in_water","v_threshold_equals_c_over_n","speed_of_light_in_medium","Cherenkov radiation: charged particle moving faster than light in medium (v > c/n where n=refractive index); threshold kinetic energy for electrons in water: E_k > 261 keV (n_water=1.34); visible blue glow; used for detection of Y-90 beta (E_max=2279 keV >> threshold)","Y-90 (E_max=2.28 MeV) easily exceeds Cherenkov threshold → allows sensitive counting of Sr-90/Y-90 in water without chemical separation; Cherenkov imaging used for spent fuel monitoring; Chernobyl cooling pond: irradiated fuel assemblies visible by Cherenkov glow","Frank IM Tamm IG 1937 Dokl Akad Nauk SSSR; Knoll 2010; rbmk_fuel_specifications_REAL.csv"
"internal_conversion_electrons","Ba137m_transition","624_and_655_keV_internal_conversion_electrons","keV","Ba-137m can de-excite by: (1) gamma emission (662 keV; 85.1%); or (2) internal conversion (IC) where 662 keV energy transferred to K- or L-shell electron ejected with E = 662 - E_binding; K-shell IC electron: ~624 keV; L-shell IC: ~655 keV; IC coefficient ~0.11","Internal conversion electrons from Ba-137m contribute to skin dose from surface Cs-137 contamination; IC electrons range ~2 mm in tissue; along with Cs-137 beta these contribute to beta skin dose; important for skin contamination dosimetry","NNDC IC coefficient data; Attix 1986; dosimetry of external beta contamination"
