outcome,population,period,finding,quantitative_value,units_or_scale,interpretation,source
congenital_anomalies_general,Belarus_all_regions,1986-2001,registered_anomalies_increased,1.7x,fold_increase_over_15yr,"Population-ecological data; increase may reflect improved ascertainment not radiation causation; confounded by improved registration and diagnostic capabilities post-1986",PubMed 9368311; Chernobyl Forum 2005
congenital_anomalies_general,Ukraine_all_regions,1986-2001,registered_anomalies_increased,5.7x,fold_increase,"Much larger apparent increase in Ukraine; likely primarily ascertainment artifact; UNSCEAR and IARC conclude no causal link",PubMed; Chernobyl Forum 2005
congenital_anomalies_Gomel_Belarus,Gomel_region_high_contamination,1994,maximum_frequency_observed,6x,fold_increase_vs_1986_level,"Peak in Gomel in 1994; contamination >555 kBq/m2 Cs-137; confounders include stress iodine deficiency post-Soviet healthcare collapse",ScienceDirect 2020; PMC7452506
congenital_anomalies_western_Europe,16_European_regions_EUROCAT,1986-1991,no_overall_increase,null_result,,EUROCAT (16 Western European regions): no increase in Down syndrome neural tube defects CNS defects or eye defects overall or dose-related; p>0.05,PubMed 10597995 EUROCAT Working Group
congenital_anomalies_Bavaria,Bavaria_Germany,1986-1987,no_increase_detected,null_result,,Bavaria Germany: no increase in birth prevalence of congenital malformations after Chernobyl,Springer Nature; PubMed
UNSCEAR_conclusion_birth_defects,All_affected_populations,2008,no_increase_attributable,null_result,,"UNSCEAR 2008 conclusion: no increase in birth defects congenital malformations stillbirths or premature births could be linked to Chernobyl radiation exposures",UNSCEAR 2008 Annex D p.25
Bryansk_Russia_malformations,Bryansk_4_oblasts_Russia,2000-2017,de_novo_malformations_study,varies,,Post-2000 study in Bryansk found de novo congenital malformation frequencies; results in PMC7452506; requires careful interpretation of ascertainment vs radiation,PMC7452506 ScienceDirect 2020
mental_retardation_in_utero,In_utero_8-15_weeks_exposure,1986,increased_risk_high_dose,threshold_>100mGy,,UNSCEAR 2008 acknowledges risk of intellectual disability for high-dose in utero exposures (>100 mGy) at 8-15 weeks; no significant effect below 100 mGy; affects very small number,UNSCEAR 2008 Annex D
mental_retardation_in_utero,In_utero_16-25_weeks_exposure,1986,possible_increased_risk_high_dose,threshold_>100mGy,,Weaker effect at 16-25 weeks; not clearly established below 300 mGy,UNSCEAR 2008
stillbirths_Europe,Europe,1986-1988,no_increase_attributable,null_result,,No increase in stillbirth rates attributable to Chernobyl in epidemiological studies,UNSCEAR 2008; IARC review
Down_syndrome,Europe_multiple_countries,1986-1988,reported_increases_not_radiation,confounded,,"Reported local increases in Down syndrome in some areas (Berlin 1987) were temporal coincidences; not dose-related; EUROCAT concluded no association",EUROCAT 1999
cancer_all_sites_liquidators,Liquidator_cohort,1986-2015,no_excess_overall_cancer,null_result_at_cohort_level,,"No statistically significant excess all-cause mortality or overall cancer at cohort level through ~2015; leukemia excess documented with dose-response; thyroid cancer in exposed population documented",UNSCEAR 2008; Chernobyl Forum 2005
leukemia_liquidators,Liquidator_cohort,1986-2014,excess_leukemia_confirmed,ERR_per_Gy_1.26,95%CI_0.03-3.58,"Confirmed excess leukemia in liquidators; ERR/Gy=1.26 consistent with Japanese atomic bomb survivor data; early period (1986-1997) ERR/Gy=4.17",DOAJ; PMC3960961; PMC2904977
thyroid_cancer_liquidators,Liquidator_cohort,1986-2015,possible_small_excess,not_yet_quantified,,"Some studies suggest possible thyroid cancer excess in liquidators due to I-131 inhalation; difficult to separate from general population trends; ongoing monitoring",Chernobyl Forum 2005; UNSCEAR 2008
cardiovascular_disease_liquidators,Liquidator_cohort,1986-2015,excess_CVD_deaths_observed,elevated_SMR,,Elevated standardized mortality ratio for cardiovascular disease in some studies; major confounders: stress poverty alcohol smoking; not attributable to radiation with certainty,Chernobyl Forum 2005
mental_health_effects,General_affected_population,1986-2005,significant_anxiety_PTSD,population_level,,Mental health most significant health consequence for general population per Chernobyl Forum 2005; displacement economic loss fear of radiation; 'nocebo' effect documented; higher rates anxiety depression PTSD in evacuees,Chernobyl Forum 2005; WHO 2006
suicide_rates,Evacuated_communities,1990s,elevated_rates,documented,,Elevated suicide rates in evacuated communities; related to social disruption loss of livelihood fear; not radiation,WHO 2006
cancer_mortality_projection_LNT,500_million_Europeans,1986-2065,projected_excess,~6600,cancer_deaths,"Linear No-Threshold model projection: ~6600 additional cancer deaths across Europe over 70 years from Chernobyl; <1% of expected cancer deaths; statistical uncertainty comparable to projected effect",UNSCEAR 2008; Chernobyl Forum 2005
cancer_mortality_projection_LNT,FSU_affected_population,1986-2065,projected_excess,~4000,cancer_deaths,"LNT projection for FSU populations; includes liquidators evacuees contaminated residents",Chernobyl Forum 2005
cancer_fatality_actual_confirmed,Chernobyl_exposed,1986-2005,confirmed,~60,total_deaths,"CNSC/WNA: ~60 total confirmed deaths directly attributable to Chernobyl through 2005: 2 on night + 28 ARS + ~30 thyroid cancer deaths (of 6000+ cases; <1% fatality rate with treatment)",WNA; CNSC Canada; Chernobyl Forum 2005
