"parameter","value","units","date_or_period","location_or_region","context","notes","source"
"Black_Sea_area","422000","km2","reference","entire_Black_Sea","Black Sea total surface area 422000 km²; semi-enclosed basin connected to Mediterranean via Turkish Straits (Bosphorus + Sea of Marmara + Dardanelles); receives freshwater from Dnieper Danube Dniester Don rivers; major rivers drain Chernobyl-contaminated catchments","Drainage basin area ~2.4 million km²; ~25% of Black Sea drainage basin received measurable Chernobyl fallout; major rivers (Dnieper Danube Dniester) all contaminated by Chernobyl fallout","UNSCEAR 2008; Mirzoyeva 2013 PMID:23522557; oceanographic reference"
"Black_Sea_chemocline_depth","100_to_150","meters","permanent_feature","entire_basin","Permanent halocline (pycnocline) at 100-150m depth divides: oxic surface layer (oxygenated; biologically productive) from anoxic deep water (H2S-rich; permanently stratified); radionuclides deposited at surface are effectively confined to upper 100-150m","The permanent stratification means Chernobyl radionuclides deposited in 1986 CANNOT be mixed into the 2100m deep anoxic layer by wind-driven mixing; residence time of surface water ~200-300 years before exiting through Bosphorus; unique oceanographic feature confines contamination to surface","Murray JW et al. 1989 Deep Sea Res; Mirzoyeva 2013; dnieper_river_contamination_REAL.csv"
"Black_Sea_Cs137_direct_fallout","1986","TBq","1986","Black_Sea_surface","Direct atmospheric deposition of Cs-137 onto Black Sea surface during Chernobyl plume passage; estimated 300-500 Bq/m² average over Black Sea; total ~130-200 TBq Cs-137 direct fallout on Black Sea surface; Northwestern areas received higher deposition (500-1500 Bq/m²)","Direct fallout on sea was comparable to river input for Cs-137; however Cs-137 is particle-reactive and adsorbs to sediments quickly; settling in anoxic bottom prevents remobilization; Black Sea sediments now serve as long-term Cs-137 sink","UNSCEAR 2008 Annex D; Bossew 2004 Sci Total Environ; Buesseler KO 1987 Nature"
"Black_Sea_Cs137_water_1987","200_to_400","Bq_per_m3","1987","surface_mixed_layer","Peak Cs-137 in Black Sea surface water 1987 (combining fallout + initial river input); highest in NW Black Sea near Dnieper mouth; declined to 100-200 Bq/m³ by 1990","For context: WHO drinking water limit for Cs-137 is 10,000 Bq/m³ (10 Bq/L); Black Sea peak was 200-400 Bq/m³ = well below limit; not a direct health risk; ecological and monitoring significance","Povinec PP et al. 2004 Sci Mar; UNSCEAR 2008; Stokozov NA et al."
"Black_Sea_Cs137_water_current","56","Bq_per_m3","2010s_to_2020s","surface_water_open_basin","Current Cs-137 = 56 Bq/m³ = 0.056 Bq/L; well below WHO limit (10 Bq/L = 10,000 Bq/m³); still elevated above pre-Chernobyl weapons testing background of ~2-5 Bq/m³ (pre-1986 nuclear tests contributed ~150-250 Bq/m³ in 1960s peak)","Chernobyl Cs-137 superimposed on declining nuclear test baseline; decline from Chernobyl peak follows: physical decay (30yr half-life); dilution; sediment scavenging; export through Bosphorus; current level will continue declining toward background over next 50-100 years","dnieper_river_contamination_REAL.csv; J Environ Radioact Black Sea monitoring; Povinec 2004"
"Black_Sea_Sr90_water_current","32","Bq_per_m3","2010s_to_2020s","surface_water","Current Sr-90 = 32 Bq/m³ = 0.032 Bq/L; well below WHO guideline (10 Bq/L); primarily from weapons testing fallout globally (622 PBq Sr-90 from testing); Chernobyl contributed ~5-10% of current Black Sea Sr-90","Global nuclear test Sr-90 dominates over Chernobyl contribution (622 PBq testing >> 10 PBq Chernobyl total); Chernobyl Sr-90 contribution ~5% after dilution in Black Sea; distinction from test Sr-90 requires isotopic analysis","dnieper_river_contamination_REAL.csv; Mirzoyeva 2013 PMID:23522557"
"Black_Sea_Sr90_river_input_total","160","TBq","1986_to_2000","via_Dnieper_and_Danube","Total Sr-90 delivered to Black Sea from Chernobyl-contaminated catchments via rivers 1986-2000: ~160 ± 28 TBq; split Dnieper ~100 TBq (63%); Danube ~60 TBq (37%); Danube catchment includes Austria Germany Czech Slovakia with significant Chernobyl deposition","Sr-90 stays dissolved; river transport is primary Sr-90 delivery mechanism to Black Sea; contrast with Cs-137 where particle-reactive behavior traps >50% in Kyiv reservoir sediments (only 1-5% reaches Black Sea); see dnieper_river_contamination_REAL.csv","Mirzoyeva 2013 PMID:23522557; dnieper_river_contamination_REAL.csv"
"Black_Sea_Cs137_sediment","50_to_200","Bq_per_kg_dry_weight","1990s_to_2010s","NW_Black_Sea_shelf_sediments","Cs-137 in Black Sea shelf sediments (0-200m depth); NW shelf near Dnieper mouth highest; organic-rich shelf sediments accumulate particle-reactive Cs-137; activity decreasing slowly (physical decay + burial by clean sediment)","Sediment inventories integrate both direct fallout and river input; can be used to reconstruct annual deposition rates; Black Sea sediment core archive useful for tracing flood events and increased river input over decades","Gulin SB et al. J Environ Radioact 2008; Povinec 2004; IAEA Marine Environment Laboratory Monaco"
"Black_Sea_Cs137_export_Bosphorus","2_to_5","TBq_per_year_initial","1987_to_1995","Bosphorus_outflow","Cs-137 export from Black Sea to Sea of Marmara and Mediterranean via Bosphorus surface current: estimated 2-5 TBq/yr in late 1980s; declining as Black Sea concentrations fell; total export 1986-2000 ~15-25 TBq Cs-137 to Mediterranean","Bosphorus carries ~600 km³/yr of Black Sea surface water to Mediterranean; radionuclides in Black Sea are slowly exported; this is the dilution/loss mechanism for Black Sea contamination on decadal timescales","Guegueniat P 1994 J Environ Radioact; IAEA 2005 Marine radioactivity atlas"
"Black_Sea_fish_contamination","below_EU_limits","Bq_per_kg","1987_to_present","Black_Sea_commercial_fish","Cs-137 in Black Sea commercial fish (sprat anchovy mackerel): peaked 1987-1989; mostly <100 Bq/kg; well below EU limit 600 Bq/kg for fish (Regulation 2016/52); no closure of Black Sea fisheries required unlike Baltic and Scandinavian inland lakes","Marine fish accumulate Cs-137 less efficiently than freshwater fish (seawater high in stable Cs competitive inhibition); Black Sea never required fisheries restrictions; contrast with Baltic: herring up to 400-500 Bq/kg in late 1980s","UNSCEAR 2008 Annex D; EU Commission food safety reports; food_agricultural_contamination_REAL.csv"
