"parameter","value","units_or_date","context","details","ecological_significance","source"
"wolf_population_density","7_to_19_times_reference_regions","relative_to_comparable_uncontaminated_areas","2014-2022","Wolf density in CEZ: Deryabina 2015 (Current Biology): wolf density 7-19x higher in CEZ compared to four nearby uncontaminated nature reserves in same region; wolf density CEZ = ~10/100 km²; reference reserves = ~0.5-1/100 km²; population estimated using snow track surveys and camera traps; 30km exclusion zone = de facto nature reserve; no hunting; no human activity; forest succession","Wolf density increase attributed to: absence of human persecution; no hunting since 1986; cessation of land cultivation; forest succession providing habitat; Deryabina study did NOT find evidence that radiation levels reduced wolf reproduction or survival; wolves accumulated Cs-137 via prey (wild boar; deer) but still maintained high population density; see cez_wildlife_contamination_REAL.csv and cez_wildlife_population_census_REAL.csv","Deryabina 2015 Curr Biol doi:10.1016/j.cub.2015.08.017; Bondarkov 2011; cez_wildlife_population_census_REAL.csv"
"wild_boar_Cs137_contamination","mean_46000_Bq_per_kg_max_660000","Bq/kg_fresh_weight","CEZ_2016","Wild boar (Sus scrofa) Cs-137 in CEZ: mean = 46,000 Bq/kg fw; maximum = 660,000 Bq/kg fw; EU food limit = 600 Bq/kg; CEZ wild boar = 77x EU food limit on average; contamination route: rooting behavior → ingestion of soil + subterranean fungi + soil invertebrates; boar Cs-137 body burden = dominant radionuclide (Cs-137 as K-analog distributed uniformly in muscle)","Wild boar contamination highest of all large mammals in CEZ; accumulation factor (soil to muscle): high due to rooting behavior; soil ingestion (>100 g/day for rooting animals); unlike deer (grazing from above-ground vegetation), boar concentrates contamination from deeper soil where Cs-137 less available; external dose from CEZ boar muscle: if hunted and eaten: single meal = 500g × 46,000 Bq/kg = 23,000 Bq ingested × 1.3×10⁻⁸ Sv/Bq = 0.3 µSv","cez_wildlife_contamination_REAL.csv; soil_plant_transfer_factors_REAL.csv; cez_soil_radionuclides_2016_REAL.csv"
"Chernobyl_frog_melanin_adaptation","dark_coloration_radiation_protection","qualitative","2022","Tree frogs (Hyla orientalis) in CEZ: Burraco 2022 (Evolutionary Applications): frogs from most contaminated CEZ areas have significantly darker dorsal coloration (more melanin) than frogs from uncontaminated areas; proposed mechanism: melanin acts as radioprotective molecule (absorbs radiation; scavenges free radicals); darker coloration may have been positively selected in high-radiation environment over 35 years; 10-15 frog generations since 1986","Frog melanin adaptation = one of first confirmed evolutionary responses to radiation in wild vertebrate population; evidence of natural selection operating on radiation response over 35 years; caveat: correlation established; causation mechanism (melanin as radioprotectant) plausible but not definitively proven; other explanations possible (background UV variation, cryptic function); suggests CEZ animals may be evolving radiation resistance; significant implications for radiobiology","Burraco 2022 Evol Appl doi:10.1111/eva.13335; Moller Mousseau 2006 Biol Lett; cez_wildlife_population_census_REAL.csv"
"forest_succession_CEZ","agricultural_land_returning_to_forest","N/A","1986-present","Forest succession in CEZ: all agricultural land (crops; pasture) within 30km zone abandoned 1986; in 38 years: complete succession from abandoned field → grassland → shrubland → secondary forest; 40-60% of previously agricultural land now covered by successional forest (primarily Scots pine and birch on sandy soils); original Red Forest area (killed by radiation): regenerated naturally with mixed deciduous forest replacing monoculture pine; habitat diversity INCREASED compared to pre-accident agricultural landscape","CEZ as inadvertent experiment in forest succession: baseline comparison available (aerial photography 1986); progression documented by: EBRD surveys; satellite imagery analysis; scientific expeditions; rare species returning to abandoned farmland: European bison (reintroduced); Przewalski's horses (reintroduced 1998; population now ~200); lynx, brown bear; total 350 bird species; vertebrate diversity equals or exceeds adjacent inhabited regions despite radiation contamination","Beresford 2022; cez_wildlife_population_census_REAL.csv; Deryabina 2015; cez_research_2022_2025_REAL.csv"
"fungi_Cs137_accumulation","highest_transfer_factors_of_any_organism","qualitative","1986-present","Fungi as Cs-137 concentrators: forest floor fungi (Porcini, Cortinarius, Xerocomus etc.) have the highest Cs-137 transfer factors of any organism: Fv = 0.03-16.7 m²/L (vs cereals Fv = 0.003-0.03); reason: fungal hyphae penetrate entire soil profile including Cs-137-rich organic horizon; Cs accumulates in fruiting bodies; mushrooms in CEZ: some species exceed 1,000,000 Bq/kg Cs-137 dry weight; common edible species in contaminated areas: 10,000-100,000 Bq/kg","Mushroom ingestion = primary ongoing Cs-137 exposure pathway in contaminated regions; autumn mushroom harvest season = peak body burden in Ukrainian/Belarusian/Russian populations (reflected in cs137_body_burden_ukraine_REAL.csv autumn peaks); EU limit 600 Bq/kg frequently exceeded in forest mushrooms from contaminated areas 40 years later; transfer factors vary: truffles (underground) < boletus < cortinarius; species-specific Fv essential for risk assessment","soil_plant_transfer_factors_REAL.csv; cs137_body_burden_ukraine_REAL.csv; Bakken 1990 J Environ Radioact; Guillén 2009 J Environ Radioact"
"lichen_reindeer_pathway","highest_Cs137_transfer_in_terrestrial_food_chains","Bq/kg","1986-present","Lichen-reindeer pathway (Scandinavia): lichen (Cladonia, Cetraria) have no root system; absorb all nutrients/contaminants from wet deposition; virtually no soil contact (no dilution by inorganic soil); lichen Fv = 10-100 m²/L for Cs-137; Norwegian/Finnish reindeer eat large quantities of lichen (especially winter); Cs-137 in lichen: 10,000-100,000 Bq/kg in 1987; reindeer Cs-137 at peak: 100,000 Bq/kg muscle (170x EU food limit); current (2025): 1,000-10,000 Bq/kg still above 1,500 Bq/kg Sami food limit","Lichen pathway = most efficient radionuclide concentration in any food chain studied; Norwegian/Finnish Sami reindeer herders had highest dietary Cs-137 exposure in Europe outside FSU; 60,000+ Norwegian reindeer slaughtered or used for animal feed 1986-2020 because exceeded food limits; Sami indigenous livelihood severely impacted; reindeer pathway still active because lichen accumulate Cs-137 from soil surface for decades; see baltic_sea_contamination_REAL.csv","baltic_sea_contamination_REAL.csv; Strand 2002; Josefsson 2012 J Environ Radioact; soil_plant_transfer_factors_REAL.csv"
"trees_as_bioindicators","tree_rings_record_1986","qualitative","1986-2024","Trees as radionuclide bioindicators: (1) tree rings: annual rings in Scots pine show 1986 growth layer with elevated Sr-90 and Cs-137 (incorporated during growth flush April-June 1986); subsequently declining concentrations; used for: retrospective timeline; source attribution; (2) tree bark: accumulated surface deposition (beta burns to bark = tree death in Red Forest); (3) bark Cs-137 serves as historical deposition recorder for decades; (4) oak bark accumulates Am-241 from soil/root uptake","Tree ring bioarchives: 1986 growth layer contains I-131 decay products (Ba-131/Xe-131 stable); Cs-137 remains elevated in rings formed 1986-1990; rings 1991+ show decreasing incorporation tracking declining soil bioavailability; tree ring Sr-90 shows peak 1986 then decrease as dissolution of fuel particles slows; trees = inexpensive historical dosimeters; multiple CEZ studies used tree rings to reconstruct 1986 deposition timing","Dvornik 2006 J Environ Radioact; Pawlyta 2004 J Environ Radioact doi:10.1016/j.jenvrad.2004.01.029; cez_soil_radionuclides_2016_REAL.csv"
"earthworm_Cs137_bioturbation","soil_mixing_redistributes_Cs137","qualitative","1986-present","Earthworm bioturbation and Cs-137: Lumbricus terrestris and other earthworms (absent or reduced in first years of CEZ; recovered by 1990s); earthworms ingest soil and organic matter → passes through gut → deposited at different depth; typical bioturbation depth: 0-20cm; rate: 1-5 cm/yr downward mixing; effect: slowly homogenizes Cs-137 vertical profile; 1986: Cs-137 in top 1cm; 2016: mean depth penetration 5-8cm (bioturbation + diffusion); earthworm excretion castings have elevated Cs-137 (concentrated after gut passage)","Bioturbation importance: (1) deepens Cs-137 profile over time (reduces surface dose; reduces fire resuspension risk); (2) brings Cs-137 into soil layers accessible to roots (increases plant uptake); (3) redistributes activity to earthworm-accessible organic horizon where Fv highest; bioturbation rate parameter required for long-term dose projection models; IAEA safety assessment code includes bioturbation term; measured by depth profile analysis over decades","Frissel 1992 J Environ Radioact; IAEA BIOMASS programme; cez_soil_radionuclides_2016_REAL.csv; soil_plant_transfer_factors_REAL.csv"
"breeding_bird_survey_CEZ","mixed_results_vs_reference","N/A","2005-2022","Bird populations in CEZ: Moller and Mousseau (2007, 2009, multiple papers): claimed significant reductions in bird abundance and diversity in high-contamination areas; disputed by: Deryabina 2015 who found wildlife thriving; Smith et al. 2016 analysis found methodology issues with Moller/Mousseau studies; Baker et al. 2016: independent survey showed no correlation between Cs-137 and bird abundance; UNSCEAR 2021 assessment: insufficient evidence for population-level effects on birds at current CEZ dose rates","Moller/Mousseau vs Deryabina/Baker controversy is one of most contested topics in Chernobyl ecology; core dispute: statistical methodology; confounding factors; measurement of 'background' contamination; independent replication (Baker 2016) failed to confirm Moller/Mousseau results; consensus: short-term individual-level effects documented; long-term population-level effects NOT reliably demonstrated; wildlife thriving overall in absence of human pressure despite radiation exposure","contested_radiation_science_REAL.csv; Baker 2016 PLOS ONE doi:10.1371/journal.pone.0153310; Deryabina 2015; Moller Mousseau 2009 PMID:18818124"
"aquatic_biota_CEZ_cooling_pond","catfish_perch_Cs137","Bq/kg","2016-2022","Aquatic biota in CEZ cooling pond: catfish (Silurus glanis): up to 96,000 Bq/kg wet weight; perch (Perca fluviatilis): 7,844 Bq/kg wet weight (2016); pike: 5,000-20,000 Bq/kg; EU fish limit = 600 Bq/kg; cooling pond fish generally 10-100x over limit; mechanisms: direct ingestion of contaminated invertebrates; water filtration (bivalves); bottom sediment contact; giant catfish in cooling pond = CEZ 'attraction' (up to 2m length); ecosystem appears functioning with high fish biomass despite contamination levels","Cooling pond fish: ecological effects at 7,844-96,000 Bq/kg are uncertain; population level: fish abundant; individual level: likely increased mutation rate; increased chromosome aberrations documented in cooling pond fish; see chernobyl_cooling_pond_REAL.csv; catfish body burden radiation dose to fish itself: at 96,000 Bq/kg Cs-137 × uniform distribution: internal dose ~0.2-0.5 mGy/day = 70-180 mGy/yr; above ICRP 108 screening level but below acute harm threshold","chernobyl_cooling_pond_REAL.csv; cez_wildlife_contamination_REAL.csv; ICRP 108 2008 wildlife protection"
