"location","distance_from_NPP_km","direction","Cs137_deposition_kBq_per_m2","Sr90_deposition_kBq_per_m2","Pu239_240_deposition_Bq_per_m2","date_or_period_of_measurement","contamination_type","current_dose_rate_or_notes","source"
"Chernobyl_NPP_Unit_4_reactor_roof","0","on-site",">10000_plus_fuel_fragments",">1000","extremely_high_fuel_particles","1986","UO2_and_graphite_fuel_particles_direct_release","Inaccessible; corium in basement; 34 µSv/h in basement Room 217/2; see corium_fcm_physics_REAL.csv","corium_fcm_physics_REAL.csv; OECD-NEA 1996"
"Chernobyl_NPP_Unit_3_turbine_hall_roof","<0.1","adjacent","graphite_fragments_and_fuel_particles_on_roof","high","very_high_direct_ejecta","1986-04-26","direct_ejecta_from_Unit_4_explosion","Decontaminated by liquidators May-June 1986; roof decontamination was most hazardous cleanup task; workers measured in seconds per shift on roof due to dose rates >3-5 Gy/hr from graphite blocks","INSAG-7; UNSCEAR 2008 Annex D; chernobyl_accident_chronology_REAL.csv"
"Red_Forest_northwest","1_to_3","NW","4000_to_10000","150_to_400","~300_to_1700","1986","fuel_particles_graphite_volatile_aerosols_combined","Dead pine trees (turned red-brown) buried 1987; most contaminated soil in CEZ outside NPP itself; see red_forest_waste_sites_REAL.csv","red_forest_waste_sites_REAL.csv; IAEA-TECDOC-1247; Beresford 2022 PLOS ONE"
"Pripyat_city","2_to_3","W_to_NW","approximately_1800_to_3700","40_to_80","50_to_200","1986_initial; decay-corrected_present","volatile_aerosols_plus_some_fuel_particles","Evacuated April 27 1986; ~49000 residents left in ~3 hours; current (2026) background dose ~4.932 µSv/h (SaveEcoBot); current Cs-137 calculated ~1150 kBq/m² consistent with 2400 kBq/m² in 1986 × decay factor 0.40 (40 years elapsed)","IAEA-TECDOC-1247; modern_monitoring_REAL.csv; SaveEcoBot Apr 2026; UNSCEAR 2008"
"Yaniv_settlement","2","W","very_high_evacuated","high","high","1986","volatile_plus_particle","Small settlement adjacent to NPP; liquidators used Yaniv station as logistics hub; some buildings incorporated into exclusion zone infrastructure","IAEA Environmental Consequences 2003"
"Kopachi_village","4","S","very_high_>4000_estimated","high","high","1986_and_1987_burial","dense_fuel_particle_contamination","Unique case: entire village physically buried under 2m of soil by bulldozers 1987; only village in CEZ where buildings were completely buried; bulldozing created new groundwater contamination pathway","IAEA-TECDOC-1247; DAZV Ukraine historical records; OECD-NEA 1996"
"Chernobyl_city","14_to_16","SSE","150_to_600","5_to_15","10_to_50","1986","volatile_aerosols_primary","Administrative center of Exclusion Zone; ~13000 inhabitants evacuated 1986; current dose 0.209 µSv/h (SaveEcoBot Apr 2026); serves as base for CEZ administration and workers; some workers reside here weekly","IAEA-TECDOC-1247; modern_monitoring_REAL.csv; contamination_zones_REAL.csv"
"Duga_radar_Chernobyl_2","9","NW_of_NPP_NE_of_city","600_to_1000","20_to_40","100_to_300","1986","fuel_particles_and_volatile_aerosols","Soviet over-the-horizon radar (Steel Yard/Russian Woodpecker); 750m long array; in NW direction = higher deposition; now tourist attraction; current dose rate 0.3-0.8 µSv/h near structures","modern_monitoring_REAL.csv; IAEA 2003 Environmental Consequences"
"10km_zone_average","0_to_10","all_directions","approximately_800_to_1400","30_to_80","50_to_300","1986_average","mixed_particle_and_volatile","Strong directional asymmetry within 10km: NW (Red Forest) 5-10x higher than E or SE; 10-km zone generally mandatory exclusion indefinitely; some variation by microterrain (topography influences deposition)","IAEA-TECDOC-1247; contamination_zones_REAL.csv; OECD-NEA 1996"
"30km_zone_average","10_to_30","all_directions","approximately_100_to_400","3_to_20","5_to_50","1986_average","volatile_aerosols_primary_some_particles","Highly variable within 30km zone; Belarus north corridor higher; plume paths created asymmetric contamination; some areas within 30km below the 37 kBq/m² threshold; some areas outside 30km above 555 kBq/m² (mandatory evacuation)","IAEA-TECDOC-1247; contamination_zones_REAL.csv; european_deposition_REAL.csv"
