species,common_name,tissue,radionuclide,location,year,value_mean,value_min,value_max,units,EU_limit_Bq_per_kg,notes,source
Sus_scrofa,Wild_boar,muscle,Cs-137,CEZ_Ukraine,2024,46000,,660000,Bq_per_kg_fw,600,Mean 46000 Bq/kg = 77x EU limit; max 660000 Bq/kg = 1100x EU limit; EU wild game limit 600 Bq/kg,ScienceInsights 2024; Beresford CEZ wildlife studies
Sus_scrofa,Wild_boar,bone,Sr-90,CEZ_Ukraine,2024,17600,,,Bq_per_kg_fw,,Sr-90 mean 17600 Bq/kg in bone; bone-seeker; not consumed; indicator of chronic bone dose,ScienceInsights 2024
Sus_scrofa,Wild_boar,muscle,Cs-137,Germany_Bavaria,2021,,500,60000,Bq_per_kg_fw,600,Bavaria wild boar still exceed EU limit 35yr post-Chernobyl; potassium-poor soils cause ongoing Cs-137 uptake; hunting compensation paid,BfS 2021 annual wildlife monitoring
Myodes_glareolus,Bank_vole,whole_body,Cs-137,CEZ_Red_Forest,2016,,,,Bq_per_kg_fw,,Sentinel species for CEZ contamination; strong individual heterogeneity; high Cs-137 via food chain; used as biological dosimeter,Beresford et al. 2022 PLOS ONE
Myodes_glareolus,Bank_vole,whole_body,Cs-137,CEZ_cooling_pond,2025,,,,qualitative,,Cooling pond study 2025: blood system impacts monitored; absorbed dose 30-40 µGy/h in contaminated pond areas,IJRB doi:10.1080/09553002.2025.2505529
Canis_lupus,Gray_wolf,muscle,Cs-137,CEZ,2018,,,,qualitative,,CEZ wolf population ~200 (7x outside density); high Cs-137 body burden from prey; top-predator ecosystem contamination indicator,Byrne et al. 2018 doi:10.1111/ejwl.12466
Rutilus_rutilus,Roach,muscle,Cs-137,CEZ_cooling_pond,2015,,580,29000,Bq_per_kg_fw,1250,Cooling pond fish pre-drainage: 580-29000 Bq/kg; EU fish limit 1250 Bq/kg; fishery officially prohibited in CEZ,ISPNPP 2015; CEZ wildlife studies
Silurus_glanis,Wels_catfish,muscle,Cs-137,CEZ_cooling_pond,2015,,3000,50000,Bq_per_kg_fw,1250,Giant catfish >2m; decades of Cs-137 bioaccumulation; 50000 Bq/kg max = 40x EU fish limit; pond drained 2014-2019,ISPNPP 2015; multiple CEZ wildlife studies
Hirundo_rustica,Barn_swallow,whole_body,Cs-137,CEZ,2000,,,,qualitative,,Elevated partial albinism rates (~2x control); reduced sperm quality; elevated mutation rates in high-contamination areas; Mousseau/Moller studies; causal attribution debated,Mousseau & Møller 2014 PLOS ONE; Ecology Letters
Fungal_species_Cs_hyperaccumulators,Forest_fungi,fruiting_body,Cs-137,CEZ_forest,2020,,,,Bq_per_kg_fw,600,Fungi hyperconcentrate Cs-137 via mycelium-root symbiosis; may exceed 10^5-10^6 Bq/kg in CEZ; primary pathway Cs-137 entry to forest food chains; forbidden across Europe post-1986,UNSCEAR 2008; Kuchma 2001 J Radioanalytical Nucl Chem
All_biota_soil_organisms,Soil_organisms_Red_Forest,whole_body_absorbed_dose,all_gamma,CEZ_Red_Forest,2016,1753,0.7,,µGy_per_hour,,Range 0.7-1753 µGy/h across 53 study plots; ICRP derivation reference level 40 µGy/h; many Red Forest plots far exceed,Beresford et al. 2022 PLOS ONE doi:10.1371/journal.pone.0263600
All_biota_deciduous,Deciduous_habitat_organisms,whole_body_absorbed_dose,all_gamma,CEZ_Deciduous,2016,22.3,0.41,78.0,µGy_per_hour,,20 deciduous plots mean 22.3 µGy/h; approaching ICRP 40 µGy/h reference level for some; significant chronic irradiation,Beresford et al. 2022 PLOS ONE
Equus_ferus_przewalskii,Przewalski_horse,body,Cs-137,CEZ_Belarus_Polesie,2020,,,,qualitative,,~100 Przewalski horses thriving in Belarusian CEZ (reintroduced 1998); moderate Cs-137 body burden via grazing; no observed population-level health effects,Beresford 2016; Przewalski Horse Project CEZ
Passerine_birds,Forest_songbirds_CEZ,population_abundance,Cs-137_dose_gradient,CEZ_contamination_gradient,2011,,,,relative_vs_control,,Bird abundance significantly reduced in areas >100 kBq/m2 Cs-137 (Mousseau & Moller 2011); species richness reduced; but large mammals show no population reduction (Deryabina 2015). Bird vs mammal discrepancy still debated,Mousseau & Møller 2011 Oecologia; Deryabina 2015 Current Biology; Baker 2017 Current Biology
Large_mammal_community,Elk_deer_wolf_bear_boar,population_size,N/A,30km_zone,2024,,,,qualitative_thriving,,~300 wolves; ~3000 wild boar; ~1500 deer; ~1000 elk; Eurasian lynx; brown bear recolonized; absence of humans more important than radiation for large mammal population. Wildlife numbers: Deryabina 2015,Deryabina 2015 Current Biology doi:10.1016/j.cub.2015.08.005; Beresford 2022
