"species_group","common_name","survey_method","year_start","year_end","location","value","units","comparison_ratio","comparison_reference","notes","source"
"Alces_alces","Elk_Moose","helicopter","1987","1996","PSRER_Chernobyl_Belarus_side","","qualitative_trend","1.3","Bryansky_Reserve_Belarus","Elk counts increased consistently 1987-1996; density ratio PSRER:Bryansky = 1.30:1; similar or higher than uncontaminated reserve","Deryabina 2015 Current Biology doi:10.1016/j.cub.2015.08.005"
"Capreolus_capreolus","Roe_deer","helicopter","1987","1996","PSRER_Chernobyl_Belarus_side","","fold_increase","","","Roe deer counts increased ~10-fold 1987-1996; fastest population increase of any species; no hunting pressure + abundant vegetation","Deryabina 2015 Current Biology"
"Sus_scrofa","Wild_boar","helicopter","1987","1996","PSRER_Chernobyl_Belarus_side","","qualitative","0.66","Bryansky_Reserve_Belarus","Wild boar 1987-1996 generally increasing; 1993-94 dip due to disease outbreak (African swine fever); density ratio 0.66:1 vs reference reserve","Deryabina 2015 Current Biology"
"Canis_lupus","Gray_wolf","track_survey","2008","2010","PSRER_Chernobyl_Belarus_side","","track_density","19.0","4_uncontaminated_Belarus_reserves","Wolf track density 19x higher than 4 uncontaminated reference reserves; no hunting = apex predator recovered fully; ~200+ wolves in 30km zone","Deryabina 2015 Current Biology"
"Lynx_lynx","Eurasian_lynx","track_survey","2008","2010","PSRER_Chernobyl_Belarus_side","","track_density","1.3","4_uncontaminated_Belarus_reserves","Lynx track density 1.3x higher than reference reserves; re-established breeding population in CEZ","Deryabina 2015 Current Biology"
"Sus_scrofa","Wild_boar","track_survey","2008","2010","PSRER_Chernobyl_Belarus_side","","track_density","0.66","4_uncontaminated_Belarus_reserves","Wild boar density 0.66x vs reference; slightly lower possibly due to wolf predation; total ~3000 individuals estimated in 30km zone","Deryabina 2015 Current Biology"
"Capreolus_capreolus","Roe_deer","track_survey","2008","2010","PSRER_Chernobyl_Belarus_side","","track_density","0.25","4_uncontaminated_Belarus_reserves","Roe deer track density 4x LOWER than reference; possibly due to high wolf predation pressure; wolves 19x vs reference","Deryabina 2015 Current Biology"
"Canis_lupus","Gray_wolf","population_estimate","2024","2024","30km_exclusion_zone","300","individuals","7.0","uncontaminated_areas_of_same_size","~300 wolves estimated in CEZ; 7x higher density than outside CEZ; apex predator controls prey populations","Deryabina 2015 + follow-up estimates; Beresford 2022"
"Sus_scrofa","Wild_boar","population_estimate","2024","2024","30km_exclusion_zone","3000","individuals","","","~3000 wild boar in 30km zone; high Cs-137 body burden (mean 46000 Bq/kg muscle); not safe to eat","Deryabina 2015 + follow-up; ScienceInsights 2024"
"Cervus_elaphus","Red_deer","population_estimate","2024","2024","30km_exclusion_zone","1500","individuals","","","~1500 red deer in exclusion zone","Deryabina 2015 + estimates"
"Alces_alces","Elk","population_estimate","2024","2024","30km_exclusion_zone","1000","individuals","","","~1000 elk (moose) in exclusion zone; increasing trend","Deryabina 2015 + estimates"
"Ursus_arctos","Brown_bear","confirmed_presence","2010","2024","CEZ_Ukraine_Belarus","","present","","","Brown bear recolonized CEZ; were absent pre-1986; hunting ban + forest recovery allowed return; den sites documented","Beresford 2022; Chernobyl Research Initiative"
"Equus_ferus_przewalskii","Przewalski_horse","census","2020","2020","CEZ_Belarus_Polesie_Reserve","100","individuals","","","~100 Przewalski horses thriving; reintroduced 1998; no observed population-level health effects; moderate Cs-137 body burden via grazing","Przewalski Horse Project; Beresford 2016"
"Large_mammal_community","All_large_mammals","correlation_analysis","1987","2010","CEZ_Belarus_side","","no_correlation_found","","","KEY FINDING: No significant correlation between mammal density and contamination density within CEZ; absence of humans is primary driver of wildlife recovery; radiation secondary at population level","Deryabina 2015 Current Biology (main conclusion)"
"Passerine_birds","Forest_songbirds","point_count","2005","2011","CEZ_Ukraine_gradient","","relative_abundance","0.5","uncontaminated_areas","Bird abundance significantly reduced in areas >100 kBq/m2 Cs-137; species richness reduced; Mousseau & Moller found negative abundance-contamination correlation; Baker 2017 disputed methodology; consensus unclear","Mousseau & Møller 2011 Oecologia; Baker et al. 2017 Current Biology doi:10.1016/j.cub.2017.01.036"
"Reference_populations","Comparison_reserve_details","reference_data","2008","2010","4_Belarus_nature_reserves","","methodology_note","","","Deryabina 2015 comparison against 4 uncontaminated Belarus reserves: Bryansky, Berezinsky, Belovezhskaya Pushcha, and one other; all free from hunting similar habitat type; robust null comparison","Deryabina 2015 Current Biology supplementary"
