"category","parameter","value","units","date_or_period","context","notes","source"
"physical_dimensions","surface_area","22.9","km2","constructed_1981","Cooling reservoir (also: Chernobyl NPP cooling pond); constructed 1981 to serve all 4 Chernobyl units; divides Prypiat River","25 km protective dam; 70-100m wide; 5.7m high; connected to Prypiat River via inlet/outlet structures","Bugai 1997 Wat Resour Res doi:10.1029/96WR03963; IAEA TECDOC-1886"
"physical_dimensions","water_volume","151E6","m3","pre_2014","0.15 km³; designed for 1000 MWe of reactor cooling; maintained 7m above Pripyat River level by pumping","Dam perimeter: 25 km; max depth: 18-20 m; mean depth: 6.6 m; length: ~11 km; width: ~2 km","IAEA TECDOC-1886; Bugai 1997"
"physical_dimensions","max_depth","18","meters","pre_2014","Southern deeper section; north shallower (~4m mean)","Stratification forms thermocline in summer; affects radionuclide vertical distribution in water column","IAEA TECDOC-1886; cooling pond characterization studies"
"water_concentration","total_activity_1986","3.7E5","Bq_per_liter","1986_post_accident","Total activity in cooling pond water immediately post-accident from all isotopes; dominated by short-lived fission products plus Cs-137 Cs-134 Sr-90","Equivalent to 370 MBq/m³; decreased rapidly as short-lived isotopes decayed and Cs-137 absorbed onto sediments","Distribution and Dynamics Springer 2020 doi:10.1007/978-981-15-3568-0_8"
"water_concentration","Cs137_north_1986","1500","Bq_per_liter","1986_post_accident","Cs-137 in northern part of cooling pond 1986; = 1.5 × 10⁶ Bq/m³","Heterogeneous distribution: northern section nearer reactor inflow; southern end lower concentrations","Distribution and Dynamics Springer 2020"
"water_concentration","Cs137_south_1986","1000","Bq_per_liter","1986_post_accident","Cs-137 in southern part of cooling pond 1986 = 1.0 × 10⁶ Bq/m³","Rapid sedimentation of Cs-137 onto bottom sediments within months of accident; 95% of Cs-137 absorbed by sediments","Distribution and Dynamics Springer 2020"
"water_concentration","Cs137_water_column_post_sedimentation","20","Bq_per_liter","1987_onward","Cs-137 in water column after rapid sedimentation onto bottom sediments; = 2.0 × 10⁴ Bq/m³; much lower than 1986 values","Cs-137 strongly sorbs onto fine-grained sediments and does NOT readily remobilize; contrast with Sr-90 which remains soluble","Bugai 2022 Sci Rep doi:10.1038/s41598-022-22842-5; groundwater_timeseries_REAL.csv"
"water_concentration","Sr90_stable_period","1000","Bq_per_m3","2000_to_2010","Sr-90 concentration stabilized at 1-2 kBq/m³ in cooling pond water 2000-2010; = 1 Bq/L","Sr-90 much more soluble than Cs-137; only ~20% of Sr-90 absorbed by sediments vs 95% Cs-137; remainder stays mobile in water","Bugai 2022 Sci Rep; MDPI Water 2024 doi:10.3390/w15081504"
"water_concentration","Sr90_groundwater_pre_drawdown","100_to_100000","Bq_per_m3","2011_to_2013","Sr-90 in groundwater around cooling pond before 2014 drawdown; wide range = 0.1 to 100 Bq/L depending on proximity to contamination sources","WHO drinking water guideline for Sr-90: 10000 Bq/m³ (10 Bq/L); some wells exceeded this even pre-drawdown","Bugai 2022 Sci Rep; Science Total Environ 2023 PMID:36739017"
"drawdown_2014","pumping_stopped","May_2014","date","2014","Cooling pond pumps stopped May 2014 as part of decommissioning; uncontrolled drawdown followed; water level dropped by up to 6m near dam","Prior to this pond maintained artificially 7m above Pripyat River level; drawdown was planned decommissioning step","IAEA TECDOC-1886; Science Total Environ 2023 PMID:36739017"
"drawdown_2014","groundwater_level_decrease_at_65pct_wells","0.5","meters","2014_to_2018","Groundwater levels decreased >50 cm at 65% of shallow monitoring wells following drawdown","Up to 6m decrease in wells adjacent to cooling pond; changing hydraulic gradient altered groundwater flow directions","Science Total Environ 2023 PMID:36739017; Bugai 2022"
"drawdown_2014","Sr90_floodplain_post_drawdown","102","kBq_per_m3","2017_to_2019_average","Sr-90 in Pripyat River floodplain groundwater north of ChNPP after 2014 drawdown; = 102 Bq/L","Exceeds WHO drinking water guideline (10 kBq/m³ = 10 Bq/L) by ~10x; drawdown altered hydraulic gradient → increased Sr-90 flux to floodplain","Science Total Environ 2023 doi:10.1016/j.scitotenv.2023.161232 PMID:36739017"
"drawdown_2014","Sr90_floodplain_pre_drawdown_comparison","10","kBq_per_m3","2010_to_2013","Pre-drawdown Sr-90 in Pripyat floodplain groundwater near WHO guideline; drawdown increased by 10x","Confirms drawdown caused significant increase in Sr-90 transport to floodplain; ongoing monitoring required; natural attenuation slow for Sr-90","Science Total Environ 2023 PMID:36739017"
"sediment_inventory","Cs137_bottom_sediments","16.28E12","Bq","2012_survey","Cs-137 total inventory in cooling pond bottom sediments; 2012 measurement; ± 2.59 TBq; = 16.28 TBq","95% of initial Cs-137 input now in sediments; sediment-bound Cs-137 not readily remobilized; controls long-term water concentration","Distribution and Dynamics Springer 2020 chapter; IAEA TECDOC-1886"
