"category","parameter","value","units","period","country_entity","context","source"
"total_damages","IAEA_Chernobyl_Forum_total_estimate","235","billion_USD","1986_to_2005_assessment","Belarus_Russia_Ukraine_combined","Chernobyl Forum 2005 total economic damage assessment for all three affected states; represents losses from contaminated land agricultural restrictions health costs infrastructure decommissioning; widely cited but methodology varies by source","IAEA Chernobyl Legacy 2005 doi:iaea.org/chernobyl"
"total_damages","30_year_scaled_estimate_all_factors","700","billion_USD","1986_to_2015_scaled","Three_FSU_states_combined","Higher estimate including 30-year totals; scaling across Ukraine Belarus Russia; cited in neuropsychiatric and economic studies; represents cumulative GDP losses not just direct expenditures; more comprehensive than 2005 IAEA estimate","Neuropsychiatric review PMC8629042; multiple economic analyses"
"Soviet_phase","direct_spending_1986_1989","12.6","billion_USD","1986_to_1989","USSR","Direct Soviet expenditures 1986-1989: emergency response; cleanup; construction; medical; evacuation; represents first 3 years of response costs in constant dollars","Soviet History MSU; Chernobyl Forum 2005; UNDP 2002"
"Soviet_phase","1990_USSR_budget","4.1","billion_USD","1990","USSR","1990 central USSR budget allocation for Chernobyl consequences","Soviet History MSU; UNDP 2002"
"Soviet_phase","1990_republic_budgets","1.4","billion_USD","1990","Belarus_Russia_Ukraine","Additional 1990 budgets from the three Soviet republics; total 1990 Soviet system spending ~$5.5 billion","Soviet History MSU"
"Belarus_costs","peak_budget_fraction","22.3","percent_of_national_budget","1991","Belarus","22.3% of Belarus national budget in 1991 devoted to Chernobyl consequences; highest fraction of any year; reflects massive scale of national burden on a country where ~70% of fallout landed; equivalent to approximately 1 ministry's entire allocation","UNDP/UNICEF Human Consequences 2002; Chernobyl Forum 2005"
"Belarus_costs","reduced_budget_fraction_2002","6.1","percent_of_national_budget","2002","Belarus","Declined to 6.1% by 2002 as acute phase passed; still a massive ongoing commitment; represents structural drag on Belarusian economic development for 30+ years","UNDP/UNICEF Human Consequences 2002"
"Belarus_costs","total_1991_to_2003","13","billion_USD","1991_to_2003","Belarus","Documented total of $13 billion over first 12 years post-Soviet; does not include pre-1991 or post-2003 spending; Belarus has ~70% of land fallout and greatest absolute contamination","UNDP/UNICEF Human Consequences 2002; Chernobyl Forum 2005"
"Belarus_costs","Belarus_total_1986_2015","235","billion_USD","1986_to_2015","Belarus","Belarus-specific total economic losses estimated at $235 billion 1986-2015; equivalent to more than 30 years of the entire national budget at peak; includes: lost agricultural production value; health system costs; social benefits; land remediation; infrastructure","Various Belarus economic analyses; WHO Chernobyl Legacy"
"Ukraine_costs","annual_budget_fraction","5_to_7","percent_of_national_budget","1991_to_2024","Ukraine","Ukraine devotes 5-7% of annual government budget to Chernobyl-related expenditures continuously since independence; includes: health monitoring programs; social benefits for liquidators and affected populations; zone maintenance; decommissioning","neuropsychiatric_longterm_health_REAL.csv; UNDP 2002"
"Ukraine_costs","documented_spending_1991_2015","20","billion_USD","1991_to_2015","Ukraine","Documented Ukrainian spending on Chernobyl $20 billion over first 25 years post-Soviet; does not capture full economic losses (land value agricultural production etc.)","Chernobyl Forum 2005; Ukrainian government budgets"
"NSC_construction","NSC_total_cost","1.5","billion_EUR","2010_to_2016","45_donor_countries","New Safe Confinement (Arch) construction cost €1.5 billion; funded by 45 donor countries through EBRD Chernobyl Shelter Fund; single largest structure ever moved; French consortium Novarka (Vinci + Bouygues) built adjacent then slid into position November 2016","EBRD; Bechtel; decontamination_countermeasures_REAL.csv"
"NSC_construction","Shelter_Implementation_Plan_total","2.1","billion_EUR","1997_to_2018","45_donor_countries","Shelter Implementation Plan (SIP): full program for making old sarcophagus safe; 300+ sub-projects; total €2.1 billion; includes NSC €1.5B + stabilization works + monitoring + waste management infrastructure","EBRD; WNA; decontamination_countermeasures_REAL.csv"
"displaced_population","permanently_displaced_total","200000","persons","1986_to_1990","Belarus_Russia_Ukraine","~200,000 persons permanently displaced from 30-km zone and high-contamination areas outside zone; many never returned despite some declared suitable for return; cultural loss of communities","Chernobyl Forum 2005; contamination_zones_REAL.csv"
"displaced_population","additional_30km_evacuees","67000+","persons","1986_to_1990","Ukraine_primarily","Additional 67,000+ evacuated from 30-km exclusion zone (not all permanently displaced); total affected = 115,000-135,000 evacuated from 30-km zone per UNSCEAR 2008","UNSCEAR 2008; contamination_zones_REAL.csv"
"social_benefits","current_recipients_all_countries","7000000","persons","2024","Belarus_Russia_Ukraine","~7 million people across three countries receiving social benefits (health monitoring; food supplements; resettlement support; disability payments) related to Chernobyl as of mid-2020s; reflects wide scope of official affected population","WHO Chernobyl Legacy; Chernobyl Forum 2005"
"social_benefits","liquidator_register_Ukraine","68145","persons","1987_to_2015_followup","Ukraine","Ukrainian state register tracks 68,145 liquidators with dosimetry records; smaller than total liquidator workforce because many records lost or not maintained; these are the subjects of epidemiological studies","Ukrainian State Register; neuropsychiatric_longterm_health_REAL.csv"
"land_costs","contaminated_agricultural_land_Belarus","2000000","hectares","1986","Belarus","~2 million ha of Belarusian agricultural land contaminated above agricultural use thresholds in 1986; large fraction eventually returned to restricted use; ongoing monitoring costs; K fertilizer and liming programs financed by state","UNDP 2002; contamination_zones_REAL.csv"
"land_costs","CEZ_total_area","2600","km2","1986_to_present","Ukraine","30-km exclusion zone: 2600 km2 of Ukraine permanently excluded from normal use; equivalent loss of agricultural production; tourism and commercial development impossible; security maintenance costs","DAZV Ukraine; modern_monitoring_REAL.csv"
