"parameter","value","units_or_date","context","details","medical_significance","source"
"first_responders_categories","firefighters_plant_operators_emergency_workers","N/A","1986-04-26","Three categories of Chernobyl first responders: (1) Plant operators on shift (Alexander Akimov shift; ~20 personnel in control room vicinity); (2) Chernobyl NPP fire brigade (Lieutenant Pravik team; ~30 firefighters); (3) Pripyat city fire brigade (Major Telyatnikov; additional ~100 firefighters); total initially responding: ~130-150 persons; firefighters reached site within 6-7 minutes of 01:23 alarm; worked on burning roofs (Turbine Hall and Unit 3 roof) without respirators","Firefighters working on contaminated graphite debris without any respiratory protection; received external whole-body doses from graphite fragments; beta burns to all exposed skin from surface contamination; some picked up graphite fragments by hand (later reports); dose rates on roof surface >100 Gy/hr; exposure time 45-90 minutes on roof → individual doses 2-16 Gy for those on roof","ars_cases_REAL.csv; Gale 1988 Nature; Guskova 2001 J Radiol Prot; Mettler 1992; Mould 2000"
"ARS_confirmed_cases","134_total_ARS_cases","persons","1986","Acute Radiation Syndrome: 134 confirmed cases (UNSCEAR criteria: dose >1 Gy with clinical ARS signs); 28 deaths within first 3 months (all from ARS or ARS complications); degree I (1-2 Gy): 41 cases; degree II (2-4 Gy): 50 cases; degree III (4-6 Gy): 22 cases; degree IV (>6 Gy): 21 cases; degrees III-IV = highest mortality; see ars_cases_REAL.csv for complete data","134 ARS cases from a single accident = unprecedented in peacetime nuclear history; all ARS cases were from first responders and plant workers in first hours; NO ARS cases among general public (too distant/low dose); ARS degree IV (>6 Gy): survival required bone marrow transplant or spontaneous marrow recovery; 2 accidental fatal criticalities had ARS in individuals (SL-1 1961; Tokaimura 1999)","ars_cases_REAL.csv; Guskova Baranov 1988 J Radiol Prot; UNSCEAR 2008; Mettler 1992 Radiology"
"Hospital_No_6_Moscow","specialized_ARS_treatment_center","Moscow_Russia","1986-04-27_to_1986-12","Hospital No. 6 (Moscow Clinical Hospital No. 6): Soviet/Russian specialized facility for radiation injuries; associated with Biophysics Institute; chief specialist: Dr. Angelina Guskova (world's leading expert on ARS); deputy: Dr. Alexander Baranov; 134 confirmed ARS patients evacuated by specially chartered flights from Kyiv to Moscow; first arrivals April 27 (within 24 hours of accident); 237 patients initially hospitalized (134 confirmed ARS; remainder initial suspicion)","237 initially hospitalized; 103 later discharged without ARS diagnosis; 134 confirmed; demonstrates: diagnosis of ARS is clinical (requires time for lymphocyte kinetics + symptom development); cannot be determined from single radiation measurement; Dr. Guskova's team performed all dose reconstructions from: lymphocyte counts; skin burn patterns; beta burn distribution; clinical symptoms","Guskova Baranov 1988; Baranov 1989 BMT; Mould 2000; ars_cases_REAL.csv"
"Dr_Angelina_Guskova","chief_medical_officer_ARS_treatment","N/A","1986_and_career","Dr. Angelina Guskova (1924-2015): head of radiation medicine clinic at Hospital No. 6; treated all 134 ARS patients 1986; previously treated Kyshtym and other Soviet radiation accidents; developed Soviet ARS grading system; assessed cases by: lymphocyte nadir at 7-9 days; onset of nausea/vomiting (within 4 hours → high dose); skin erythema; hair loss onset; worked 20-hour days April-June 1986; published seminal 1988 paper in J Radiol Prot","Guskova's clinical skill critical: had to distinguish true ARS from anxiety/emotional response in hundreds of people claiming exposure; no real-time dosimetry for most patients; lymphocyte count at 24-48 hours was most reliable early biological dose indicator; CD4/CD8 ratio changes helped characterize immune suppression; lymphocyte nadir timing predicted marrow recovery window","Guskova Baranov 1988 J Radiol Prot PMID:3184487; Mettler 1992; UNSCEAR 2008"
"lymphocyte_count_dosimetry","nadir_at_day_7_to_9","Bq_or_cells_per_uL","acute_biological_dosimetry","Biological dosimetry using lymphocyte count: normal count 1500-4000/µL; after whole-body irradiation: lymphocytes die within hours-days (mitotic death); nadir at day 7-9 post-exposure; nadir count correlates with dose: >1000/µL (not significant); 500-1000/µL (~1-2 Gy); 100-500/µL (~2-4 Gy); <100/µL (>4-6 Gy); <50/µL (>6 Gy; potentially lethal without BMT); serial counts also show recovery kinetics","Lymphocyte kinetics were PRIMARY biological dosimetry tool for Chernobyl ARS cases; physical dosimetry (pocket dosimeters) mostly unavailable/falsified; EPR tooth enamel retrospective but not available in 1986; FISH cytogenetics not routine in 1986; lymphocyte count + skin burn distribution + symptom onset time = clinical dose reconstruction method","Guskova 1988; Bond 1965 Radiation Injury in Man; Goans 1997 Health Phys; retrospective_dosimetry_methods_REAL.csv"
"bone_marrow_transplantation_1986","13_attempted_only_2_engrafted","N/A","1986","BMT (Bone Marrow Transplant) at Hospital No. 6: 13 BMT performed; donor: Robert Gale (UCLA) with Soviet team; Dr. Gale flew to Moscow April 28 with cyclosporine A (not available in USSR); 13 allogeneic BMT; results: only 2 successful engraftments; 11 failed (graft rejection); of 2 engrafted: both eventually died from complications; none of the 13 BMT patients survived long-term; those who survived ARS did so via spontaneous marrow recovery","BMT failure rate: 11/13 graft rejection; retrospective analysis showed BMT was wrong treatment for most Chernobyl ARS cases; reason: dose reconstruction showed most patients had mixed exposure (whole body AND localized skin/soft tissue); also: Chernobyl patients had combined radiation+thermal burns (burns suppress immune engraftment); BMT appropriate for pure whole-body irradiation above ~5-6 Gy with NO bone marrow recovery; Chernobyl patients had heterogeneous dose distribution","Baranov 1989 Bone Marrow Transplantation 4:69-76; Gale Butturini 1992; Champlin 1988 BMT; ars_cases_REAL.csv"
"beta_burns_skin_pathology","characteristic_Chernobyl_injury","N/A","1986","Beta radiation burns (cutaneous radiation injury): beta particles from graphite/fuel dust on skin; depth of beta penetration < 2mm for lower-energy beta (Sr-90); up to 11mm for Y-90 (2.28 MeV); skin layers: epidermis ~0.1mm; dermis 1-2mm; subcutaneous fat 10-20mm; beta from fuel particles causes: early erythema (hours); dry desquamation (weeks); moist desquamation (skin breakdown); with high dose: deep tissue necrosis; some patients had >100% of BSA (body surface area) with some degree of beta burn","Combined radiation injury = whole-body gamma/neutron dose + localized beta burns; beta burns initially mimic thermal burns but: no immediate pain; onset at 1-2 hours (early erythema); much deeper and harder to treat; surgical excision of necrotic tissue required in severe cases; some patients required skin grafting; 20 of 28 ARS deaths had severe beta burn component contributing to death","Hopewell 1990 PMID:2239088; Mettler 1992; Peter 1994; ars_cases_REAL.csv; beta_alpha_radiation_physics_REAL.csv"
"ARS_symptoms_timeline","nausea_within_1_to_4_hours_high_dose","qualitative","acute_phase","ARS clinical timeline: Prodromal phase (0-2 days): nausea, vomiting, erythema; if vomiting within 1 hour → dose likely >4 Gy; if 1-4 hours → 2-4 Gy; if >6 hours → <2 Gy; Latent phase (1-3 weeks): apparent recovery; Manifest illness phase (2-4 weeks): fever, infection, hemorrhage, hair loss; Recovery/death (4-8 weeks); ARS stages reflect: lymphoid tissue depletion; bone marrow failure; gut epithelium damage (>6 Gy); neurovascular syndrome (>20 Gy)","Time to vomiting = simple clinical triage tool for mass casualty nuclear events; most reliable indicator when no dosimetry available; Chernobyl firefighters arriving at Hospital No. 6: triage based on: time to first vomiting; skin erythema pattern; lymphocyte count 24hr; combination → clinical dose estimate within factor of 2; time-to-vomiting used in REAC/TS (Oak Ridge) nuclear accident response protocols to this day","REAC/TS protocol; Goans 1997 Health Phys; Dainiak 2012 Blood; Guskova 1988"
"deaths_28_in_first_3_months","ARS_fatalities_1986","persons","1986-04-26_to_1986-10","28 deaths from ARS within first 3 months: first death: Vladimir Shashenok (shift adjuster; killed by explosion/crushing injuries April 26); second death: Valery Khodemchuk (pump operator; body never recovered; entombed in reactor); subsequent ARS deaths April through August 1986; final ARS-attributed deaths by approximately September-October 1986; total confirmed ARS deaths by end 1986: 28; 2 additional deaths from explosion/physical trauma","Plant director Bryukhanov's dosimetry report to Moscow stated maximum dose 3.6 R/hr (=3.6 mSv/hr) — instruments topped out at 3.6 R = scale maximum; actual dose rates were 100-1000x higher (>1 Gy/hr on roof); deliberate underreporting or instrument saturation? Both; explains why initial Soviet response was inadequate — authorities believed their own false instruments","UNSCEAR 2008; ars_cases_REAL.csv; Mould 2000 Chernobyl Record; Plokhy 2018 Chernobyl"
"iodine_131_thyroid_doses_first_responders","not_measured_retrospectively","Gy","1986_thyroid_doses","I-131 thyroid doses in ARS patients: NOT systematically measured in acute phase; patients were high-dose whole-body (ARS) — thyroid dose was additional but overshadowed by bone marrow/skin failure; retrospective reconstruction of I-131 thyroid doses in ARS patients impossible due to: rapid decay (t1/2=8.02d); no in vivo thyroid counting in first days; thyroid doses in ARS patients likely high (same CEZ contamination) but thyroid cancer risk irrelevant given severe ARS injuries","Contrast: systematic thyroid dose measurement performed for evacuees and general population (but poorly, as documented in retrospective_dosimetry_methods_REAL.csv); for ARS patients thyroid dose was secondary medical concern; however long-term thyroid cancer monitoring of ARS survivors conducted by UNSCEAR follow-up; 5 ARS survivors developed thyroid cancer (background rate not excluded)","UNSCEAR 2008; Guskova 1988; retrospective_dosimetry_methods_REAL.csv; unscear_evacuee_thyroid_doses_REAL.csv"
