"parameter","value","units_or_date","context","details","environmental_significance","source"
"CEZ_groundwater_Sr90_current","0.5_to_50","Bq/L","2015-present","Strontium-90 in CEZ groundwater (2015-2025): range 0.5-50 Bq/L depending on location; WHO drinking water guideline = 10 Bq/L; hot spots: near burial sites and Red Forest = 50-500 Bq/L; average monitoring wells: 5-15 Bq/L; Pripyat River during normal flow: 0.1-0.3 Bq/L Sr-90; Sr-90 is highly soluble → moves with groundwater; groundwater contamination is primary continuing radiological pathway in CEZ beyond surface Cs-137","Sr-90 groundwater contamination in CEZ = most important ongoing environmental process; unlike Cs-137 (strongly sorbed to clay minerals and organic matter), Sr-90 (Ca-analog) moves freely through sandy soils; buried fuel particles (Type I, unoxidized) slowly dissolving releasing Sr-90 to groundwater over decades; half-life of dissolution 5-25yr for different particle types; dissolution releases increasing Sr-90 to groundwater even as Sr-90 total inventory decays","groundwater_timeseries_REAL.csv; Bugai 2005 J Environ Radioact doi:10.1016/j.jenvrad.2004.07.016; Zheleznyak 1996; IAEA TECDOC"
"Red_Forest_burial_groundwater","Sr90_orders_magnitude_above_WHO","Bq/L","1986-present","Red Forest tree burial trenches (1986): ~120 ha of dead trees buried in ~30 trenches; depth 1-3m; no liners; rapid Sr-90 leaching from buried organic material and fuel particles; monitoring wells near burial sites: Sr-90 = 1,000-100,000 Bq/L (3-4 orders of magnitude above WHO 10 Bq/L guideline); this source continues to leach; trench contents estimated to remain active source for 50-100+ years; Cs-137 from same trenches much less mobile (strongly sorbed)","Red Forest burial = documented counterproductive remediation: concentrated radioactive material in unlined trenches with high groundwater table; direct pathway to Pripyat River and cooling pond; Bugai 1996 documented contamination plume moving toward Pripyat River; IAEA mission 2005 flagged as ongoing environmental risk; see red_forest_waste_sites_REAL.csv; groundwater_timeseries_REAL.csv","red_forest_waste_sites_REAL.csv; groundwater_timeseries_REAL.csv; Bugai 2005; chernobyl_environmental_remediation_REAL.csv"
"Sr90_groundwater_transport","Kd_soil_water_partition_coefficient","L_per_kg_soil","sorption_chemistry","Strontium-90 soil-water partition coefficient Kd: sandy soils (CEZ characteristic): Kd = 1-10 L/kg; clay-rich soils: Kd = 50-200 L/kg; organic-rich soils: Kd = 20-100 L/kg; Kd relates: C_soil/C_water = Kd × ρ_bulk; retardation factor R = 1 + (ρ_bulk/θ) × Kd; for sandy CEZ soils: R = 1 + (1.5/0.3) × 3 = 16 (16x slower than water velocity); Cs-137 Kd = 1,000-100,000 L/kg → essentially immobile in groundwater","Sr-90 moves ~16x slower than groundwater in CEZ sandy soils; groundwater velocity in CEZ sandy aquifer = 1-10 m/day; Sr-90 plume velocity = 0.06-0.6 m/day = ~20-220 m/yr; from Red Forest burial sites (~2km from Pripyat River): plume arrival at river estimated 10-100 years; explains why Sr-90 has been increasing in Pripyat River groundwater seeps since 1990s even though initial surface contamination is fixed","Bugai 2005; IAEA TECDOC-1167; Zheleznyak 1996 J Environ Radioact; soil_plant_transfer_factors_REAL.csv"
"Cs137_groundwater","essentially_immobile","Bq/L","CEZ_groundwater","Cs-137 in CEZ groundwater: concentrations generally <0.1-0.5 Bq/L (far below any safety concern); Cs-137 Kd = 1,000-100,000 L/kg in typical soils → retardation factor ~10,000; effectively IMMOBILE on 40-year timescale; however: in low-Kd sandy soils near cooling pond: Cs-137 has been detected at 1-5 Bq/L; organic acids from decomposing biomass can slightly mobilize Cs-137 (organic complexation); overall: Cs-137 groundwater contamination not a major concern","Contrast: Cs-137 surface soil contamination (high; 1000-10000 kBq/m²) vs Cs-137 groundwater (<0.5 Bq/L) = 6 orders of magnitude difference; Cs-137 is held in surface 5cm of soil (99% of activity in top 5cm in disturbed soils); this is why surface shielding (soil removal) and K-fertilizer are effective countermeasures for Cs-137 but not Sr-90; Cs-137 contamination is a SURFACE problem; Sr-90 is a SUBSURFACE water problem","IAEA TECDOC-1167; Bugai 2005; groundwater_timeseries_REAL.csv; cez_soil_radionuclides_2016_REAL.csv"
"Chernobyl_cooling_pond_drawdown_2014","Sr90_release_to_groundwater","Bq/L","2014","Cooling pond drawdown 2014 (23km²; 22.9 km² area): Chernobyl NPP cooling pond water level deliberately lowered in 2014 to reduce water inflow to spent fuel ponds; resulted in: (1) exposure of previously submerged sediments (Cs-137=16.28 TBq; Sr-90=2.4 TBq in sediments); (2) sediment resuspension and direct release to local waters; (3) Pripyat River floodplain near cooling pond: Sr-90 groundwater rose to 102 kBq/m³ = 10x WHO drinking water guideline; direct impact on Pripyat River Sr-90 levels","Cooling pond drawdown = documented case of remediation causing radiological release; 2014 event demonstrates: (1) submerged sediments are ongoing reservoir of contamination; (2) changing water levels can mobilize sediment-bound activity; (3) interaction between surface water management and groundwater contamination; current cooling pond (2025) contains ISF-2 and associated infrastructure and must be managed as contaminated body of water indefinitely","chernobyl_cooling_pond_REAL.csv; groundwater_timeseries_REAL.csv; dnieper_river_contamination_REAL.csv; IAEA 2006"
"aquifer_vulnerability_CEZ","sandy_Quaternary_aquifer","N/A","hydrogeology","CEZ hydrogeology: Quaternary sandy aquifer (predominantly fluvioglacial and alluvial sands; Quaternary age); thickness 5-30m; hydraulic conductivity K = 10-100 m/day; groundwater table depth: 1-5m (very shallow in floodplain areas); discharge to Pripyat River and cooling pond; aquifer well-connected to surface sources of contamination (burial sites; contaminated soils); shallow depth = vulnerability to contaminant migration; no confining clay layer between surface and aquifer in most CEZ locations","Shallow aquifer with high permeability in sandy fluvioglacial deposits = maximum vulnerability to surface-derived contamination; opposite of ideal geology for confining radioactive contamination; reason Red Forest burials were so counterproductive: buried material directly in contact with shallow water table; compare: deep geological repository design uses opposite conditions (deep; low permeability; dry environment)","Bugai 2005; Zheleznyak 1996; IAEA TECDOC-1167; red_forest_waste_sites_REAL.csv"
"Pripyat_River_Sr90_timeseries","1986_to_2023_measured_values","Bq/L","1986-2023","Sr-90 in Pripyat River at Chernobyl site: 1986 peak: ~100-1000 Bq/L (acute contamination from surface runoff); 1987-1990: declining to 1-10 Bq/L; 1990-2010: gradual plateau 0.3-3 Bq/L; 2014 cooling pond drawdown spike: 10-30 Bq/L; 2015-2019: return to 0.5-2 Bq/L; 2020 wildfire: spike to 11 Bq/L May 2021 (wildfire resuspension → surface runoff → river); 2022-2023: 0.3-1.5 Bq/L; all values still above IAEA clearance level of 0.1 Bq/L for Sr-90 in drinking water","Pripyat River Sr-90 has NOT returned to pre-accident background (pre-accident ~0.01-0.05 Bq/L from weapons testing fallout); maintained at 0.3-3 Bq/L by continuing groundwater input from: buried waste sites; Red Forest trenches; fuel particle dissolution; these sources will sustain elevated Sr-90 in Pripyat River for decades more; eventually controlled by radioactive decay (t1/2=28.8yr); effectively zero by ~2100","groundwater_timeseries_REAL.csv; wildfire_resuspension_REAL.csv; dnieper_river_contamination_REAL.csv; Bugai 2005; IAEA 2006"
"tritium_groundwater","H3_in_CEZ_wells","Bq/L","2015-present","Tritium (H-3) in CEZ groundwater: some wells near reactor building show elevated tritium: 50-500 Bq/L (WHO guideline = 10,000 Bq/L; European standard = 100 Bq/L); tritium source: neutron activation of water in and near reactor; tritium in groundwater tracks active water infiltration into damaged structures; IAEA monitoring uses tritium as tracer for water movement through NSC and shelter; tritium t1/2=12.3yr; largely decayed from 1986 peak values","Tritium at <500 Bq/L = below WHO drinking water guidelines (10,000 Bq/L); however indicates water pathway from reactor building to groundwater; NSC water management goal: prevent rain infiltration; during 1986 Shelter era: 900 m³/day water infiltration; NSC with sealed structure: substantially reduced but not zero; tritium in monitoring wells = diagnostic tool for water infiltration rate; used with IAEA hydrology models","chernobyl_shelter_sarcophagus_REAL.csv; IAEA TECDOC; modern_monitoring_REAL.csv; reactor_activation_products_REAL.csv"
"Pu_Am_soil_depth_profile","99_percent_in_top_5cm_undisturbed","N/A","CEZ_soils","Plutonium and Am-241 depth distribution in undisturbed CEZ soils: ~99% of total Pu-239+Am-241 inventory in top 5cm of soil (0-5cm layer); this layer was set in 1986 and Pu/Am does not migrate significantly in mineral soils (very low Kd for alpha emitters); however: organic soils and peat can slowly mobilize Pu as Pu-organic complexes; forest soils: significant fraction in organic horizon (litter layer); burial trenches: activity extends to burial depth (1-3m)","Near-surface Pu-239/Am-241 distribution = (1) accessible to resuspension by wind/wildfire; (2) accessible to burrowing animals and plant root uptake (limited but non-zero); (3) accessible to erosion and surface water transport; (4) NOT migrating to groundwater in significant amounts (contrast with Sr-90); Hot particles in surface 5cm = inhalation risk from wildfire resuspension (wildfire_resuspension_REAL.csv); depth profile prevents deep groundwater contamination by Pu","cez_soil_radionuclides_2016_REAL.csv; fuel_particle_contamination_REAL.csv; wildfire_resuspension_REAL.csv; Kashparov 2003 J Environ Radioact doi:10.1016/S0265-931X(02)00028-4"
"CEZ_wetland_contamination","Sphagnum_peat_Cs_accumulation","Bq/kg","1986-present","CEZ wetland and peat bog contamination: Sphagnum peat bogs in CEZ accumulate Cs-137 from atmospheric deposition; Cs-137 in peat surface: 100,000-1,000,000 Bq/kg dry weight; peat has very high organic content → high Kd for Cs; acts as natural 'sponge' concentrating Cs-137; peat layer depth profiling shows 1986 deposition as distinct layer; also: wetlands trap Sr-90 less efficiently (lower Kd) → Sr-90 passes through to streams; total Cs-137 in CEZ peatlands estimated 100-300 TBq (significant inventory)","Peat bogs as long-term Cs-137 repositories: useful for: (1) paleoclimate research (annual deposition layers); (2) source fingerprinting; (3) tracking CEZ water budgets; concern: peat fires (CEZ has significant peat deposits); peat fire = high-temperature combustion → volatilizes Cs-137 more effectively than forest fire; 2020 wildfire burned some peat areas → contributed to higher Cs-137 release than surface fire alone; IAEA monitoring of wetland areas ongoing","wildfire_resuspension_REAL.csv; Pourchet 1997 J Environ Radioact; IAEA 2006; cez_soil_radionuclides_2016_REAL.csv"
