"parameter","value","units_or_date","context","details","significance","source"
"National_Chernobyl_Registries","Belarus_Russia_Ukraine_established_1991","N/A","1991-present","Three national health registries established for Chernobyl populations: (1) Belarus National Registry (established 1991): tracks evacuees; cleanup workers; contaminated territory residents; (2) Russian National Medical Dosimetric Registry (RNMDR): established 1991; ~200,000 Russian liquidators; annual medical surveys; (3) Ukrainian Chernobyl State Registry: established 1991; all Ukrainian liquidators; evacuees from 30km zone; contaminated territory residents (355,000+ registered persons); purpose: lifetime medical monitoring for radiation-related health effects","Registry quality varies: RNMDR considered most complete (mandatory annual surveys for Russian liquidators); Ukrainian registry: enrollment/follow-up variable; less systematic for general population; all three registries challenged by: emigration; political disruption; economic constraints; post-2022: Ukrainian registry severely disrupted by war; combined registry data = primary epidemiological source for Chernobyl health studies","UNSCEAR 2008; Ivanov 2004 J Radiol Prot PMID:15141805; Cardis 2006 BMJ; NEA 2024"
"Chernobyl_affected_populations","5_million_people_in_contaminated_areas","persons","1986-1991","Estimated populations exposed: liquidators (600,000); evacuees from 30km zone (116,000); persons in Gomel/Mogilev Belarus oblasts (350,000 people in highly contaminated zones relocated 1986-1990); persons in contaminated territories (Cs-137 >37 kBq/m²): ~5 million total in Ukraine + Belarus + Russia; children at accident: 1 million under age 15 in contaminated territories; total population receiving ANY additional exposure: ~8-10 million persons","For context: 8-10 million people receiving additional exposure (mostly small doses) represents the largest population ever exposed from a single nuclear accident; however average lifetime dose to this population (~1-5 mSv additional) is comparable to annual cosmic ray dose; primary health concern is the ~1 million persons in highest-contamination areas and the 600,000 liquidators","UNSCEAR 2008; contamination_zones_REAL.csv; WHO 2006 Chernobyl Forum; unscear_population_doses_REAL.csv"
"RNMDR_Russian_liquidators","approximately_200000_workers","persons","1986-2025","Russian National Medical Dosimetric Registry (RNMDR): ~200,000 Russian liquidators registered; annual physical examination program; includes: blood counts; thyroid ultrasound; cancer registry linkage; official dose records; follow-up has documented: leukemia ERR/Gy=1.26 (Ivanov 2004); cataracts (Worgul 2007); non-melanoma skin cancer; cardiovascular disease ERR/Gy=0.47 (Ivanov 2012; Kashcheev 2015); thyroid cancer SIR=4.4 (elevated vs general population); non-cancer mortality elevated","RNMDR limitation: official dose records unreliable (see retrospective_dosimetry_methods_REAL.csv); studies using RNMDR must acknowledge dosimetry uncertainty; most robust studies use biological dosimetry reconstruction alongside official records; RNMDR linkage with cancer registries improved after 2000; ongoing studies (A-EURECA consortium) reanalyze RNMDR data","Ivanov 2004 J Radiol Prot; Kashcheev 2015 Radiat Environ Biophys; Worgul 2007 PMID:17267613; unscear_liquidator_doses_REAL.csv"
"NCI_UkrAm_cohort_design","13127_liquidator_thyroid_cohort","persons","1997-2014","NCI-Ukraine/American cohort (UkrAm; BelAm): designed to estimate thyroid cancer ERR/Gy from I-131; prospective cohort design; 13,127 Ukrainian + 12,514 Belarusian persons who were children/adolescents at accident; exposed to I-131 in contaminated territories; thyroid dose individually estimated from: direct thyroid measurement (1986) + food intake recall + transfer factor modeling; screening: baseline ultrasound + annual follow-up; gold standard for I-131 dose-response","UkrAm found ERR/Gy = 1.91 (95% CI 1.10-3.34) for incident thyroid cancer; BelAm similar; combined: dose-response linear with no threshold; I-131 is a definitive cause of thyroid cancer in childhood; full papillary histology confirmed; inverse dose-rate effect (protracted lower-dose-rate exposure from milk more carcinogenic per Gy than same dose from single exposure); nci_ukraine_thyroid_cohort_REAL.csv has full data","nci_ukraine_thyroid_cohort_REAL.csv; Tronko 2006 BMJ doi:10.1136/bmj.38789.510694.55; Brenner 2011 PMID:21908393; UNSCEAR 2008"
"Belarus_thyroid_cancer_surveillance","1982_to_present_annual_data","cases/100k/yr","1982-present","Belarus thyroid cancer surveillance: cancer registry established pre-Chernobyl (allows pre/post comparison); background rate 1982-1985: ~1.5/100,000/yr; peak: 2005-2010: ~13-14/100,000/yr; recent: 2019: ~13.2/100,000/yr; BUT: post-2005 increase partly attributable to active screening (overdiagnosis); UNSCEAR 2017 estimate: ~6000 excess thyroid cancer cases in three countries attributable to Chernobyl (majority Belarusian children); incidence in adults NOT significantly elevated","Thyroid cancer surveillance highlights overdiagnosis debate: small papillary microcarcinomas (<10mm) disproportionately increased in screening era (2005+); these tumors may not be clinically significant; true excess cases from Chernobyl exposure estimated by UNSCEAR as cases requiring treatment in absence of screening; distinction between 'screen-detected' and 'clinical' cases critical for burden-of-disease estimates","thyroid_cancer_timeseries_REAL.csv; thyroid_cancer_by_period_REAL.csv; UNSCEAR 2017; thyroid_cancer_sir_trends_REAL.csv; Tronko 2006"
"Chernobyl_Tissue_Bank","multinational_biobank_thyroid_tumors","N/A","1998-present","Chernobyl Tissue Bank (CTB): established 1998; partnership: Imperial College London + IARC (WHO) + Russian/Ukrainian/Belarusian institutes; collects: fresh-frozen thyroid tumor tissue from Chernobyl-exposed patients; paired normal thyroid tissue; blood samples; epidemiological data; purpose: molecular characterization of Chernobyl-associated thyroid cancers; >3,000 tumor samples collected; key finding: RET/PTC rearrangements specifically elevated in radiation-exposed tumors","CTB has enabled molecular epidemiology of radiation-induced thyroid cancer: Nikiforov 2003 found RET/PTC3 rearrangement pattern specific to post-Chernobyl tumors with high I-131 dose; BRAF mutations dominant in non-radiation tumors; this molecular distinction helped confirm causal relationship between I-131 exposure and thyroid cancer; CTB also identified CCDC6-RET fusion as novel Chernobyl-specific rearrangement","Nikiforov 2003 PMID:14598823; CTB website; Rabes 2000 J Clin Endocrinol; radiation_biology_mechanisms_REAL.csv; nci_ukraine_thyroid_cohort_REAL.csv"
"Leukemia_cohort_studies","UK_BNCT_and_A-EURECA","N/A","1986-2022","Leukemia studies in Chernobyl liquidators: (1) RNMDR Russian cohort (Ivanov 2004): ERR/Gy=1.26 (95% CI 0.12-3.58) for all leukemia excluding CLL; n=72,000 Russian liquidators; (2) LL study (Kesminiene 2008): Ukrainian liquidators; (3) A-EURECA (Cardis consortium): pooled European/FSU data; combined ERR/Gy for leukemia: approximately 1.7-2.0 (consistent with Japanese atomic bomb survivor data: ERR/Gy~1.5); leukemia latency 2-10 years post-exposure; excess observed 1991-2000","Leukemia is the best-established radiation-induced malignancy from Chernobyl (beyond thyroid cancer); statistical excess clearly demonstrated; dose-response consistent with A-bomb survivor data; current (2026): excess leukemia risk largely passed (latency peak 1991-2000; minimal new cases expected from Chernobyl exposure beyond 30 years post-exposure); leukemia from Chernobyl estimated total ~100-200 excess cases (vs ~6600 excess solid cancers projected by UNSCEAR)","Ivanov 2004 PMID:15141805; Cardis 2006 BMJ; UNSCEAR 2008; liquidator_health_outcomes_REAL.csv"
"UNSCEAR_health_committee_methodology","BEIR_VII_and_UNSCEAR_comparison","N/A","risk_projection_methodology","UNSCEAR vs BEIR vs IARC cancer projection methods: all use Linear No-Threshold (LNT) model; differences in: risk coefficients applied; age/sex adjustment; population denominators; UNSCEAR 2008: projected ~6,600 cancer deaths in most exposed populations over lifetime; BEIR VII 2006: 1 in 100 excess cancer mortality per 100 mGy; IARC (Cardis 2006): ~16,000 fatal cancers in European populations receiving 1-5 mSv lifetime exposure; difference = IARC includes European population (500M people × small dose) vs UNSCEAR focuses on highly exposed FSU populations","UNSCEAR and IARC projections AGREE on dose-response coefficient; disagree on which populations to include in 'Chernobyl deaths'; UNSCEAR counts FSU highly-exposed populations; IARC counts all European populations receiving ANY dose; epidemiologically both valid questions; neither are observed vs projected = different metric; only thyroid cancer and leukemia are CONFIRMED statistically; other cancers are extrapolated from LNT model using A-bomb survivor data","UNSCEAR 2008; BEIR VII 2006; Cardis 2006 BMJ; contested_radiation_science_REAL.csv; nuclear_context_comparison_REAL.csv"
"psychological_health_burden","primary_health_burden_Chernobyl","N/A","1986-2025","WHO Chernobyl Forum (2005) finding: the primary public health impact of Chernobyl is PSYCHOLOGICAL; 'paralyzing fatalism'; increased anxiety; depression; PTSD; social stigma; higher rates of self-reported poor health in exposed populations than objectively measurable from dose; economic impact through welfare dependency; social impact of 'radiophobia'; Ukrainian public health: 5-7% national health budget on Chernobyl programs; 7 million social benefit recipients in Ukraine for Chernobyl exposure","Psychological impact quantification: post-Chernobyl suicide rates elevated in affected areas; thyroid ultrasound revealed widespread anxiety about cancer even for non-significant findings; the WHO Forum controversial: some criticisms that it minimized physical health impacts; however the measurable psychological burden (documented in dozens of studies) exceeds documented physical health burden outside thyroid cancer and leukemia; health communication failure is part of the legacy","WHO 2005 Chernobyl Forum; UNDP 2002 Human Consequences; neuropsychiatric_longterm_health_REAL.csv; chernobyl_economic_impact_REAL.csv; contested_radiation_science_REAL.csv"
"Chernobyl_Forum_2005_conclusions","UN_multi_agency_synthesis","N/A","2005","UN Chernobyl Forum (2005): joint synthesis by IAEA, WHO, UNDP, UNEP, FAO, UN-OCHA, UNSCEAR, World Bank, Governments of Belarus, Russia, Ukraine; key conclusions: ~56 direct deaths (28 ARS + ~15 thyroid cancer fatalities + 13 other); ~4,000 additional cancer deaths projected among most-exposed populations (conservative LNT estimate); no scientifically demonstrated increase in birth defects, leukemia in general population, adverse reproductive effects; enormous psychological/economic impact; 350,000 displaced persons as lasting legacy","Chernobyl Forum conclusions widely cited but also criticized: (1) figure of '4,000 deaths' lower than IARC/Greenpeace/other estimates that include broader populations; (2) threshold model assumptions affect projections; (3) WHO independence from IAEA questioned regarding publication of studies; Forum represents UN consensus position; contrast with Greenpeace 2006 estimate of 270,000 excess cancers (uses different LNT coefficient assumptions)","WHO 2005 Chernobyl Forum; UNSCEAR 2008; contested_radiation_science_REAL.csv; birth_defects_general_health_REAL.csv"
"childhood_thyroid_cancer_incidence_data","confirmed_6000_plus_cases","cases","1986-2020","Childhood thyroid cancer confirmed cases from Chernobyl: UNSCEAR 2017 estimate: ~6,000+ thyroid cancer cases diagnosed (that would not have occurred without Chernobyl exposure) in persons exposed as children/adolescents; of these: approximately 15 deaths (high survival rate >98% for papillary thyroid cancer); breakdown: Belarus ~4,000 cases; Ukraine ~1,500 cases; Russia ~400 cases; age at exposure: highest risk in pre-school children exposed in 1986 (risk peaks at age 0-5)","Thyroid cancer from Chernobyl = the clearest health outcome: (1) large number of cases in young cohort; (2) dose-response confirmed; (3) RET/PTC molecular signature; (4) consistent across three countries; however 6,000 cases with 15 deaths = extremely low case fatality rate; contrast with psychological/economic burden (350,000 displaced; 5-7% national budgets); the physical health burden, while real, is dominated by economic/social effects","UNSCEAR 2017; thyroid_cancer_by_period_REAL.csv; nci_ukraine_thyroid_cohort_REAL.csv; unscear_evacuee_thyroid_doses_REAL.csv"
