"category","key_number","value","units_or_context","derivation_or_source","cross_reference_file","notes"
"source_term","Cs_137_released","85","PBq","UNSCEAR 2008 Table A1; 33% of core inventory","01_source_term_REAL.csv","33% of 260 PBq core inventory; 27 kg mass (85 PBq / 3.19 TBq/g)"
"source_term","I_131_released","1760","PBq","UNSCEAR 2008; essentially entire volatile inventory","01_source_term_REAL.csv","Decayed to zero by October 1986; was 20x Cs-137 activity at accident"
"source_term","Sr_90_released","10","PBq","UNSCEAR 2008; only 4% of core inventory (refractory)","01_source_term_REAL.csv","Refractory → low volatility; remained in fuel; much higher Cs/Sr ratio than nuclear tests"
"source_term","Pu_239_240_released","0.013","PBq","UNSCEAR 2008; ~3-4% of core inventory","01_source_term_REAL.csv","0.013 PBq / 2.31 GBq/g = ~5.6 kg Pu-239+240 total released"
"source_term","Xe_133_noble_gas","6500","PBq","UNSCEAR 2008; essentially 100% released","01_source_term_REAL.csv","Noble gases = no environmental deposition hazard; global transport"
"accident_physics","explosion_time","01:23:44","local_time_April_26_1986","INSAG-7 precise chronology","chernobyl_accident_chronology_REAL.csv","AZ-5 pressed 01:23:40; graphite tips 01:23:41; prompt critical ~01:23:42; explosion 01:23:44"
"accident_physics","ORM_at_accident","8","rods_equivalent","INSAG-7; violated minimum of 15 required","reactor_physics_REAL.csv; rbmk_void_coefficient_physics_REAL.csv","ORM=8 means only 8 rods worth of reactivity margin vs required 15; precondition for accident"
"accident_physics","power_at_00_28","30","MWth","Xenon pit power low; nominal 3200 MWth; ratio = 0.009","xenon_135_poisoning_REAL.csv","Xenon-135 poisoning caused power to collapse from 1600 MWth to 30 MWth at 00:28"
"accident_physics","excursion_peak_power","30000_plus","MWth","INSAG-7 estimate; 10x rated power in 3 seconds","rbmk_void_coefficient_physics_REAL.csv","Power rose from ~200 MWth to >30,000 MWth in ~3 seconds = prompt criticality +7-10β"
"accident_physics","energy_release_excursion","300","GJ_estimated","Steinberg 2009; Pakhomov 2008","rbmk_core_neutron_physics_REAL.csv","Equivalent to ~70 tonnes TNT non-nuclear explosive; lifted 1000-tonne reactor lid"
"nuclear_physics","Xe135_cross_section","2.65e6","barns_thermal","NNDC; Mughabghab 1984","xenon_135_poisoning_REAL.csv","Highest thermal absorption cross section of any nuclide; 4500x larger than U-235 fission"
"nuclear_physics","beta_eff_U235","0.0065","dimensionless","Keepin 1965; ENDF/B-VIII.0","rbmk_void_coefficient_physics_REAL.csv; rbmk_core_neutron_physics_REAL.csv","β_eff(Pu-239)=0.0021; 3.1x smaller → more dangerous for prompt criticality"
"nuclear_physics","Cs137_half_life","30.17","years","NNDC NuDat 3","radioactive_decay_chains_REAL.csv","At 2026: 40yr since accident; exp(-ln2×40/30.17)=0.398; 39.8% of 1986 inventory remains"
"nuclear_physics","Sr90_half_life","28.8","years","NNDC","radioactive_decay_chains_REAL.csv","2026: 40yr; exp(-ln2×40/28.8)=0.382; 38.2% of 1986 inventory remains"
"nuclear_physics","Am241_peak_year","2058.7","year","Bateman equation from am241_ingrowth_timeseries_REAL.csv","am241_ingrowth_timeseries_REAL.csv","Am-241 STILL INCREASING in 2026; peaks 82.7 TBq in 2058.7; driven by Pu-241 decay (t½=14.29yr)"
"nuclear_physics","Pu239_half_life","24110","years","NNDC","radioactive_decay_chains_REAL.csv","Effectively permanent on human timescale; 0.003% decays in 100 years"
