"unit","parameter","value","units_or_date","period_or_date","context","notes","source"
"Unit_4","reactor_destroyed","N/A","N/A","1986-04-26","RBMK-1000; 1000 MWe; operational since 1984; destroyed by steam explosion and prompt criticality April 26 1986; reactor building demolished; corium in basement rooms","Unit 4 is focus of entire project; see reactor_physics_REAL.csv and corium_fcm_physics_REAL.csv; Units 1-3 on same site continued operation after the accident","chernobyl_accident_chronology_REAL.csv; reactor_physics_REAL.csv"
"Unit_1","first_power","1977-09-26","date","1977","RBMK-1000 reactor; design thermal power 3200 MW; net electrical output ~800 MWe; fuel enrichment 2.0% U-235; connected to grid September 26 1977","First Chernobyl NPP unit; Unit 1 and Unit 4 share graphite-moderated boiling water RBMK design; reactor_physics_REAL.csv; same design vulnerabilities as Unit 4","WNA Chernobyl NPP history; IAEA INSAG-7"
"Unit_2","first_power","1978-12-21","date","1978","RBMK-1000; operational December 21 1978; same design as Unit 1; second unit at Chernobyl site","Units 1 and 2 built as first pair; Units 3 and 4 built as second pair sharing turbine hall; Unit 4 explosion directly affected Unit 3 turbine hall","WNA; CHNPP historical records"
"Unit_3","first_power","1981-12-03","date","1981","RBMK-1000; operational December 3 1981; shares turbine building with Unit 4; closest to destroyed reactor; contaminated heavily in April 1986","Unit 3 turbine hall sustained minor structural damage from Unit 4 explosion; required decontamination before restart; heavily contaminated by fallout from graphite fire","WNA; CHNPP; INSAG-7"
"Unit_1","post-accident_shutdown","temporary_shutdown_1986_04_26","date","1986-04-26","Unit 1 shut down April 26 1986 following Unit 4 accident; precautionary immediate shutdown; not because Unit 1 was damaged","Units 1 and 2 immediately shut; Unit 3 shut same day; all three units temporarily offline during emergency phase and cleanup","IAEA Safety Series 75-INSAG-7 1992; WNA"
"Unit_2","post-accident_shutdown","temporary_shutdown_1986_04_26","date","1986-04-26","Same as Unit 1 - precautionary immediate shutdown April 26 1986","Not damaged by Unit 4 explosion but downwind contamination required decontamination of equipment and turbine hall","WNA; NEA Chernobyl 2024"
"Unit_3","post-accident_shutdown","temporary_shutdown_1986_04_26","date","1986-04-26","Unit 3 shut down April 26 1986; shares turbine building with destroyed Unit 4; roof of shared turbine hall partially damaged; graphite and fuel fragments from Unit 4 landed on turbine hall roof","Unit 3 required most extensive decontamination of the three surviving units due to physical proximity to Unit 4; fuel fragments on roof were major contamination source","INSAG-7; IAEA Environmental Consequences 2003"
"Unit_1","restart_after_accident","1986-10-01","date","1986","Unit 1 restarted October 1 1986 after 5-month shutdown for decontamination of equipment; safety improvements; worker training; return to power generation was economically driven - Ukraine dependent on Chernobyl for ~10% of electricity","Restarting units within 6 months of the worst nuclear accident in history was controversial internationally; Soviet leadership prioritized power supply; workers assigned to restart units received elevated doses from proximity to contaminated Unit 4 ruin","WNA; CHNPP operational history; NEA Chernobyl 2024"
"Unit_2","restart_after_accident","1986-11-05","date","1986","Unit 2 restarted November 5 1986; approximately 6 weeks after Unit 1 restart; required decontamination of turbine hall; installation of improved safety systems per INSAG-7 recommendations; fuel enrichment not yet changed (2.8% phased in over following years)","Workers during restart period (late 1986 - early 1987) are a distinct dose group from the 1986 emergency response liquidators; their doses were generally lower but they accumulated chronic occupational exposure","WNA; CHNPP; UNSCEAR 2008 liquidator dose data"
"Unit_3","restart_after_accident","1987-12-04","date","1987","Unit 3 restarted December 4 1987 after 18-month shutdown; longest shutdown among surviving units due to extensive decontamination required from Unit 4 proximity; new safety systems installed including additional emergency protection; fuel enrichment 2.8% in fresh loads from 1987","Unit 3 restart was accompanied by significant safety modifications per INSAG-7 and Soviet post-accident review: manual SCRAM response time improved; control rod design modified; operating procedures strengthened; ORM minimum raised to 15 rods","WNA; rbmk_safety_modifications_REAL.csv; CHNPP"
"Unit_2","permanent_shutdown_turbine_fire","1991-10-11","date","1991","October 11 1991 fire in turbine hall roof of Unit 2; fire spread to turbine building; turbine destroyed; decision made to shut Unit 2 permanently; not restarted after fire; first permanent closure of a Chernobyl unit","Fire caused by hot oil leak igniting turbine hall bituminous roof; ironically a non-nuclear fire ended Unit 2; compared to TMI and Chernobyl accidents: normal industrial fire causing permanent shutdown; roof was similar in construction to turbine halls at other Soviet plants","WNA; IAEA; NEA; multiple news sources Oct 1991"
"Unit_1","permanent_shutdown","1996-11-30","date","1996","Unit 1 shut down permanently November 30 1996 as part of G7/EU-Ukraine Memorandum of Understanding; Ukraine committed to phased closure in exchange for international financial support for decommissioning and energy sector investment","Shutdown was political-economic: G7 nations agreed to fund alternative power generation and decommissioning; Ukraine faced energy deficit; Unit 1 closure was first step in negotiated process; shutdown ceremony attended by international observers","WNA; EBRD Memorandum 1996; NEA 2024"
"Unit_3","permanent_shutdown","2000-12-15","date","2000","Unit 3 shut down permanently December 15 2000 at midnight local time (00:00 CET December 15); final act by Ukrainian President Kuchma; international ceremony; effectively ended 14 years of electricity generation post-accident at the Chernobyl site","Final shutdown completed under agreement signed with G8 (now including Russia) and EU; Ukraine received €0.5B equivalent in energy sector investments as partial compensation; symbolically ended nuclear power generation at the world's most notorious nuclear accident site","WNA; EBRD; multiple news sources December 2000; NEA Chernobyl 2024"
"All_units","total_post-accident_electricity_generation","approximately_130_to_150","TWh_estimate","1986_to_2000","Combined post-accident electricity generation by Units 1 2 and 3 (1986-2000 period): Unit 1 (~800 MWe × 10yr × 0.70 CF ≈ 49 TWh); Unit 2 (~800 MWe × 5yr × 0.70 CF ≈ 25 TWh); Unit 3 (~800 MWe × 13yr × 0.70 CF ≈ 63 TWh); rough estimate","Actual capacity factors varied; Units operated at reduced power in some periods for safety reviews; provides ~10% of Ukraine electricity; equivalent to approximately 3 years of Ukrainian total electricity demand; economically important for post-Soviet Ukraine","WNA electricity data; IAEA PRIS database approximate; capacity factor estimate"
"All_units","worker_doses_during_post-accident_operations","elevated_chronic_exposure","qualitative","Workers at Chernobyl NPP during continued operations 1987-2000 received elevated occupational doses due to: proximity to contaminated Unit 4 sarcophagus; contaminated soil and buildings on site; residual contamination in Units 1/2/3 themselves; doses higher than at typical Soviet nuclear plants","Thousands of workers per year during 1987-2000; distinct population from cleanup liquidators; doses not as well documented; some in UNSCEAR operational worker category; typical dose 5-50 mSv/yr vs 1-5 mSv/yr at uncontaminated plant","UNSCEAR 2008 Annex D; Ukraine State Nuclear Regulatory Inspectorate records"
"All_units","justification_for_continued_operation","economic_necessity","qualitative","Soviet and post-Soviet Ukrainian governments justified continued operation on: (1) electricity supply to Ukraine (10% of generation); (2) economic hardship of 1990s post-Soviet transition; (3) no immediate radiation risk from operating undamaged units; (4) international opposition gradually overcame economic argument by 1996-2000 when funding secured","Internationally controversial; European Parliament repeatedly called for closure 1990s; Greenpeace and others protested; IAEA considered operating units safe if operated correctly despite proximity to Unit 4; WNA notes operational safety was not seriously compromised in practice","WNA; EBRD; EU Parliamentary resolutions 1991-2000; NEA 2024"
"All_units","decommissioning_status_2026","ISF-2_and_decommissioning_in_progress","qualitative","Units 1-3 in decommissioning since 2000; fuel removed and in ISF-2 dry storage; buildings being progressively decontaminated; target full decommissioning 2064; ISF-2 holds 1698 of 21217 spent assemblies (Jan 2022); decommission slowed by 2022 Russian invasion and funding constraints","See rbmk_fuel_specifications_REAL.csv for ISF-2 details; corium_fcm_physics_REAL.csv for Unit 4 status; chernobyl_economic_impact_REAL.csv for decommission costs; cez_research_2022_2025_REAL.csv for current site status","CHNPP decommission reports; rbmk_fuel_specifications_REAL.csv; chernobyl_economic_impact_REAL.csv"
"Units_1_to_3","ISF-1_wet_storage_pools","1261","spent_fuel_assemblies_in_wet_storage","circa_2021","Interim Spent Fuel Storage Facility 1 (ISF-1) wet pool storage: 1261 spent fuel assemblies awaiting transfer to ISF-2 dry casks; ISF-1 built 1986 adjacent to reactor buildings; operating beyond design life; transfer to ISF-2 ongoing","ISF-1 is essentially the same as any spent fuel pool at a reactor; Chernobyl's ISF-1 is more complex because it stores fuel from all three reactor units; spent fuel generates decay heat requiring cooling; 1261 assemblies represents significant remaining challenge","IAEA TECDOC-1886; CHNPP; chernobyl_cooling_pond_REAL.csv"
