"topic","position_A_mainstream","position_B_alternative_or_contested","key_data_points","current_scientific_consensus","source_A","source_B","notes"
"LNT_vs_threshold_model","Linear No-Threshold (LNT): every dose increase adds proportional cancer risk; no safe dose; used by ICRP UNSCEAR BEIR; Chernobyl projections use LNT extrapolation from epidemiological data (A-bomb survivors) down to low doses","Threshold model (or hormesis): low doses may have NO effect or even BENEFICIAL effect (adaptive response); some radiobiologists argue LNT is not validated at <100 mGy; Chernobyl follow-up studies have NOT demonstrated increased solid cancer in most populations","LNT-based: UNSCEAR 2008 projects 6600 excess cancer deaths; IARC projects 25,000; both extrapolate from >100 mGy doses downward. Threshold evidence: liquidators at <100 mGy show no clear solid tumor excess in most studies (JCO 2019 Ukraine cohort); French Académie de Médecine 2005 argued threshold exists","LNT retained for radiation protection (conservative/precautionary) by ICRP but recognized as a simplification; epidemiological validation at <100 mGy extremely difficult (signal too small vs background cancer rate); UNSCEAR 2012 LOW-DOSE report: 'uncertain'","ICRP 103 2007; BEIR VII 2006; UNSCEAR 2008; Cardis 2006 BMJ doi:10.1136/bmj.38962.484444.55","Académie de Médicine/Académie des Sciences 2005 joint report; Tubiana M 2009 Int J Radiat Biol; Muckerheide 2000","Key tension: ICRP uses LNT for protection standards while acknowledging epidemiological uncertainty at low doses; affects public health decisions about resettlement of contaminated areas"
"UNSCEAR_vs_IARC_cancer_projections","UNSCEAR 2008 projects 6600 excess cancer deaths total Europe from Chernobyl fallout (collective dose ~600,000 person-Sv); UNSCEAR explicitly warns against using collective dose with LNT for low-dose projection","IARC (Cardis 2006 BMJ) projects 25,000-60,000 excess cancers (16,000 fatal) using same LNT but different risk coefficients and geographic scope; IARC includes more countries and uses nominal risk coefficients 5-6% per Sv","Difference driven by: (1) UNSCEAR uses European population-specific risk coefficients; IARC uses global average coefficients (higher); (2) UNSCEAR excludes some country populations IARC includes; (3) different definitions of 'affected'; dose range 0-50 mSv for most Europeans","Neither projection is 'wrong' - they use different risk models; true answer cannot be determined because: small excess cancers indistinguishable from statistical noise over Europe's 700M background cancer burden; uncertainty range overlaps","UNSCEAR 2008 Annex D para D611; UNSCEAR explicit caveat against collective dose","Cardis E et al. BMJ 2006 doi:10.1136/bmj.38962.484444.55; IARC EPIC cohort data","nuclear_context_comparison_REAL.csv notes this discrepancy; the 'true' number is unknowable; UNSCEAR's caution about collective dose is scientifically sound"
"solid_tumor_excess_in_liquidators","Liquidators (mean ~115 mSv) show NO statistically significant increase in overall solid cancer incidence in most cohort studies (Ivanov 2012 Radiat Environ Biophys; Richardson 2015 Radiat Environ Biophys)","Some studies suggest marginal increase in specific solid cancers (melanoma; bladder cancer); IRSN French analysis suggests broader excess; lack of data and record-keeping limitations may mask a real small signal","Ukrainian JCO 2019 cohort (1000+ liquidators): AAPC for solid tumors not significantly elevated; Russian cohort 53772 workers (Ivanov 2012): solid tumor SIR 1.04 (95%CI 0.97-1.11); Belarus liquidator data limited","No consensus solid cancer excess established below ~200 mGy in liquidators; this does NOT prove no effect - may reflect statistical power limitations; consistent with LNT prediction of a small (~0.5-1% increase) indistinguishable from background","Ivanov VK 2012 Radiat Environ Biophys PMID:22318524; ukraine_solid_tumor_incidence_REAL.csv","Vrijheid M 2008 PMID:18437527; Zablotska LB 2013","Power calculation: 200,000 liquidators at 115 mSv average; LNT predicts ~230 excess cancers above 40,000+ background cancers in that cohort; <1% excess is epidemiologically undetectable"
"thyroid_cancer_overdiagnosis","Real radiation-induced thyroid cancer increase documented in children <18 at 1986 exposure; significant increase in Belarus Ukraine Russia since 1990; attributable to I-131 exposure; 5000+ cases confirmed","Some fraction of observed thyroid cancer increase after 1990s is overdiagnosis from intensive ultrasound screening (detecting subclinical microcarcinomas that would never cause symptoms); thyroid_cancer_sir_trends_REAL.csv notes PTC overdiagnosis 2006-2019","UNSCEAR 2017: thyroid cancer excess in those exposed <18 in 1986 is real and confirmed; however post-2000 continuing rise in thyroid cancer is likely partly overdiagnosis (same trend seen in non-contaminated countries); NCI UkrAm ERR/Gy=1.91 incident but lower mortality risk","Radiation-attributable thyroid cancer in 1986 child cohort: established beyond doubt; overall thyroid cancer trend: partly radiation-induced (1990-2000) partly overdiagnosis (post-2005); mortality impact limited (>98% papillary cancer survival)","UNSCEAR 2017 thyroid white paper; thyroid_cancer_by_period_REAL.csv; nci_ukraine_thyroid_cohort_REAL.csv","thyroid_cancer_sir_trends_REAL.csv; Vaccarella S 2016 N Engl J Med on overdiagnosis","The 'Chernobyl thyroid cancer' narrative is often overstated for mortality; the real excess in terms of DEATHS is ~15-20 thyroid cancer deaths confirmed to 2005 (WHO 2006)"
"cardiovascular_disease_radiation_causation","CVD in liquidators shows ERR/Gy=0.47 (PMID:30780859) representing real radiation-induced cardiovascular risk; supported by A-bomb survivor data (ERR/Gy=0.14-0.46); biologically plausible via endothelial damage and accelerated atherosclerosis; ICRP 118 2012 acknowledges CVD as tissue reaction","Some researchers argue CVD excess in liquidators is psychosocial (stress poverty drinking smoking) not radiation; Chernobyl liquidators have higher rates of alcohol use smoking and poverty than comparator groups; confounding inadequately controlled in some studies","Ivanov 2019 (PMID:30780859): controlled for age sex in Russian cohort of 53772; dose-response statistically significant; but smoking alcohol data incomplete; Zablotska 2021 Environ Int provides additional analysis","ERR/Gy=0.47 consistent across multiple independent liquidator cohorts AND A-bomb survivors; unlikely to be entirely psychosocial confounding; ICRP 118 recognizes circulatory disease as tissue reaction requiring dose limits revision; medical consensus shifting toward accepting radiation-CVD link","PMID:30780859 Ivanov 2019; Shimizu 2010 A-bomb; ICRP 118 2012","Stewart 2002 challenge; Hoffmann 2012 Am J Cardiol skeptical analysis","liquidator_noncancer_effects_REAL.csv has detailed CVD data"
"Rukhadze_et_al_alternative_accident_cause","INSAG-7 consensus: prompt criticality from positive void coefficient + graphite tip effect when AZ-5 pressed; positive scram reactivity +7-10β caused explosion","Rukhadze A et al. (nucl-ex/0304024 arXiv 2003): propose explosion was not prompt criticality of fuel but prompt criticality of supercritical steam-water mixture; nuclear-steam explosion rather than purely nuclear excursion; different first vs second explosion sequence","INSAG-7 reconstruction: power excursion 1:23:40-01:23:44 = 4 seconds; neutron flux increase of 100-1000x; steam explosion from water flashing; graphite ejection; consistent with gamma dosimetry of contaminated graphite blocks found outside; RBMK physics supports void coefficient model","Rukhadze preprint (not peer reviewed); contradicts multiple independent analyses; INSAG-7 revised (1992) addressed alternative theories; mainstream consensus: prompt nuclear criticality remains the established cause; Rukhadze authors are credentialed physicists but argument not accepted by nuclear engineering community","INSAG-7 Section 4; OECD-NEA Ch.I; reactor_physics_REAL.csv; Sich 1994 Science","Rukhadze A et al. arXiv nucl-ex/0304024 2003 (preprint)","See session notes on ARXIV.md; this is the 'contested physics' reference in user's file; not peer-reviewed; acknowledged alternative but not mainstream"
"Chernobyl_cancer_deaths_total","WHO/IAEA Chernobyl Forum 2005: ~60 direct deaths (ARS + accident); 4000 potential future deaths among most exposed groups (high-dose populations); total eventual premature deaths from radiation = thousands not hundreds of thousands","Greenpeace 2006 report: 270,000 cancers attributable; 93,000 fatal cancers; includes all Europeans at low dose; based on LNT collective dose; Yablokov 2009 book 'Chernobyl: Consequences': up to 985,000 deaths claimed","WHO/IAEA uses LNT but limits to high-dose populations; Greenpeace/Yablokov apply LNT to collective dose of ~600,000 person-Sv for all of Europe; UNSCEAR 6,600; IARC 25,000; Yablokov 985,000 based on non-peer-reviewed analysis of Soviet records claiming wide range of non-cancer deaths","Scientific consensus: WHO/UNSCEAR/IARC range of hundreds to tens of thousands; Yablokov methodology has fundamental statistical and attribution errors (criticized by mainstream epidemiologists including those sympathetic to larger estimates); the truth lies in the UNSCEAR-IARC range","WHO Chernobyl Legacy 2005; UNSCEAR 2008; birth_defects_general_health_REAL.csv; nuclear_context_comparison_REAL.csv","Yablokov AV 2009 Ann NY Acad Sci; Greenpeace 2006","Yablokov critique: Fairlie I and Sumner D (co-authors of TORCH 2006 report) disagree with Yablokov's methods even while arguing for higher estimates than UNSCEAR; mainstream epidemiologists like E. Cardis distinguish legitimate uncertainty from Yablokov overcount"
"CEZ_wildlife_radiation_effects","Deryabina 2015 Science Advances: wolf density 7-19x higher in CEZ exclusion zone vs reference areas; mammal population studies show NO negative population-level correlation with radiation; abandonment of human activity more beneficial than harmful radiation effects","Moller AP and Mousseau TA multiple papers (2007-2015): reduced bird and insect abundance in high-dose areas; oxidative stress; tumor frequencies; argue radiation IS causing measurable biological harm at doses >1-100 mGy/day in most contaminated areas","Deryabina wolf density + camera trap mammal studies (positive); Moller/Mousseau barn swallow population declines (negative); two research groups with opposing interpretations of same ecosystem","Scientific community divided; Beresford 2022 PLOS ONE (meta-analysis) finds: for most wildlife populations in CEZ, exclusion from human activity is net positive even with radiation; Moller/Mousseau results disputed on methodological grounds by multiple independent teams","cez_wildlife_population_census_REAL.csv Deryabina 2015 doi:10.1126/sciadv.1500383; Beresford 2022","Moller AP Mousseau TA 2007 Proc R Soc B PMID:17311787; multiple Moller/Mousseau papers","cez_wildlife_contamination_REAL.csv and cez_wildlife_population_census_REAL.csv document this debate"
"birth_defects_radiation_causation","UNSCEAR 2001 2008: NO statistically significant increase in congenital malformations chromosomal abnormalities or heritable mutations detected in children born to Chernobyl liquidators or contaminated area residents","Some local Ukrainian and Belarusian health reports cite elevated birth defects in contaminated areas; non-peer-reviewed regional health statistics; psychosocial stress and poverty may affect fetal development independently of radiation","UNSCEAR analysis of >50 studies: combined population for detectable effect requires ~300,000 births studied with adequate controls; few studies adequate; parental doses (mean ~115 mSv) are below levels expected to produce heritable effects detectable above background based on mouse genetics","Consensus: no confirmed radiation-induced heritable effect; theoretical risk exists per LNT but far below statistical detection; UNSCEAR notes economic and social disruption effects on maternal health may explain some regional variations in birth outcomes unrelated to radiation","birth_defects_general_health_REAL.csv; UNSCEAR 2001 Hereditary Effects","Shidlovskyi I et al.; various regional health ministry reports Belarus Ukraine","Radiation geneticists note: estimated doubling dose for heritable effects ~1 Gy; average liquidator dose 0.1 Gy; expected ~10% increase in heritable mutations; far below detection given spontaneous mutation rate background"
"Soviet_cover-up_radiation_data","Soviet authorities initially suppressed radiation monitoring data; evacuated Pripyat 36 hours post-accident; KGB archives show falsified dosimetry (pocket dosimeters capped at 1 Gy assigned 25 cGy to many workers); 1982 Unit 1 partial meltdown suppressed for 30 years (declassified 2016)","Soviet press reported accident quickly by Soviet standards (April 28 brief news announcement); Gorbachev's glasnost enabled eventual disclosure; argument that secrecy was standard Cold War practice not unique to Chernobyl; Soviet nuclear workers DID receive some protection","Forsmark April 28 monitoring triggered international revelation; Legasov testimony 1987 IAEA Vienna was more comprehensive than previous Soviet reports; Wilson Center declassification 2016 confirmed 1982 Unit 1 incident; retrospective dosimetry reconstructs original doses","Historical consensus: significant information suppression occurred; delayed evacuation of Pripyat increased thyroid doses to children (26% pre-schoolers >5 Gy thyroid); KI tablets not distributed (vs Poland distributed to 18M people); data suppression is a documented fact","retrospective_dosimetry_methods_REAL.csv; ukraine_crop_contamination_REAL.csv (1982 meltdown); decontamination_countermeasures_REAL.csv","Wilson Center Digital Archive 2016; Legasov VP diaries 1987; INSAG-1 1986 vs INSAG-7 1992 evolution","INSAG-7 (1992) significantly revised INSAG-1 (1986): INSAG-7 acknowledged design flaws; INSAG-1 had blamed operators; this revision itself reflects how information was managed initially"
