"year","population_type","subgroup","n_screened","Cs137_mean_Bq_per_kg","Cs137_detected_pct","dose_below_0p1mSv_yr_pct","dose_0p1_1mSv_yr_pct","dose_above_1mSv_yr_pct","notes","source"
"2009","all","annual_mean","","21.6","45.0","85.8","13.8","0.3","Zhytomyr region Ukraine; 40-120 km west of reactor; Korosten city + 8 districts","PMC7810316"
"2010","all","annual_mean","","18.5","40.0","87.5","12.0","0.2","Approximate interpolation 2010","PMC7810316 trend"
"2011","all","annual_mean","","15.0","35.0","89.0","10.7","0.15","25yr post-accident; Fukushima comparison year","PMC7810316 trend"
"2012","all","annual_mean","","13.0","30.0","91.0","8.8","0.1","Approximate interpolation","PMC7810316 trend"
"2013","all","annual_mean","","11.0","27.0","92.5","7.4","0.08","Approximate interpolation","PMC7810316 trend"
"2014","all","annual_mean","","9.0","22.0","94.0","5.8","0.05","Approximate interpolation","PMC7810316 trend"
"2015","all","annual_mean","","7.5","19.0","95.5","4.4","0.03","Approximate interpolation","PMC7810316 trend"
"2016","all","annual_mean","","6.0","16.0","96.7","3.2","0.02","Approximate interpolation","PMC7810316 trend"
"2017","all","annual_mean","","4.5","13.0","97.8","2.1","0.01","Approximate interpolation","PMC7810316 trend"
"2018","all","annual_mean","","3.0","11.0","98.9","1.1","0.0","Last year reported; detection limit ~34-40 Bq/kg","PMC7810316"
"2009-2018","all","total_study","109936","","","","","","Total 109936 residents screened; Zhytomyr region; Korosten city + 8 subordinate districts; 40-120km west of reactor","PMC7810316"
"2009-2018","male","gender_mean","","10.7","26.8","","","","Men: mean 10.7 Bq/kg; detection threshold ~40 Bq/kg; 26.8% detection rate; higher body burden than women (meat diet, outdoor work)","PMC7810316"
"2009-2018","female","gender_mean","","6.6","19.4","","","","Women: mean 6.6 Bq/kg; detection threshold ~34.2 Bq/kg; 19.4% detection rate","PMC7810316"
"2009-2018","all","age_0_10yr","","5.9","","","","","Children 0-10yr: lower body burden due to lower food consumption total","PMC7810316"
"2009-2018","all","age_11_20yr","","11.1","","","","","Teenagers 11-20yr: HIGHEST mean body burden; higher muscle mass + dietary behavior (wild food)","PMC7810316"
"2009-2018","all","age_21_60yr","","7.0","","","","","Adults 21-60yr: intermediate","PMC7810316"
"2009-2018","all","age_over_60yr","","8.7","","","","","Elderly >60yr: higher body burden possibly from subsistence farming and self-grown food","PMC7810316"
"2009-2018","all","spring_mean","","6.31","","","","","Spring seasonal mean; low period; before mushroom/berry season","PMC7810316"
"2009-2018","all","summer_mean","","6.3","","","","","Summer seasonal mean","PMC7810316"
"2009-2018","all","autumn_mean","","10.01","","","","","Autumn: HIGHEST; mushroom and wild berry season; autumn elevated in 6 of 10 years; Cs-137 hyperaccumulates in fungi","PMC7810316"
"2009-2018","all","winter_mean","","8.74","","","","","Winter: elevated vs spring/summer; stored mushrooms/dried food continuing to contribute to body burden","PMC7810316"
"2026","all","projected_mean","","1.2","4","99.8","0.2","0.0","PROJECTED 2026 from 2018 trend: continued Cs-137 decay + reduced wild food consumption; detection rate likely <5%; based on exponential decline from PMC7810316 data","Projected from PMC7810316 trend + Cs-137 t1/2 decay"
