"countermeasure","target_nuclide","application","effectiveness_factor_reduction","effectiveness_range","units","period","area_or_population","cost_notes","source"
"potassium_fertilizer","Cs-137","arable_cropland","2","2-14","fold_reduction_in_crop_Cs137","1986-ongoing","contaminated_Belarus_Ukraine_Russia_farmland","K fertilizer competition with Cs for plant uptake; highly variable by crop species and soil pH","OECD-NEA Ch.VI; UNSCEAR 2008"
"lime_application","Cs-137","podzolic_acid_soils","30","10-30","fold_reduction_in_crop_Cs137","1986-ongoing","podzolic_soils_Belarus_Russia","Lime raises soil pH reducing Cs-137 availability to plants; most effective in low-pH podzolic soils of Polesie region","OECD-NEA Ch.VI; Alexakhin 1993"
"deep_ploughing","Cs-137","agricultural_fields","3","2-5","fold_reduction_external_dose_rate","1986-1995","Belarus_Ukraine_contaminated_fields","Buries Cs-137 below root zone; reduces external dose and crop uptake; but mobilizes deeper soil; also reduces dose rate by burial","OECD-NEA Ch.VI; UNSCEAR 2008"
"sorption_barriers_Sr90","Sr-90","drinking_water_supply","10","5-50","fold_reduction_in_water_Sr90","1986-1995","contaminated_area_water_supplies","Ferrocyanide and clinoptilolite (zeolite) added to intake water; very effective for Sr-90 in drinking water","OECD-NEA Ch.VI"
"potassium_iodide_KI","I-131","thyroid_protection","","up_to_99%_if_timely","percent_thyroid_dose_reduction","1986-04-26_onwards","Poland_was_only_country_to_distribute_KI_in_1986","Poland distributed KI to ~18 million people within days of accident; only European country to do so; reduced thyroid doses by estimated factor 3-10; USSR did NOT distribute to population in first days","OECD-NEA Ch.VI; WHO 2006; Krentz 1994"
"milk_ban","I-131","food_chain_interruption","","prevents_majority_thyroid_dose","qualitative","1986-04-late to 1986-06","Multiple_European_countries","If milk ban had been implemented in Belarus/Ukraine in first 2 months 1986: most thyroid cancer cases would have been prevented; ban was implemented TOO LATE in USSR (weeks delay); Germany France UK Austria all imposed bans","WHO 2006; UNSCEAR 2008; Chernobyl Forum 2005"
"food_restrictions_general","Cs-137","food_chain_management","","varies_widely","qualitative","1986-ongoing","EU_27_countries_Belarus_Ukraine_Russia","EU emergency limits 1986: 600 Bq/kg Cs-137 (most foods); 3000 Bq/kg (some categories); current long-term limits 600/1250 Bq/kg. Still applied to Chernobyl-origin goods","EU Council Regulation 3954/87; updated EC 733/2008; OECD-NEA Ch.VI"
"graphite_sarcophagus_Shelter","all_Unit4_inventory","containment_of_reactor_core","","partial_containment","qualitative","1986-11 (completion)","Unit_4_Chernobyl_NPP","Sarcophagus (Shelter) built Nov 1986 by 90000 workers; reduced direct radiation and airborne release; not airtight; developed cracks; supplemented by NSC in 2016","WNA; OECD-NEA Ch.I; UNSCEAR 2008"
"NSC_New_Safe_Confinement","all_Unit4_inventory","containment_upgrade","","100yr_design_life","qualitative","2016-11 (installation)","Unit_4_Chernobyl_NPP","NSC cost ~2.1 billion EUR (international funding); 108m high 162m wide 257m long; allows remote dismantling of sarcophagus; maintains negative pressure to prevent release","WNA; Bechtel; NEA 2024"
"Pripyat_evacuation","all_released","population_dose_reduction","10","5-20_fold","fold_dose_reduction_vs_no_evacuation","1986-04-27 (36hr post-accident)","49000_Pripyat_residents","36-hour delay caused significant additional dose; if evacuated within 3-6 hours: estimated 3-4x more dose reduction achievable; delay due to Soviet secrecy","UNSCEAR 2008; INSAG-7; WHO 2006"
"30km_zone_evacuation","all_released","population_dose_reduction","","significant","qualitative","1986-05 (2 weeks post)","115000_30km_zone_residents","115000 evacuated from 30km zone over ~2 weeks; significant dose reduction for remaining exposures; long-term resettlement of >350000 people from 30km and Bryansk/Belarus zones 1986-1990","UNSCEAR 2008; Chernobyl Forum 2005"
"radioactive_decay","I-131","natural_decay","","fully_decayed_in_80days","t1/2=8.02days","1986-05 to 1986-08","all_exposed_populations","I-131 naturally decayed to negligible levels; within 2-3 months primary thyroid dose pathway gone; area contamination from Cs-137/Sr-90 persists indefinitely","Nuclear physics"
"aerial_material_drops","all_airborne_from_graphite_fire","fire_suppression_and_filter","","partial","qualitative","1986-04-27 to 1986-05-09","Unit_4_reactor","5000t dropped (2400t lead + 1800t sand/clay + 800t dolomite + 40t boron) by ~1800 helicopter flights; partially suppressed fire but also compressed the core and temporarily INCREASED release in mid-April; fire extinguished ~9 May 1986","WNA Appendix 1; OECD-NEA Ch.I; INSAG-7"
"all_countermeasures_combined_Belarus_food","Cs-137","food_chain_management_Belarus","","see_notes","percent_food_above_limit","1986-2005","Belarus_contaminated_areas_population","Despite countermeasures: 7-8% of Belarus small farm milk and 13-16% of other food still exceeded limits in 2005-2007; up to 90% of children in Narovlya District had body burdens >15 Bq/kg 1995-2007","OECD-NEA Ch.VI; food_agricultural_contamination_REAL.csv"
"tunnel_workers_prevent_China_Syndrome","corium_U+Pu","heat_exchanger_installation","","turned_out_unnecessary","qualitative","1986-05","400_tunnel_workers","400 workers tunneled under reactor in 15 days to install cooling heat exchanger; feared China Syndrome (corium melting through); turned out unnecessary as corium solidified; workers received significant doses","WNA; OECD-NEA Ch.I; INSAG-7"
