"location","radionuclide","concentration_value","concentration_units","date_or_period","context","notes","source"
"Pripyat_River_at_Chernobyl","multiple_isotopes","100000","Bq_per_liter","1986-04-26_to_05-15","Peak total radioactivity in Pripyat River immediately post-accident; primarily I-131 short-lived isotopes; Sr-90 data not well-specified for this initial period","Most of the river contamination came from atmospheric deposition on river catchment and direct runoff from contaminated surface soils; early peak also driven by short-lived isotopes now decayed","OECD-NEA Ch.II; Vakulovsky 1994 J Environ Radioact doi:10.1016/0265-931X(94)90055-8"
"Pripyat_River","total_activity_declining","several_thousand","Bq_per_liter","1986-05_to_06","Declining river activity mid-May 1986; short-lived isotopes decaying; Sr-90 and Cs-137 becoming dominant contributors after May","Cs-137 rapidly adsorbs to suspended sediment; Sr-90 remains dissolved; divergent behavior leads to different downstream transport fates","Vakulovsky 1994 J Environ Radioact doi:10.1016/0265-931X(94)90055-8"
"Pripyat_River","total_activity","200","Bq_per_liter","1986-06","June 1986 river activity level; primarily Sr-90 in dissolved phase","WHO drinking water standard for Sr-90: 10 Bq/L; June 1986 level 20x above standard; Kyiv water treatment unable to remove dissolved Sr-90 effectively","Vakulovsky 1994 J Environ Radioact"
"Pripyat_River","Sr90","40","Bq_per_liter","1986_late","Sr-90 rarely exceeded 40 Bq/L in late 1986 after initial peak","Sr-90 is primary long-term concern: soluble mobile; does not adsorb to sediments like Cs-137; continues slow release from soil and groundwater","Vakulovsky 1994 J Environ Radioact"
"Pripyat_River","Sr90","9.6","Bq_per_liter","1988-10_autumn_flood","Sr-90 in Pripyat River autumn 1988 during flooding; flood events resuspend and mobilize contaminated soil particles","Flood events = primary mechanism for ongoing Sr-90 transport downstream; seasonal peaks associated with spring snowmelt and autumn rains","Vakulovsky 1994; groundwater_timeseries_REAL.csv"
"Pripyat_River","Sr90","12.2","Bq_per_liter","1991-01_high_flood","Sr-90 peak during high flood January 1991; = 1.2 Bq/L; above WHO 10 Bq/L guideline","Flood year effect; 1991 high flood mobilized contaminated floodplain soils; similar flood peaks documented 1993 and 1999","Vakulovsky 1994; Sansone 1996 Sci Total Environ doi:10.1016/0048-9697(96)05120-0"
"Pripyat_River","Sr90","5.9","Bq_per_liter","1994-02","Sr-90 in Pripyat River February 1994 (8 years post-accident); still above WHO guideline","Slow decline over years; driven by continuing dissolution of fuel particles in Red Forest and other near-zone contaminated areas; natural attenuation insufficient","Vakulovsky 1994 J Environ Radioact"
"Kyiv_Reservoir_Dnieper","Cs137_mean_annual","1.0_to_0.2","Bq_per_liter","1987_to_1993","Mean annual Cs-137 in Kyiv reservoir (Kyivske vodoskhovyshche) serving Kiev water supply; 10x above pre-1986 baseline throughout","Kiev reservoir serves ~9 million people; Cs-137 in water itself not primary concern (particle-reactive → adsorbs to sediment and treatment removes); Sr-90 dissolved = the water supply concern","Sansone 1996 Sci Total Environ; Vakulovsky 1994"
"Kyiv_Reservoir_Dnieper","Cs137_seasonal_summer_vs_winter","2.5_to_3.5x_higher_summer","fold_increase","2021_to_2023","Summer vs winter Cs-137 ratio in dissolved Kyiv dam water; caused by temperature-dependent desorption from sediments","Temperature effect: warmer summer water mobilizes Cs-137 from exchangeable fraction in bottom sediments; relevant for water treatment planning; long-term trend still declining","J Environ Chem Eng 2025 seasonal Cs-137 Kyiv dam doi:10.1016/j.jece.2025; chernobyl_cooling_pond_REAL.csv"
"Dnieper_system_total_flux","Cs137_total_release_to_river","66","TBq","1986_total_flux","Total Cs-137 released to Dnieper River system in 1986 via atmospheric deposition on catchment + surface runoff","Small fraction of 85 PBq total atmospheric Cs-137 release (78x less); most atmospheric Cs-137 deposited on land surfaces not rivers; river transport is secondary exposure pathway","OECD-NEA Ch.II; IAEA Publication 1230"
"Dnieper_system_total_flux","Sr90_cumulative_1986_to_2000","85","TBq","1986_to_2000","Cumulative Sr-90 input to Dnieper River system 1986-2000; ± 10 TBq; from contaminated catchment soils and groundwater discharge","Sr-90 much higher fractional transport to river than Cs-137 because of solubility; ongoing slow release from fuel particles and soil; primary long-term aquatic contamination concern","Mirzoyeva 2013 J Environ Radioact doi:10.1016/j.jenvrad.2013.02.011 PMID:23522557"
"Kyiv_Reservoir","Cs137_fate","over_50_percent_accumulated","percent_of_input","1986_to_present","Cs-137 fate in Dnieper reservoir cascade: >50% accumulated in Kyiv reservoir bottom sediments; absorbed by fine-grained sediments during sedimentation","Kyiv reservoir acts as effective Cs-137 trap; regularly resuspended during floods; low fraction reaches Black Sea","Sansone 1996; IAEA Publication 1230"
"Black_Sea_via_Dnieper","Cs137_fraction_reaching_sea","1_to_5","percent_of_total_input","1986_to_1995","Only 1-5% of initial Cs-137 in Dnieper system reached Black Sea; most retained in reservoir sediments","Cs-137 particle-reactive behavior = effective retention in freshwater sediments; river transport efficiency of Cs-137 much lower than Sr-90","Vakulovsky 1994; Mirzoyeva 2013; IAEA Publication 1230"
"Black_Sea_via_Dnieper","Sr90_fraction_reaching_sea","43","percent_of_dissolved_input","1987_to_1993","43% of dissolved Sr-90 in Dnieper system reached Black Sea 1987-1993; much higher fraction than Cs-137","Sr-90 stays dissolved; not efficiently trapped by sediments; flows through to sea; Black Sea Sr-90 contamination from Chernobyl is primarily from Dnieper river transport","Mirzoyeva 2013 J Environ Radioact PMID:23522557; Sansone 1996"
"Black_Sea","Sr90_total_from_Dnieper_plus_Danube","160","TBq","1986_to_2000","Total Sr-90 input to Black Sea from Chernobyl fallout via Dnieper + Danube rivers combined; ± 28 TBq","Danube also transported significant Sr-90 from Central European fallout; cumulative input by 2000; Black Sea dilution reduces concentrations to below drinking water standards","Mirzoyeva 2013 J Environ Radioact PMID:23522557"
"Black_Sea_surface","Cs137_current","56","Bq_per_m3","2010s_to_2020s","Current Black Sea surface water Cs-137 concentration; = 0.056 Bq/L; well below WHO guideline 10 Bq/L","Both Chernobyl direct marine deposition (1986) and river transport contributed; now significantly diluted; still elevated above pre-Chernobyl baseline (~2-5 Bq/m³ from weapons testing)","J Environ Radioact Black Sea recent monitoring; Mirzoyeva 2013"
"Black_Sea_surface","Sr90_current","32","Bq_per_m3","2010s_to_2020s","Current Black Sea Sr-90 = 0.032 Bq/L; well below WHO guideline; mostly from weapons testing fallout with Chernobyl contribution","Sr-90 in Black Sea now mostly from global weapons testing (622 PBq Sr-90 from testing >> 10 PBq Chernobyl); Chernobyl contribution ~5-10% of current Black Sea Sr-90","J Environ Radioact Black Sea monitoring"
"Kakhovka_Reservoir","Cs137_bottom_sediment_1994","0.06","Ci_per_km2","1994","Cs-137 in Kakhovka reservoir bottom sediments 1994 (8 years post-accident); = 2.2 kBq/m²; 80% of reservoir bottom at this level; silt accumulation zones 3x higher","Downstream from Kyiv reservoir; Kakhovka was final large reservoir before river reaches Black Sea; accumulated 8 years of sediment-bound Cs-137 transport by 1994","ResearchGate OVERVIEW Kakhovka reservoir contamination 1986-2021"
"Kakhovka_Reservoir","Cs137_sediment_decay_trend","halved_by_2022","qualitative_trend","1987_to_2022","Cs-137 in Kakhovka sediments halved from 1987-2022 (35 years); expected from Cs-137 t1/2=30.17yr = approximately 1 half-life elapsed","Sr-90 in Kakhovka sediments decreased only ~20% due to ongoing supply from upstream contaminated soils partially offsetting radioactive decay","ResearchGate OVERVIEW Kakhovka contamination 1986-2021"
"Kakhovka_Dam_breach","date","2023-06-06","date","2023","Kakhovka dam (Nova Kakhovka) destroyed during Russian invasion of Ukraine June 6 2023; released reservoir water downstream","~18 million m³ released rapidly; resuspended 37 years of accumulated Chernobyl-origin radionuclides from reservoir sediments; transported downstream to Dnieper delta and Black Sea; significant but short-duration remobilization event","GC Human Rights; various news/scientific sources 2023"
"Kakhovka_Dam_breach","Sr90_remobilization","estimated_significant","qualitative","2023-06_to_2023-09","Sr-90 remobilized from Kakhovka sediments during 2023 dam breach; quantitative published data not yet available in peer-reviewed literature as of 2024","Sr-90 from resuspended sediments is more mobile than Cs-137 once in water; downstream Black Sea and coastal areas received pulse of Chernobyl-origin Sr-90; ongoing monitoring by Ukrainian authorities","ResearchGate; GC Human Rights 2023 analysis; data gap in peer review"
"Dnieper_suspended_particulate","Cs137_concentration_2022_2023","521.9","Bq_per_kg_dry_mass","2022_to_2023","Cs-137 in suspended particulate matter in Dnieper/North Crimean Canal system 2022-2023; = elevated above background","Shows continued mobilization of Chernobyl-origin Cs-137 from contaminated catchment soils during war period; military activities including dam explosions disturb contaminated soils","Springer 2025 artificial radionuclides Dnieper doi:10.1134/S0097807825700113"
"Dnieper_dissolved","Sr90_concentration_2022_2023","427.2","Bq_per_m3","2022_to_2023","Sr-90 in dissolved form in Dnieper/North Crimean Canal 2022-2023; = 0.427 Bq/L; above WHO guideline of 10 Bq/L?","Wait: 427.2 Bq/m3 = 0.4272 Bq/L; below WHO guideline of 10 Bq/L for drinking water; but significantly elevated above western European background ~0.01-0.05 Bq/L","Springer 2025 artificial radionuclides Dnieper doi:10.1134/S0097807825700113"
"Kyiv_water_supply","drinking_water_safe","below_WHO","qualitative","1987_to_present","Kyiv water supply (Kyivske and Desniansko-Starohradske reservoirs) remained below WHO radionuclide limits throughout post-accident period despite elevated contamination","Water treatment (coagulation sedimentation) removes 95%+ of Cs-137 as particle-associated; Sr-90 less well removed; water supply Sr-90 rarely exceeded 0.5 Bq/L after 1987","WHO Chernobyl Legacy; IAEA Publication 1230; Ukrainian water monitoring"
