"radionuclide","t12_yr","exposure_pathway","physical_chemical_form","age_group","tissue_endpoint","dose_coefficient_Sv_per_Bq","notes","source"
"I-131","0.0220","ingestion","soluble_iodide","adult","effective","2.2E-08","ICRP 72 value; includes thyroid committed dose; 50-year committed effective dose; updated ICRP 158 (2024) gives 1.6E-08 (-27% revised biokinetic model); used for dose assessments of 1986 USSR populations","ICRP 72 1996; ICRP 158 2024"
"I-131","0.0220","ingestion","soluble_iodide","1_year_old","effective","1.2E-07","~5.5x adult effective dose coefficient; smaller thyroid mass (1.2g vs 16g adult) means same Bq delivers proportionally higher thyroid dose; higher fractional GI absorption; critical for explaining child-vs-adult thyroid cancer disparity","ICRP 72 1996 Table A.1; PMID PMC8677615"
"I-131","0.0220","ingestion","soluble_iodide","10_year_old","effective","5.2E-08","~2.4x adult value; intermediate between infant and adult; significant age-dependence over childhood","ICRP 72 1996"
"I-131","0.0220","ingestion","soluble_iodide","adult","thyroid_committed","4.3E-07","Thyroid equivalent dose coefficient >> effective dose because weighting factor wT(thyroid)=0.04; thyroid receives 4.3E-07 Sv/Bq = >10x effective dose coefficient; explains why thyroid is the critical organ for I-131","ICRP 72 1996; radioactive_decay_chains_REAL.csv"
"I-131","0.0220","ingestion","soluble_iodide","1_year_old","thyroid_committed","2.4E-06","Infant thyroid dose coefficient = 2.4E-06 Sv/Bq = 5.6x adult thyroid coefficient; basis for high thyroid doses in pre-school evacuees (26% received >5 Gy thyroid per UNSCEAR); KI most effective if given to young children","ICRP 72 1996; unscear_evacuee_thyroid_doses_REAL.csv"
"I-131","0.0220","inhalation","Type_F_vapor","adult","effective","3.5E-08","Inhalation of radioiodine vapor; Type F = fast lung absorption; I-131 mainly vapor (>50%) in ambient air; inhalation adds to ingestion dose but milk pathway dominated in 1986 accident; firefighters at Chernobyl received significant inhalation doses","ICRP 72 1996; ICRP 68"
"I-131","0.0220","inhalation","Type_F_vapor","1_year_old","effective","1.4E-07","Infant inhalation coefficient; 4x adult; children breathe more air per kg body weight AND have smaller thyroid mass; both factors increase dose","ICRP 72 1996"
"I-131","0.0220","external_ground_contamination","point_source_1m","adult","effective_ambient","quantified_separately","External dose from deposited I-131 negligible compared to internal dose via milk/food; 364 keV gamma penetrating but physical decay (t1/2=8d) reduces exposure quickly; more relevant for workers in contaminated areas first weeks","ICRP 144 2020; European dosimetry studies"
"Cs-137","30.17","ingestion","soluble_cesium","adult","effective","1.3E-08","Widely used value; ICRP 72; 50-year committed effective dose; Cs distributed in muscle tissue like K; biological half-life 70-140 days in adults (shorter in children); updated ICRP 158 gives 1.4E-08 (+8% minor revision)","ICRP 72 1996; ICRP 119 2013"
"Cs-137","30.17","ingestion","soluble_cesium","1_year_old","effective","4.4E-08","~3.4x adult value; shorter biological retention time in children partially offsets higher dose rate per Bq; diet higher in specific foods (mushrooms less relevant for young children); body burden Cs-137 dominated this age group in contaminated Belarus schools","ICRP 72 1996; cs137_body_burden_ukraine_REAL.csv"
"Cs-137","30.17","inhalation","Type_M_aerosol_1um","adult","effective","6.7E-09","Lower than ingestion coefficient for Cs-137 because same Bq inhaled distributes to same tissues as ingested but with different GI absorption dynamics; Type M = moderate lung dissolution rate; key for liquidators inhaling contaminated dust","ICRP 68 1994; ICRP 72 1996"
"Cs-137","30.17","external_air_kerma_ground","secular_equilibrium_with_Ba137m","adult","effective_per_Bq_per_m2","2.5E-14","Sv per second per Bq/m2 on ground; Ba-137m 662 keV gamma (85.1% yield) from secular equilibrium with Cs-137 is the external dose source; this coefficient used for dose rate mapping from soil deposition data; 2026 CEZ dose rates derived from this","ICRP 144 2020; EPA FGR-15 2019; radioactive_decay_chains_REAL.csv"
"Cs-137","30.17","external_air_dose_rate","662keV_gamma_Ba137m","adult","air_kerma_rate_at_1m_from_1MBq","0.0864","µGy/hr per MBq at 1 meter; specific gamma dose rate constant Γ=8.64 nGy m2 MBq-1 h-1; used to convert MBq/m2 soil to ambient dose rate; Prypiat 4.932 µSv/h corresponds to ~1.5-2 MBq/m2 residual Cs-137 assuming equilibrium","Health Physics dose rate constants; IAEA DS379"
"Sr-90","28.78","ingestion","soluble_strontium","adult","effective","2.8E-08","50-year committed effective dose; bone surface dose dominant (Sr is Ca-mimetic → bone seeker); bone surface wT=0.01; ICRP 72 value; updated ICRP 158 gives 2.4E-08 (-14% revised strontium biokinetics); Sr-90 dose higher than Cs-137 per Bq due to bone retention","ICRP 72 1996; ICRP 158 2024"
"Sr-90","28.78","ingestion","soluble_strontium","adult","bone_surface","1.1E-07","Bone surface committed equivalent dose coefficient >> effective dose because bone surface receives very high local dose from Sr-90 beta (0.546 MeV) and Y-90 daughter (2.28 MeV beta); bone surface wT=0.01 used in effective dose","ICRP 72 1996"
"Sr-90","28.78","ingestion","soluble_strontium","1_year_old","effective","2.3E-07","~8x adult value; infants have much higher bone remodeling and Ca/Sr uptake rates; growing bone accumulates Sr-90 more efficiently; breast-fed infants received highest Sr-90 bone doses when mothers consumed contaminated milk 1986-1988","ICRP 72 1996; UNSCEAR 2008"
"Sr-90","28.78","inhalation","Type_M_aerosol","adult","effective","2.9E-08","Comparable to ingestion; both routes result in Sr-90 bone uptake; inhalation Type M = moderate lung transfer to blood; important for liquidators working in dust-contaminated areas near reactor","ICRP 68 1994; ICRP 72 1996"
"Cs-134","2.065","ingestion","soluble_cesium","adult","effective","1.9E-08","Higher than Cs-137 (1.3E-08) per Bq because Cs-134 has multiple high-energy gammas (605+796 keV) contributing to whole-body dose in addition to beta; important in first 5 years post-accident when Cs-134 still significant","ICRP 72 1996; radioactive_decay_chains_REAL.csv"
"Pu-239","24110","ingestion","Type_S_oxide","adult","effective","2.5E-07","Pu oxide or hydroxide form; f1=0.00001 (very low GI absorption); despite tiny GI absorption fraction the dose coefficient high because absorbed Pu goes to bone and liver permanently; ICRP dose coefficient reflects 50-year commitment from bone","ICRP 72 1996"
"Pu-239","24110","inhalation","Type_M_medium","adult","effective","6.2E-05","MUCH higher than ingestion because inhalation deposits Pu in lung directly; lung committed dose plus systemic dose from lung transfer; Type M = 10% lung absorption rate; main concern for near-zone soil disturbance; Chernobyl Pu-239 released 0.030 PBq","ICRP 68 1994; ICRP 72 1996"
"Pu-238","87.74","ingestion","Type_S_oxide","adult","effective","2.3E-07","Slightly lower than Pu-239 effective dose coefficient per Bq; however specific activity of Pu-238 is ~280x higher than Pu-239 per gram (shorter t1/2) so same mass gives 280x more activity → more dose per gram","ICRP 72 1996"
"Pu-238","87.74","inhalation","Type_M_medium","adult","effective","1.1E-04","Highest of commonly discussed actinides per Bq via inhalation; Chernobyl Pu-238 released 0.035 PBq; hot particles containing Pu-238 in near-zone represent primary inhalation dose for future CEZ workers","ICRP 68 1994; ICRP 72 1996; fuel_particle_contamination_REAL.csv"
"Am-241","432.2","ingestion","Type_M_soluble","adult","effective","2.0E-07","Slightly lower than Pu-239; Am-241 has higher solubility fraction from GI tract than Pu; also goes to bone and liver; current Am-241 activity in CEZ soils still growing (ingrowth from Pu-241); am241_ingrowth_timeseries_REAL.csv","ICRP 72 1996"
"Am-241","432.2","inhalation","Type_M_medium","adult","effective","9.2E-05","Comparable to Pu-238 inhalation; high inhalation dose coefficient; Am-241 in surface soils of near-zone increasingly important as concentration grows toward 2058.7 peak; 59.5 keV gamma allows aerial and ground survey detection","ICRP 68 1994; ICRP 72 1996; am241_ingrowth_timeseries_REAL.csv"
