"nuclide","mass_number_A","fission_source","cumulative_yield_percent","half_life","decay_mode","yield_peak","chernobyl_relevance","notes","source"
"Sr-90","90","U235_thermal","5.82","28.8_yr","beta_minus","light_peak_A~90_to_100","primary_long-term_soil_water_contaminant","5.82% cumulative yield = most abundant mass-90 fission product from U-235 thermal fission; daughter Y-90 (t1/2=64.1hr) also beta emitter; Sr-90 total release from Unit 4: 10 PBq = ~1% of core inventory; far less released than Cs-137 because Sr refractory at reactor temperatures","ENDF/B-VIII.0 NNDC; England Rider 1994 LANL; 01_source_term_REAL.csv"
"Cs-137","137","U235_thermal","6.19","30.17_yr","beta_minus; 662_keV_from_Ba137m_daughter","heavy_peak_A~133_to_144","primary_long-term_atmospheric_soil_food_chain_contaminant","6.19% cumulative yield; total in Unit 4 core at accident: ~6000 PBq; released: 85 PBq (1.4%); Cs is volatile at >700°C → large atmospheric release; Cs-137 sole long-lived primary Chernobyl isotope detectable by gamma spectrometry because Ba-137m daughter emits 662 keV; see radioactive_decay_chains_REAL.csv","ENDF/B-VIII.0; NNDC; 01_source_term_REAL.csv"
"Cs-134","134","U235_thermal_PLUS_Cs133_neutron_capture","NOT_direct_fission_product","2.065_yr","beta_minus; 604_795_keV_gammas","N/A_activation_product","Chernobyl_source_fingerprint_Cs134/Cs137=0.57","Cs-134 NOT produced directly by fission; produced by neutron capture on Cs-133 (cumulative fission yield ~6.7%); in-reactor production depends on flux × time × Cs-133 concentration; Cs-134/Cs-137 ratio of 0.57 at release is the definitive temporal fingerprint for Unit 4 fuel burnup at accident time; this ratio uniquely identifies Chernobyl vs weapons test contamination","ENDF/B-VIII.0 for Cs-133 yield; reactor physics calculation; atmospheric_transport_plume_REAL.csv; radioactive_decay_chains_REAL.csv"
"I-131","131","U235_thermal","2.89","8.02_days","beta_minus; 364_keV_gamma","heavy_peak_A~131","acute_thyroid_dose_driver_first_weeks","2.89% cumulative yield; highly volatile (iodine boiling point 184°C); 1760 PBq released (55% of inventory); primary driver of thyroid dose in children; by October 1986 (10 half-lives) essentially zero activity remains; I-131 NOW has zero contribution to Chernobyl legacy exposure but caused the most attributable thyroid cancers","ENDF/B-VIII.0; 01_source_term_REAL.csv; dose_conversion_factors_REAL.csv; unscear_evacuee_thyroid_doses_REAL.csv"
"I-129","129","U235_thermal","0.65","15.7e6_yr","beta_minus","heavy_peak","essentially_permanent_geological_timescale","Very long-lived (15.7 million years); cumulative yield 0.65%; low specific activity (few Bq per mg); essentially zero radiological significance; geochemical tracer for groundwater movement and nuclear fuel reprocessing; not a Chernobyl health concern but technically present in CEZ","ENDF/B-VIII.0; NNDC; not in UNSCEAR Chernobyl source term due to low specific activity"
"Ba-140","140","U235_thermal","6.35","12.75_days","beta_minus; then_La140_t1/2=1.68d","heavy_peak_A~140","short-term_early_phase_contaminant","6.35% cumulative yield; one of highest-yield fission products; Ba-140 + daughter La-140 important gamma dose contributors in first month; both fully decayed (>99%) within 6 months; contributed to dose from Chernobyl plume in May 1986","ENDF/B-VIII.0; UNSCEAR 2008; 01_source_term_REAL.csv"
"Zr-95","95","U235_thermal","6.49","64.0_days","beta_minus; 757_756_keV_gammas","light_peak_A~95","hot_particle_component_fingerprint","6.49% cumulative yield; highest yield at light peak; moderately volatile; relatively refractory in fuel matrix; detectable in hot particles; Zr-95/Ce-144 ratio in hot particles = 0.73 used as burnup indicator; decays to Nb-95m/Nb-95; essentially fully decayed by ~1990","ENDF/B-VIII.0; fuel_particle_contamination_REAL.csv; OECD-NEA 1996"
"Ru-106","106","U235_thermal","0.40","373.6_days","beta_minus_no_gamma; Rh106_daughter_30s_512keV_gamma","light_peak_A~100_to_106_region","detectable_via_daughter","0.40% cumulative yield (low); but Ru is semi-volatile (RuO4 volatile at >1000°C); disproportionately large release fraction; 1760 TBq Ru-106 released from Chernobyl; daughter Rh-106 (t1/2=30s) = secular equilibrium; Rh-106 emits 512 keV gamma = how Ru-106 detected; no Ru-106/Rh-106 gamma from Ru-106 alone (pure beta); fully decayed by ~1993; re-emerged as 2017 European event (Mayak release: 250 TBq)","ENDF/B-VIII.0; radioactive_decay_chains_REAL.csv; ru106_2017_europe_REAL.csv; 01_source_term_REAL.csv"
"Ce-144","144","U235_thermal","5.48","284.9_days","beta_minus; Pr144_daughter_2.98min","heavy_peak_A~140_to_144","hot_particle_fingerprint; fuel_particle_Ce144/Cs137_ratio","5.48% yield; refractory element; Ce-144 stays in fuel matrix; important hot particle fingerprint isotope; Zr-95/Ce-144 = 0.73 in Type I particles; Ce-144 detectable in hot particle gamma spectra; decayed to undetectable by ~1993 (99% gone in 5 half-lives = 3.9yr); daughter Pr-144 (t1/2=17.3min) gamma at 2.186 MeV","ENDF/B-VIII.0; fuel_particle_contamination_REAL.csv; IAEA Technical Report; radioactive_decay_chains_REAL.csv"
"Te-132","132","U235_thermal","4.28","3.20_days","beta_minus; then_I132_t1/2=2.3h","heavy_peak","early_dose_via_I132_daughter; volatile_component","4.28% yield; Te volatile at reactor temperatures; 1150 PBq Te-132 released; important early dose contributor via I-132 daughter; Te-132/I-132 secular equilibrium reached in ~24h after separation; significant gamma dose in first 2-3 weeks; fully decayed by July 1986; 01_source_term_REAL.csv","ENDF/B-VIII.0; UNSCEAR 2008; 01_source_term_REAL.csv"
