medium,location,date_or_period,radionuclide,concentration_low,concentration_high,concentration_typical,units,notes,source
cows_milk_I131,Belarus_Gomel_Mogilev,1986-04-26 to 1986-05-26,I-131,high,,,Bq_per_L,"Almost 11000 measurements of total beta-activity in cows milk in first month; specific values in full paper; Gomel and Mogilev oblasts; most contaminated regions",PubMed 32658640; PMC7813882
cows_milk_I131,Germany_various,1986-05,I-131,20,500,,Bq_per_L,"German standard: milk <500 Bq/L I-131 for direct consumption; some states restricted to <20 Bq/L; West Germany temporary standards",BfS historical; GRS
grass_soil_Germany_Magdeburg,Germany_Magdeburg,1986-05-05,I-131,,,75000,Bq_per_kg,"After heavy thunderstorm; wet deposition concentrated contamination; high local variability",Historical German monitoring records
stormwater_Germany_Magdeburg,Germany_Magdeburg,1986-05-05,I-131,,,44000,Bq_per_L,Same rain event as above,Historical German monitoring records
garden_soil_Germany_Magdeburg,Germany_Magdeburg,1986-05-05,I-131,,,40000,Bq_per_kg,Same rain event as above,Historical German monitoring records
cows_milk_Cs,Poland,1987-03 to 1987-04,Cs-134+Cs-137,,,46,Bq_per_L,"Rise in March-April 1987; likely from hay harvested June 1986; secondary food pathway from soil-grass-milk",Poland monitoring; INIS records
water_Kiev_reservoir,Ukraine_Kiev,1989,Cs-137,,,0.4,Bq_per_L,Kiev reservoir Cs-137 declining post-1986,OECD-NEA Ch.VI
water_Kanev_reservoir,Ukraine_Kanev,1989,Cs-137,,,0.2,Bq_per_L,,OECD-NEA Ch.VI
water_Kremenchug_reservoir,Ukraine_Kremenchug,1989,Cs-137,,,0.05,Bq_per_L,Lower concentrations downstream; dilution and settling,OECD-NEA Ch.VI
fish_Kiev_Kanev,Ukraine_Kiev_to_Kanev,1987-1989,Cs-137,,,10x_decrease,factor_of_decline,"Cs-137 in fish fell by factor of 10 in Kiev-Kanev transition zone as reservoir settled radionuclides",OECD-NEA Ch.VI
