"category","parameter","value_low","value_high","units","context","notes","source"
"particle_classification","Type_I_UZryOx_chemically_stable","","","qualitative","Uranium-zirconium-oxide oxidized particles; extra-stable matrix; zirconium alloy cladding fragments incorporated","Most resistant to dissolution; 31 ± 4% of radionuclide activities in Red Forest waste (2015); U-Zry-Ox particles persist longest in environment","Kashparov 2020 J Environ Radioact PMID:31419762; Levchuk 2020 PMID:32868094"
"particle_classification","Type_II_UO2_non_oxidized","","","qualitative","Non-oxidized uranium oxide matrix; chemically stable but less so than Type I; primary fuel pellet material","~50% of Type II particles had dissolved by 1999-2005 in surface soils; slower dissolution rate in flooded/anoxic conditions","Kashparov 2004 J Environ Radioact PMID:14972414; Kashparov 1999 PMID:10025650"
"particle_classification","Type_III_UO2_oxidized","","","qualitative","Oxidized uranium oxide; low chemical stability; most reactive type; formed at high temperatures in oxidizing conditions","Complete dissolution by 1999-2005 in near-zone surface soils; dissolution 7-10x faster than Type II; dominant in early releases","Kashparov 2004 PMID:14972414; J Nucl Materials 2000 doi:10.1016/S0022-3115(00)00106-4"
"dissolution_kinetics","Type_I_dissolution_halflife_soil_surface","15","25","years","Exposed surface soils; pH 5.5-7; aerobic conditions","Most stable particles; dissolution accelerates with increasing pH and oxidizing conditions; Red Forest waste shows highest type I fraction","Kashparov 2020 PMID:31419762; Levchuk 2020 PMID:32868094"
"dissolution_kinetics","Type_II_dissolution_halflife_soil","10","20","years","Surface agricultural soils; aerobic; temperate climate","~50% dissolved by year 2000 (14 years post-accident); dissolution rate strongly pH and oxidation dependent","Kashparov 2004 PMID:14972414"
"dissolution_kinetics","Type_III_dissolution_halflife_soil","2","8","years","Surface soils; oxidizing conditions","Fastest dissolution; effectively all Type III dissolved by ~1995-2000 in most near-zone soils","Kashparov 2004 PMID:14972414; dissolution model validation Levchuk 2020"
"dissolution_kinetics","dissolution_rate_difference_oxidized_vs_reduced","7","10","fold_faster","Oxidized vs non-oxidized UO2 particles in identical soil conditions","Oxidation state of fuel particle is primary determinant of dissolution rate; more oxidized = faster dissolution = faster radionuclide release to soil solution","J Nucl Materials 2000 doi:10.1016/S0022-3115(00)00106-4; Kashparov 1999"
"dissolution_kinetics","flooded_vs_surface_dissolution_factor","4","7","fold_slower","Cooling pond sediment vs surface soil; anoxic reducing conditions","Near-field cooling pond: ~100 years for substantial dissolution vs 15-25 years in exposed sediments; groundwater Sr-90 contamination driven by slow dissolution","Kashparov 2020 PMID:31419762; groundwater studies CEZ"
"particle_size","median_diameter_fuel_crystallites","4","6","micrometers","Individual fuel crystallites and grain fragments; most common size mode","Bimodal distribution: fine mode 0.3-1.5 µm AMAD (volatile: I Cs); coarse mode ~10 µm (refractory: Pu Zr Ce); particles >20 µm can transport hundreds of km","Salbu 2001 J Environ Radioact PMID:11202686; OECD-NEA Ch.II"
"particle_size","maximum_fuel_particle_diameter","100","150","micrometers","Largest fuel fragments observed in near-zone soil samples (within 1-5 km)","Large particles carry highest activity per particle; inhalation of particles >20 µm mostly deposits in upper respiratory tract; smaller particles reach lungs","Kashparov 2003 Environ Sci Pollut Res; Salbu 2001"
"particle_size","inhalable_fuel_particle_AMAD","0.3","1.5","micrometers","Fine mode particles containing volatile elements (I Cs Te) in aerosol; AMAD = aerodynamic median activity diameter","Fine mode carries 10-20% of total activity; penetrates to lung alveoli if inhaled; dominant exposure pathway for distant populations (>100 km)","OECD-NEA Ch.II; Salbu 2001 PMID:11202686"
"particle_size","coarse_refractory_AMAD","~10","~15","micrometers","Refractory elements Pu Zr Ce Ba; mainly near-source deposit; captured in upper respiratory tract if inhaled","Coarse particles carry 80-90% of non-volatile radionuclide activity; near-zone inhalation dose dominated by coarse mode","OECD-NEA Ch.II; Kashparov 2003"
"activity_per_particle","fuel_fragment_Bq_per_particle_near_zone","100","1000000","Bq_per_particle_Cs137","Near-zone fuel particles 1-30 km from reactor; extremely wide range reflecting size range","Larger fragments = higher activity; very large pieces could deliver acute local doses; most particles in resuspended aerosol: 1-12 Bq Cs-137 per particle","Kashparov 2003; Salbu 2001"
"activity_per_particle","resuspended_hot_particle_Cs137","1","12","Bq_per_particle","Fuel hot particles in resuspended aerosol in 30-km zone; measured by Salbu 2001","Individual hot particle inhalation dose: typical particle gives <0.001 mSv committed lung dose; large particles (>100 µm) could give locally concentrated dose but not systemically significant","Salbu 2001 PMID:11202686; Kashparov 2003"
"activity_per_particle","ruthenium_particle_activity","500","10000","Bq_per_particle","Ru-enriched condensate particles from volatile ruthenium species; found predominantly in far-zone","Ruthenium particles distinct from fuel particles; condensate droplets formed at different temperatures; Ru-106 (and Ru-103) co-presence distinguishes from 2017 European Ru event","Kashparov 2003 Environ Sci Pollut Res"
"number_density","resuspension_wind_particles_per_1000m3","","2.6","particles_per_1000m3","Wind-driven resuspension in 30-km zone; agricultural activities","Agricultural activities resuspend 36 particles per 1000 m³ (14x wind resuspension); wildfire resuspension substantially higher; key ongoing exposure pathway in CEZ","Salbu 2001 PMID:11202686; Kashparov 2003"
"number_density","agricultural_resuspension_particles_per_1000m3","","36","particles_per_1000m3","CEZ agricultural activity (ploughing tilling); measured geometric diameter 6-12 µm","Farming in CEZ (now partially resumed) creates hot particle inhalation hazard; 100 hectares declared safe for agriculture 2025 after individual validation","Salbu 2001; CEZ authorities 2025"
"soil_inventory","Sr90_30km_zone_upper_30cm_year2000","","7.7e14","Bq_total_in_30km_zone","Upper 30 cm of 30-km exclusion zone soil; decay-corrected to year 2000","Sr-90 higher mobility than Cs-137 in soils; significant fraction moves to groundwater; Bugai 2022 measured CEZ groundwater Sr-90 still elevated; ~15% may be in particle form","Kashparov 2020 PMID:31419762"
"soil_inventory","Cs137_30km_zone_upper_30cm_year2000","","2.8e15","Bq_total_in_30km_zone","Upper 30 cm of 30-km exclusion zone soil; decay-corrected to year 2000","Cs-137 strongly fixed in clay minerals in agricultural soils (low mobility); forest soils: less fixation → higher bioavailability → mushroom and wildlife contamination","Kashparov 2020 PMID:31419762"
"soil_inventory","Pu238_30km_zone_upper_30cm_year2000","","7.2e12","Bq_total","Upper 30 cm of 30-km exclusion zone soil; decay-corrected to year 2000","Plutonium isotopes highly insoluble; essentially no soil-to-plant transfer; primary exposure via inhalation of dust/particles near reactor","Kashparov 2020 PMID:31419762"
"soil_inventory","Pu239_240_30km_zone_upper_30cm_year2000","","1.5e13","Bq_total","Upper 30 cm of 30-km exclusion zone soil; year 2000","Pu-239 t1/2=24110yr: essentially permanent contamination on human timescales; hot spot within 30km zone: >37 kBq/m2 Pu-239+240 in ~800 km2","Kashparov 2020; UNSCEAR 2008 Annex D"
"soil_inventory","Am241_30km_zone_upper_30cm_year2000","","1.8e13","Bq_total","Upper 30 cm of 30-km exclusion zone soil; year 2000; Am-241 still growing from Pu-241 ingrowth","Am-241 in soil year 2000 includes both direct release (from 1986) + ingrowth from deposited Pu-241; by 2026 ingrowth component greatly exceeds original release","Kashparov 2020 PMID:31419762; Bateman equations"
