location,radionuclide,year_or_period,concentration_Bq_m3,concentration_Bq_L,notes,source
Pripyat_River,Sr-90,1987,high_initial,,Post-accident; no precise early values recovered; Soviet monitoring suppressed,Historical inference
Pripyat_River,Sr-90,1988,9600000,9600,Peak autumn 1988 flooding; units Bq/L = 9.6e6 Bq/m3; extreme flood mobilization of contaminated soils,OECD-NEA Ch.IV; Bugai 2022 Scientific Reports
Pripyat_River,Sr-90,1991,12200000,12200,January 1991 high flood year; highest recorded Pripyat Sr-90 value; Bq/L = 1.22e7 Bq/m3,Historical data via OECD-NEA; Bugai 2022
Pripyat_River,Sr-90,1993,1500000,,Estimated from exponential decline model; alpha=9357 Bq/m3 bulk + slow component; still elevated,Exponential model Bugai 2020 PMC7299996
Pripyat_River_catchment,Sr-90,1990-1995,3340,,Mean dissolved Sr-90 in small CEZ catchment 1990-1995 = 3340 Bq/m3; averaged monitoring station 7km NW of ChNPP,PMC7299996 Bugai 2020 Scientific Reports
Pripyat_River_catchment,Sr-90,2012-2016,1450,,Mean Sr-90 declined to 1450 Bq/m3 by 2012-2016; factor ~2.3 decrease over 20 years; slow decline due to long-lived reservoir,PMC7299996 Bugai 2020 Scientific Reports
Pripyat_River_recent,Sr-90,2010-2021,180,,Maximum yearly-averaged; well below 1988/1991 peaks; >90% of Kiev reservoir input via Pripyat,Bugai 2022 Scientific Reports doi:10.1038/s41598-022-22842-5
Pripyat_River_recent,Cs-137,2010-2021,76,,Maximum yearly-averaged; well below WHO 10000 Bq/m3 guideline,Bugai 2022 Scientific Reports
CEZ_10km_monitoring_wells_all87,Sr-90,2019,100-100000,,Range across 87 monitoring wells; pre-accident background was 1-10 Bq/m3; 16/87 wells exceed WHO guideline 10000 Bq/m3,Bugai 2022 Scientific Reports
CEZ_10km_monitoring_wells_all87,Sr-90_worst_well,2019,230000,,Well 1/1 at Stroybaza radioactive waste dump; 2.3e5 Bq/m3; worst single well in network,Bugai 2022 Scientific Reports
CEZ_10km_monitoring_wells_all87,Cs-137,2019,10-100,,All wells below WHO DWS 10000 Bq/m3; Cs-137 adsorbs strongly to soil particles; low mobility,Bugai 2022 Scientific Reports
CEZ_sarcophagus_zone,Cs-137,2015,300-72000,,Groundwater within sarcophagus/shelter footprint; locally very high Cs-137 from direct fuel contact,Bugai 2022 Scientific Reports
CEZ_10km_zone,Pu_Am,2018-2019,0.1-1.0,,Actinides (Pu-238 Pu-239 Pu-240 Am-241) in groundwater; much lower than WHO limit 1000 Bq/m3; very low mobility,Bugai 2022 Scientific Reports
