"event","year","radionuclides_and_activity","location","context","comparison_to_chernobyl","source"
"Mayak_Kyshtym_explosion","1957","total_74_PBq_including_Sr90_20_PBq_Cs137_0.04_PBq","Kyshtym_Chelyabinsk_Oblast_USSR","Nuclear waste storage tank explosion at Mayak plutonium production facility September 29 1957; high-level liquid waste tank overheated (cooling failure) → chemical explosion; released 74 PBq total (less volatile than reactor accident); cloud dispersed NE over 23,000 km²; East Ural Radioactive Trace (EURT); 270,000 people in contaminated area; 12,000 evacuated (delayed 1-2 weeks); area closed; INES-6 (only INES-6 event ever)","Kyshtym vs Chernobyl: Kyshtym released 74 PBq total but dominated by short-lived isotopes; Cs-137=0.04 PBq (2000x less than Chernobyl); Sr-90=20 PBq (2x more than Chernobyl); Kyshtym was nuclear WASTE not fuel → different isotope mix; INES-6 vs Chernobyl INES-7; classified SECRET until 1976 (Medvedev disclosure); completely unknown in West until 1979","Medvedev 1979 Nuclear Disaster in the Urals; IAEA 1998 Kyshtym assessment; nuclear_accident_history_comparison_REAL.csv"
"Windscale_fire","1957","I131_0.74_PBq_Cs137_0.022_PBq_Po210_8.8_TBq","Windscale_Cumberland_England_UK","Windscale Pile No. 1 graphite fire October 7-12 1957; Wigner energy release in graphite moderator; graphite ignited; I-131 released over 4 days; UK government covered up full extent of release; milk ban in 200 mile radius; 300+ km² milk banned; estimated ~200-240 excess cancer deaths; INES-5; reactor decommissioned immediately","Windscale vs Chernobyl: BOTH are graphite-moderated reactors (RBMK and Windscale pile); both had graphite fires as major accident mode; Windscale I-131 release: 0.74 PBq vs Chernobyl 1760 PBq (2400x less); Windscale Cs-137: 0.022 PBq vs Chernobyl 85 PBq (3900x less); Windscale had no containment (same as RBMK); UK decommissioned Windscale immediately; Soviet Union decommissioned RBMK NOTHING until accident; key lesson: graphite moderated reactors + no containment = accident-prone design","IAEA Safety Series; Lockey 2007; Arnold 1992 Windscale 1957; nuclear_accident_history_comparison_REAL.csv"
"nuclear_weapons_testing_1945_1980","global_fallout","Cs137_948_PBq_Sr90_622_PBq_Pu239_11_PBq","global","Atmospheric nuclear weapons testing 1945-1980: ~2000 tests; peak 1961-1962 (US/Soviet moratorium preceded by maximum testing); Cs-137 total: 948 PBq (11x Chernobyl); Sr-90 total: 622 PBq (62x Chernobyl); Pu-239 total: 11 PBq (800x Chernobyl); deposited globally in 'global fallout'; PTBT (Partial Test Ban Treaty) 1963: ended atmospheric tests by major powers; French tests continued to 1974; Chinese to 1980; current measurements of weapons fallout still detectable in food/soil","Testing vs Chernobyl comparison: global weapons testing Cs-137 was 11x Chernobyl but spread globally → lower concentration per km²; Chernobyl concentrated in Europe; regional concentration × 11 globally distributed = similar individual doses in most contexts; however Cs-134/Cs-137 ratio distinguishes Chernobyl from testing (no Cs-134 in weapons; Cs-134/Cs-137=0.57 from Chernobyl); currently: weapons test Cs-137 still detectable in soils globally at ~1-5 kBq/m² in mid-latitudes","nuclear_context_comparison_REAL.csv; UNSCEAR 2000 Annex C; atmospheric_transport_plume_REAL.csv; fission_product_yields_REAL.csv"
"Semipalatinsk_test_site","1949_to_1989","total_activity_estimated_huge","Semipalatinsk_Kazakhstan_USSR","Soviet nuclear test site: 456 tests 1949-1989 (26 atmospheric; 340 underground; 90 surface); Kazakhstan inherited contaminated territory; population around Semipalatinsk: ~200,000 exposed to above-background radiation; 1957 test released contamination over large area; downwinders received doses comparable to Chernobyl liquidators in some cohorts; Kazakhstan closed site 1991 (first country to close a nuclear test site); studied by Grosche (1994) and Harada (2009) cohorts","Semipalatinsk vs Chernobyl: both represent Soviet-era population radiation exposure; Semipalatinsk cohort (BN-600 study) documented elevated cancer rates; however attribution complicated by: poverty; alcohol; healthcare access confounders; doses calculated retrospectively from environmental measurements (similar methodology challenges as Chernobyl); key difference: Semipalatinsk = weapons program; Chernobyl = civilian power; both show Soviet disregard for affected populations","Grosche 1997 J Radiol Prot; UNSCEAR; Harada 2009 J Radiat Res; nuclear_context_comparison_REAL.csv"
"Goiania_Cs137_accident","1987","source_50_GBq_Cs137","Goiania_Brazil","September 13 1987: abandoned radiotherapy source (Cs-137 CsCl in teletherapy unit) found by scavengers at demolished clinic; opened; CsCl powder dispersed; 4 deaths from ARS; 249 contaminated; 3,000 screened; 100,000 km² surveyed; 7 city blocks decontaminated; classified INES-5; Cs-137 mass ~0.016 g = 50 GBq = 0.000015% of Chernobyl release","Goiania key lessons: (1) CsCl form = highly water-soluble and biologically active; (2) blue glow attracted children (Cherenkov radiation from Y-90); (3) decontamination of urban area = very expensive; (4) INES-5 with only 50 GBq source → illustrates category I source danger for dirty bomb scenario; Goiania = 'natural experiment' in CsCl contamination cleanup; informed IAEA Category I source security requirements","nuclear_accident_history_comparison_REAL.csv; IAEA 1988 Goiania report; Bequele 1990 Health Phys; chernobyl_nuclear_terrorism_risk_REAL.csv"
"Fukushima_Daiichi_2011","March_11_2011","Cs137_15_to_20_PBq_I131_100_to_400_PBq_Cs134_17_PBq","Fukushima_Fukushima_Prefecture_Japan","Tohoku earthquake + tsunami March 11 2011; loss of external power + station blackout; backup diesel generators flooded; decay heat not removed; 3 reactor cores melted (Units 1,2,3); containment partially breached; hydrogen explosions; ~15-20 PBq Cs-137 released; no ARS cases in public; 150,000 evacuated; 1600 evacuation-related deaths (indirect); 1 confirmed radiation-related cancer death (2022); INES-7","Fukushima vs Chernobyl: Fukushima Cs-137 ~1/5 Chernobyl; I-131 ~1/4 Chernobyl; Fukushima: containment partially held → reduced release; VVER containment analogy (both better than no containment = Chernobyl/RBMK); no ARS from Fukushima (different from Chernobyl 134 ARS cases); evacuation-related deaths (1600) likely exceeded radiation-related deaths = opposite cost-benefit from Chernobyl; informs ZNPP risk assessment: cooling failure risk (Fukushima scenario) more realistic than criticality (Chernobyl scenario)","fukushima_chernobyl_comparison_REAL.csv; UNSCEAR 2013/2021; IAEA Fukushima report; zaporizhzhia_npp_2022_2025_REAL.csv"
"Mayak_routine_discharges","1950s_to_1990s","Cs137_and_Sr90_discharged_to_Techa_River","Techa_River_Chelyabinsk_Oblast_USSR","Mayak plutonium production: 1949-1956 discharged 100+ PBq total radioactivity to Techa River (including ~0.1 PBq Sr-90 and Cs-137); riparian population (~24,000) received substantial doses: average 0.5-4 Gy to red bone marrow from Sr-90; Techa River Cohort (TRC): well-studied population; ERR/Gy leukemia = 1.26 (matches Chernobyl liquidators); Techa Cohort extended to 2nd generation for heritable effects (none confirmed)","Techa River Cohort = most radiation-exposed civilian cohort besides Hiroshima/Nagasaki and Chernobyl; doses from Sr-90 (bone-seeker) higher than typical external gamma; Techa ERR/Gy leukemia consistent with A-bomb survivors and Chernobyl liquidators → strong cross-validation of LNT dose-response at 0.5-4 Gy; heritable effects NOT confirmed despite doses much higher than Chernobyl public (confirms birth defects not increased by radiation at these levels)","Kossenko 1997 Radiat Environ Biophys; Vyushkova 2011; birth_defects_general_health_REAL.csv; liquidator_health_outcomes_REAL.csv"
"Chernobyl_1982_Unit1_meltdown","1982","partial_fuel_damage","Chernobyl_Unit_1_Ukraine","Partial fuel meltdown at Chernobyl Unit 1 September 9 1982 (declassified from KGB archives 2016); cause: operator error during maintenance; partial fuel damage; radioactive release within building; no public announcement; plant restarted; workers decontaminated secretly; documented by Wilson Center 2016 from declassified KGB documents; dose to workers: unknown; released activity: unknown but contained within building","1982 Unit 1 accident: PRECURSOR to 1986 Unit 4 accident; demonstrates: Soviet nuclear safety culture knew about accidents but classified them; operators in 1986 had no knowledge of 1982 accident; INSAG-7 acknowledged safety culture suppression; Legasov mentioned similar incidents in memoirs; Ukraine crop contamination 1982 not linked publicly until 2016 declassification; illustrates how secrecy culture prevented safety improvements","ukraine_crop_contamination_REAL.csv; Wilson Center 2016; nuclear_safety_culture_REAL.csv; chernobyl_accident_chronology_REAL.csv"
"Three_Mile_Island","1979","Cs137_approximately_zero_released","Middletown_Pennsylvania_USA","TMI-2 accident March 28 1979: partial core melt (50% of core); hydrogen bubble concern; loss of coolant; containment functioned → Cs-137 release essentially zero (WHO monitoring showed ~0.001 PBq released); ARS cases: none; public dose: average 1.4 mrem (0.014 mSv) to population within 80km; INES-5; plant destroyed; reactor building sealed","TMI vs Chernobyl: TMI demonstrated: (1) PWR negative void coefficient → even severe accident did not cause criticality; (2) containment worked → zero Cs-137 release despite 50% core melt; this is the fundamental safety physics difference between RBMK (no containment; positive void) and PWR (containment; negative void); ZNPP VVER = closer to PWR design = TMI scenario (cooling failure → partial melt but contained) more likely than Chernobyl scenario","reactor_types_physics_comparison_REAL.csv; nuclear_accident_history_comparison_REAL.csv; Kemeny Commission 1979; zaporizhzhia_npp_2022_2025_REAL.csv"
"Ru106_European_2017","2017-09_to_10","250_TBq_Ru106","Europe_wide_Russia_suspected","Ruthenium-106 detected across Europe September-October 2017: 250 TBq released; no accident announced; IRSN France, BfS Germany detected simultaneously; source identified as Mayak area Russia (CTBTO/IRSN analysis); Russia denied initially; 2019: partial acknowledgment (ACF France); Ru-106 half-life 373.6 days; pure beta emitter; no public dose concern (doses negligible); no regulatory limit exceeded","Ru-106 2017 event significance: (1) demonstrated Chernobyl-level monitoring capability now operational (2500+ EURDEP stations detected simultaneously); (2) Russia denied for 2 years despite incontrovertible evidence; (3) Ru-106 produced in reprocessing of spent nuclear fuel (from nuclear fuel refabrication); (4) showed continued civilian nuclear accidents not publicly disclosed post-Chernobyl (pattern: Soviet secrecy → Russian Federation secrecy); (5) CTBTO IMS proved value","ru106_2017_europe_REAL.csv; IRSN 2019; BfS Germany 2017; chernobyl_nuclear_terrorism_risk_REAL.csv"
