"date_time_UTC","actor_or_country","action_or_event","protective_measure","context","source"
"1986-04-26_01:23_local","Chernobyl_NPP_Unit_4","Accident_occurs; AZ-5_SCRAM_pressed","N/A","Reactor destroyed by prompt criticality and steam explosion; 2 workers killed immediately (Valery Khodemchuk buried under debris; Vladimir Shashenok died hours later from burns); plant staff begin emergency response; fire brigades called; no external notification yet","INSAG-7; chernobyl_accident_chronology_REAL.csv"
"1986-04-26_01:30_local","NPP_shift_chief","Notified_plant_director_Viktor_Bryukhanov","none_initially","Plant director notified; initial reports underestimated severity; dosimeters showed radiation but higher-range instruments broken; some early measurements showing 1000+ R/hr dismissed as instrument malfunction; Bryukhanov initially reported ~3.6 R/hr (actually 15000+ R/hr); Soviet notification chain begins","INSAG-7; Shcherbak 1989 Chernobyl account"
"1986-04-26_04:00_local","Kiev_regional_party_and_Soviet_authorities","Accident_severity_becoming_clear","internal_Soviet_measures_begin","Government Commission established; senior Soviet officials flying to Chernobyl; military and civil defense mobilized; evacuation of Pripyat discussed but delayed; secrecy reflex dominant in initial response","INSAG-7; Soviet documents declassified 1990s"
"1986-04-26_14:00_local","Soviet_government","Decision_to_evacuate_Pripyat_delayed_to_April_27","No public warning given April 26 despite high contamination in Pripyat","35 hours after accident: decision to evacuate made (evacuation not actual evacuation); April 26 was May Day preparation holiday weekend; Soviet leadership feared panic; children played outside April 26; residents unaware","INSAG-7; Legasov VP diaries 1987; OECD-NEA 1996"
"1986-04-27_11:00_local","Soviet_government_KGB_MVD","Evacuation_of_Pripyat_announced_by_loudspeaker","Mass evacuation: 49000 residents evacuated in ~3.5 hours","Announcement gave 2-3 hours notice; residents told 'temporary evacuation for 3 days' (most never returned); ~1200 buses and 200 other vehicles; evacuation completed by 17:00 local; 36-hour delay = children received substantial I-131 thyroid dose; KI not distributed to Pripyat residents","INSAG-7; UNSCEAR 2008; decontamination_countermeasures_REAL.csv"
"1986-04-28_09:00_local_Stockholm","Forsmark_NPP_Sweden_1100km_away","Portal_monitor_alarm_triggered_on_worker_boot","Sweden begins investigation assuming domestic source","Worker at Forsmark NPP (Stockholm area) triggered foot contamination alarm; initial assumption: leak at Forsmark; but all Swedish reactors normal; airborne particle monitoring detected Cs-137 Cs-134 I-131 Ru-106; Swedish authorities determine external source; first external detection 62 hours after accident","Devell L et al. 1986 Nature 321:192; atmospheric_transport_plume_REAL.csv"
"1986-04-28_14:00_Stockholm","Swedish_authorities","Confronted_Soviet_embassy_demanding_information","Sweden threatens to announce Soviet nuclear accident publicly","Sweden contacted Soviet embassy; Soviets initially denied any accident; under pressure (Sweden preparing official statement): Soviet authorities decided to make brief announcement; key diplomatic pressure forcing disclosure","Devell 1986 Nature; Swedish Radiation Safety Authority records; Barringer 1986 NYT"
"1986-04-28_21:00_Moscow_local","TASS_Soviet_news_agency","First_public_Soviet_announcement","TASS bulletin: accident at Chernobyl power plant; measures taken; investigation underway","2-sentence announcement: 'An accident has taken place at the Chernobyl power plant, and one of the reactors was damaged. Measures are being taken to eliminate the consequences of the accident. Those affected by the accident are being given assistance. A government commission has been set up.' Deliberately vague; 66 hours after accident","TASS April 28 1986; declassified Soviet documents; INSAG-7"
"1986-04-28_to_04-29","Finland_Denmark_Sweden_Norway","Elevated_radioactivity_detected","Precautionary advisories issued; food/produce monitoring begins","All Nordic countries detecting significant radioactivity; Sweden highest (within 1500km); monitoring stations show Cs-137 I-131 Cs-134 Ru-106; Nordic authorities begin coordinating; restrictions on outdoor activities in affected areas considered","Scandinavian national radiation protection authorities; European deposition monitoring records; 03_european_airborne_REAL.csv"
"1986-04-28_to_04-29","Poland","Iodine_tablets_(KI)_distributed","18_million_doses_KI_distributed_to_children_and_pregnant_women","Poland distributed potassium iodide to 18 million people (all children under 16 and pregnant women); based on rapid assessment that I-131 from Chernobyl plume posed significant thyroid risk; cost: essentially zero (KI is cheap); resulted in dramatically lower thyroid dose uptake in Polish population compared to USSR where no KI was distributed","Mettler FA 2007; decontamination_countermeasures_REAL.csv; Cardis 2006; IAEA 2006 Chernobyl Forum"
"1986-04-29","IAEA","Officially_notified_by_Soviet_Union","IAEA begins international coordination","IAEA formally notified April 29 (3 days after accident); per 1986 IAEA Convention on Early Notification of a Nuclear Accident (not yet ratified); IAEA Director Blix requested information; Soviet cooperation was slow initially; IAEA had no authority to demand more information under 1986 conventions","IAEA 1986 Early Notification Convention; Blix H IAEA Director 1986 statements"
"1986-04-30_to_05-01","West_Germany_Austria_Switzerland","Food_and_milk_restrictions_implemented","Infant_formula_restrictions; milk_monitoring; vegetable_bans in some areas","West Germany ordered: no fresh milk to children under 2; spinach and leafy vegetables removed; Germany's contamination was from May 1 second plume (first plume went north); Austria suspended use of fresh milk and vegetables; Switzerland issued similar restrictions; all based on gamma monitoring showing elevated I-131","German Federal Health Office; Austrian OEVS; European deposition monitoring; food_agricultural_contamination_REAL.csv"
