"parameter","value","units","context","chernobyl_relevance","notes","source"
"I131_chemical_forms_in_atmosphere","four_primary_forms","qualitative","I-131 released from reactor exists as: (1) molecular iodine I2; (2) hydrogen iodide HI; (3) organic iodides (methyl iodide CH3I; ethyl iodide C2H5I; methylene iodide CH2I2); (4) particle-associated iodine (adsorbed on aerosols)","Chemical speciation determines: atmospheric residence time; dry deposition velocity; respiratory absorption efficiency; and therefore actual thyroid dose received","Each form has very different environmental fate; the relative proportions change over time as I2 converts to organic forms via reaction with atmospheric hydrocarbons and OH•; underestimating organic iodide fraction → overestimating thyroid dose in far-field","Whitton 1993; NCRP Report 161 2009; Garland 1983 Atmos Environ; Chamberlain 1984"
"molecular_iodine_I2_fraction","30_to_50","percent_of_total_I131","Initial_release_immediately_post_accident","I2 (elemental/molecular iodine): 30-50% of total airborne I-131 immediately after Chernobyl release; most reactive form; highest deposition velocity and thyroid uptake; rapidly removed from air by: surface adsorption; reaction with NH3, NaHSO3; reaction with atmospheric dust particles","I2 dominates initial near-field thyroid dose because: (1) high deposition velocity on grass/vegetation (Vd = 10-50 mm/s); (2) transferred efficiently to cow milk (Fm=0.004 d/L for I2); (3) high respiratory tract absorption ~0.9-1.0; near-field I-131 was primarily I2","Garland 1983; NRPB 1993; Chamberlain 1984 Atmos Environ; dose_conversion_factors_REAL.csv"
"organic_iodide_fraction_increasing_with_distance","increasing_from_30_percent_to_70_percent_over_hundreds_km","percent_of_total_I131","Time_and_distance_dependent","Organic iodides (predominantly CH3I = methyl iodide): initially ~20-30% of I-131; fraction INCREASES with distance/time as I2 photolytically dissociates and reacts with atmospheric CH4/organic compounds; at 1000+ km: organic iodide may represent 50-70% of remaining I-131","Increasing organic iodide fraction with distance means: far-field populations received proportionally LOWER thyroid doses per unit of airborne I-131 than near-field populations; near-field Swedish/Finnish populations received a mix with more I2 = higher dose per Bq/m³","Whitton 1993 NRPB R-254; IAEA 2006; thyroid dose modeling literature"
"I2_dry_deposition_velocity","10_to_50","mm_per_second","Vd_on_vegetation_and_soil","Deposition velocity Vd(I2) = 10-50 mm/s on grass and vegetation (very fast); measured Vd for I2 onto short grass: ~15-20 mm/s; compared to Cs-137 aerosol Vd: ~0.5-2 mm/s (25-40x slower); explains why near-field vegetation I-131 contamination was much higher relative to Cs-137 than far-field contamination","High Vd means I2 is rapidly removed from air to surfaces; short atmospheric residence time of hours-to-days for I2 means most I2 deposits near source; this is why Swedish levels of I-131 relative to Cs-137 were lower than near-Chernobyl levels","Chamberlain 1984 Atmos Environ doi:10.1016/0004-6981(84)90256-9; Whitton 1993"
"CH3I_dry_deposition_velocity","0.01_to_0.1","mm_per_second","Vd_on_vegetation_and_soil","Deposition velocity Vd(CH3I) = 0.01-0.1 mm/s; 100-1000x lower than I2; consequently: (1) atmospheric residence time weeks; (2) travels much longer distances before depositing; (3) lower grassland/milk I-131 per unit airborne Bq; (4) lower thyroid dose per unit of airborne Bq","For thyroid dose calculation: must know fraction of I-131 as I2 vs CH3I; error in this partition = factor 10-100 error in thyroid dose from inhalation; UNSCEAR 2008 uses typical environmental partition assumptions based on Chernobyl measurements","Garland 1983; Chamberlain 1984; UNSCEAR 2008 Annex D dosimetry"
"particle_associated_iodine","15_to_30_percent","percent_of_I131","Released_from_Chernobyl","Particle-associated I-131 (adsorbed onto aerosol particles): ~15-30% of total release; deposition velocity similar to aerosol particles (Vd ~1-5 mm/s); thyroid absorption from inhalation ~0.4-0.6 (lower than I2 because particle filtration in upper respiratory tract)","Particle-associated I-131 deposits with Cs-137 aerosols; provides similar spatial distribution; intermediate thyroid dose per unit airborne activity; particle sizes 0.5-3 µm (respirable range; submicron aerosols most efficient lung deposition)","UNSCEAR 2008; Devell 1986 Nature; atmospheric_transport_plume_REAL.csv"
"I131_milk_transfer_factor","0.004","d_per_liter","I2_or_inorganic_iodide_in_cow_milk","Fm for I-131 transfer cow grass→milk = 0.004 d/L (Bq/L milk per Bq/day ingested by cow); derived from: cow consumes contaminated grass; I-131 absorbed in rumen; transferred to blood; secreted into milk; 8-12 hour delay from ingestion to milk peak","This Fm value is critical for thyroid dose via milk pathway: milk contamination = air concentration × deposition velocity × grazing time × transfer factor; milk ban effectiveness depends on how quickly authorities acted post-deposition; Chernobyl: milk ban came too late in many areas (days after contamination)","soil_plant_transfer_factors_REAL.csv; IAEA TRS 472; decontamination_countermeasures_REAL.csv"
"I131_sheep_milk_transfer","0.29","d_per_liter","Sheep_vs_cow_comparison","Fm for I-131 in sheep milk = 0.29 d/L; 70x HIGHER than cow milk (0.004 d/L); because sheep are smaller, more metabolically active per unit body mass; sheep milk consumed directly by humans in Southern Europe (Greece Bulgaria Romania); partially explains why thyroid doses in southern European populations were higher per unit soil deposition than northern European","soil_plant_transfer_factors_REAL.csv already notes this factor; Greek and Bulgarian children who consumed sheep cheese/yogurt may have received higher thyroid doses than estimated from deposition alone","soil_plant_transfer_factors_REAL.csv; IAEA TRS 472 2010; Nisbet 2000 PMID:10688450"
"I131_respiratory_uptake_fraction","0.9_to_1.0_for_I2; 0.2_for_CH3I; 0.4_to_0.6_for_particles","fraction_retained_in_body","Inhalation_pathway","Fraction of inhaled I-131 absorbed into blood by chemical form: I2 = 0.9-1.0 (nearly complete absorption via upper respiratory tract mucosa); CH3I = 0.2 (poorly absorbed); particle-associated = 0.4-0.6 (size-dependent alveolar deposition then clearance to gut); ICRP 30 used f1=1.0 for dietary I-131","This determines inhalation dose: at same airborne Bq/m³, CH3I causes 5x less thyroid dose than I2; inaccurate chemical speciation → inaccurate dose reconstruction; Soviet monitoring in 1986 did not distinguish I-131 species → additional uncertainty in retrospective thyroid dose reconstruction","dose_conversion_factors_REAL.csv; ICRP 30 1979; Chamberlain 1984; UNSCEAR 2008 dosimetry chapter"
"I129_long_lived_iodine","15.7_million_years","half_life","Permanent_environmental_marker","I-129 (t1/2=15.7×10⁶ yr) released from Chernobyl: ~0.18 TBq total (vs I-131 1760 PBq); essentially no radiological significance (low specific activity); but I-129/I-127 ratio used as ultra-sensitive tracer of nuclear fuel processing; detectable in Baltic and North Sea as tracer of reprocessing releases (UK Sellafield; La Hague France) which dominate over Chernobyl I-129 contribution","I-129 stable isotope tracer for marine chemistry; Chernobyl contribution negligible vs fuel reprocessing I-129; mentioned here as context for iodine environmental chemistry completeness","fission_product_yields_REAL.csv; IAEA Marine radioactivity atlas"
