year,t_years_post,Cs-137_PBq,Sr-90_PBq,Cs-134_PBq,Pu-238_PBq,Pu-239_PBq,Pu-240_PBq,Pu-241_PBq,Am-241_PBq,Kr-85_PBq,Ru-106_PBq,Ba-140_PBq,I-131_PBq,Ce-144_PBq,Zr-95_PBq,Ru-103_PBq,Sb-125_PBq,Am241_total_PBq,Cs137_plus_Sr90_PBq,notes
1986,0,85.0,10.0,54.0,0.035,0.03,0.042,2.6,0.007,33.0,73.0,240.0,1760.0,116.0,196.0,168.0,10.0,0.007,95.0,Accident_year; all_short-lived_isotopes_present
1987,1,83.06941142,9.76203378,38.60259694,0.03472459,0.02999914,0.04199556,2.47689484,0.00698878,30.94120153,36.99946236,6e-07,0.0,47.75471455,3.73322932,0.27415395,7.77913236,0.01105577,92.831445,
1988,2,81.18267193,9.52973034,27.59556463,0.03445134,0.02999828,0.04199113,2.35961848,0.00697758,29.01084703,18.75287966,0.0,0.0,19.65959277,0.07110715,0.00044738,6.05149003,0.01491247,90.712402,
1989,3,79.33878559,9.30295495,19.72704553,0.03418025,0.02999741,0.04198669,2.24789493,0.0069664,27.20092316,9.5047461,0.0,0.0,8.09343311,0.00135438,7.3e-07,4.70753419,0.01857955,88.641741,
1990,4,77.53677909,9.08157604,14.1021331,0.03391129,0.02999655,0.04198226,2.14146129,0.00695524,25.50391653,4.81740405,0.0,0.0,3.331893,2.58e-05,0.0,3.66205316,0.02206599,86.618355,Cs-134 at 12% original; I-131/short-lived fully decayed
1991,5,75.77570121,8.8654652,10.08109185,0.03364445,0.02999569,0.04197782,2.04006708,0.00694409,23.91278245,2.44166246,0.0,0.0,1.37166896,4.9e-07,0.0,2.84875962,0.02538036,84.641166,
1992,6,74.05462235,8.65449708,7.20659862,0.0333797,0.02999483,0.04197339,1.9434737,0.00693296,22.42091579,1.23753696,0.0,0.0,0.56468672,1e-08,0.0,2.21608782,0.02853082,82.709119,
1993,7,72.37263402,8.44854928,5.15173003,0.03311704,0.02999396,0.04196895,1.85145384,0.00692185,21.02212345,0.62723565,0.0,0.0,0.23246942,0.0,0.0,1.72392404,0.03152513,80.821183,
1994,8,70.72884837,8.24750234,3.6827807,0.03285645,0.0299931,0.04196452,1.76379094,0.00691076,19.71059873,0.31790934,0.0,0.0,0.09570268,0.0,0.0,1.34106333,0.0343707,78.976351,
1995,9,69.1223977,8.05123964,2.63268332,0.0325979,0.02999224,0.04196008,1.68027872,0.00689969,18.4808972,0.16112979,0.0,0.0,0.03939874,0.0,0.0,1.04323092,0.03707459,77.173637,Cs-134 at 2% original; Cs-137/Sr-90 dominant long-term contaminants
1996,10,67.55243404,7.85964733,1.88200765,0.03234139,0.02999138,0.04195565,1.60072065,0.00688863,17.32791408,0.08166734,0.0,0.0,0.01621962,0.0,0.0,0.81154314,0.03964351,75.412081,
1997,11,66.01812866,7.67261427,1.34537746,0.0320869,0.02999051,0.04195122,1.52492951,0.00687759,16.24686308,0.04139243,0.0,0.0,0.00667727,0.0,0.0,0.63131015,0.04208387,73.690743,
1998,12,64.51867166,7.49003196,0.96176044,0.03183441,0.02998965,0.04194679,1.45272693,0.00686657,15.23325651,0.02097942,0.0,0.0,0.00274889,0.0,0.0,0.49110452,0.04440177,72.008704,
1999,13,63.05327153,7.3117945,0.68752686,0.03158391,0.02998879,0.04194236,1.38394302,0.00685557,14.28288665,0.01063325,0.0,0.0,0.00113166,0.0,0.0,0.38203671,0.04660301,70.365066,
2000,14,61.62115476,7.13779849,0.49148745,0.03133538,0.02998793,0.04193793,1.31841589,0.00684458,13.39180831,0.00538938,0.0,0.0,0.00046588,0.0,0.0,0.29719141,0.04869312,68.758953,Cs-134 negligible; Pu-241 at 42% original; Am-241 growing
2001,15,60.22156538,6.96794299,0.35134615,0.03108881,0.02998707,0.0419335,1.25599135,0.00683361,12.55632242,0.00273156,0.0,0.0,0.00019179,0.0,0.0,0.23118913,0.05067739,67.189508,
2002,16,58.8537646,6.80212948,0.25116433,0.03084417,0.0299862,0.04192907,1.1965225,0.00682266,11.77296068,0.00138447,0.0,0.0,7.896e-05,0.0,0.0,0.17984509,0.05256084,65.655894,
2003,17,57.51703042,6.64026177,0.17954806,0.03060146,0.02998534,0.04192464,1.13986938,0.00681173,11.03847118,0.00070171,0.0,0.0,3.25e-05,0.0,0.0,0.13990387,0.05434824,64.157292,
2004,18,56.21065722,6.48224597,0.12835225,0.03036066,0.02998448,0.04192021,1.08589869,0.00680081,10.34980489,0.00035565,0.0,0.0,1.338e-05,0.0,0.0,0.10883307,0.05604416,62.692903,
2005,19,54.93395542,6.32799041,0.09175426,0.03012176,0.02998362,0.04191578,1.03448341,0.00678992,9.704103,0.00018026,0.0,0.0,5.51e-06,0.0,0.0,0.08466269,0.05765294,61.261946,
2006,20,53.68625111,6.17740561,0.06559172,0.02988473,0.02998276,0.04191135,0.98550254,0.00677904,9.09868504,9.136e-05,0.0,0.0,2.27e-06,0.0,0.0,0.06586023,0.05917872,59.863657,
2007,21,52.46688566,6.03040422,0.04688909,0.02964957,0.02998189,0.04190692,0.93884083,0.00676817,8.53103781,4.631e-05,0.0,0.0,9.3e-07,0.0,0.0,0.05123354,0.06062544,58.49729,
2008,22,51.27521543,5.88690097,0.03351927,0.02941627,0.02998103,0.0419025,0.89438846,0.00675733,7.99880485,2.347e-05,0.0,0.0,3.8e-07,0.0,0.0,0.03985525,0.06199685,57.162116,
2009,23,50.11061137,5.74681261,0.02396168,0.02918479,0.02998017,0.04189807,0.85204083,0.0067465,7.49977675,1.19e-05,0.0,0.0,1.6e-07,0.0,0.0,0.03100393,0.06329652,55.857424,
2010,24,48.97245873,5.61005788,0.01712932,0.02895514,0.02997931,0.04189364,0.81169829,0.00673569,7.03188194,6.03e-06,0.0,0.0,7e-08,0.0,0.0,0.02411837,0.06452787,54.582517,25yr; Cs-137=45%; Sr-90=47%; Pu-241=17%; Am-241 at 7.9x initial
