outcome,cohort,study_period,n_cases,n_controls_or_cohort_size,ERR_per_Gy,ERR_90CI_low,ERR_90CI_high,RR_at_1Gy,RR_90CI_low,RR_90CI_high,notes,source
all_hematological_malignancies,Belarus_Russia_Baltic_liquidators,1990-2000,70,287_controls,6.0,0.0_(-0.02),23.5,"ERR/100mGy=0.60 → ERR/Gy=6.0","-","-","Case-control nested in ~146000 liquidators; 78% doses <50 mGy; median dose 13 mGy overall",PMC2904977 Romanenko et al. 2008
leukemia_all,Belarus_Russia_Baltic_liquidators,1990-2000,40,165_controls,4.8,-,"33.1","ERR/100mGy=0.48 → ERR/Gy=4.8; RR at 100mGy=1.20",0.76,1.87,"All leukemia including CLL",PMC2904977 Romanenko et al. 2008
leukemia_excl_CLL,Belarus_Russia_Baltic_liquidators,1990-2000,19,83_controls,5.0,-3.8,57.0,"ERR/100mGy=0.50 → ERR/Gy=5.0","-","-","CLL excluded (contested radiation association)",PMC2904977 Romanenko et al. 2008
CLL_leukemia,Belarus_Russia_Baltic_liquidators,1990-2000,21,82_controls,4.7,"-",76.1,,0.68,1.89,"CLL radiation association controversial; high ERR CI wide",PMC2904977 Romanenko et al. 2008
non_Hodgkin_lymphoma,Belarus_Russia_Baltic_liquidators,1990-2000,20,80_controls,28.1,0.9,243,,0.82,2.61,"NHL ERR/100mGy=2.81; widest CI; small case numbers",PMC2904977 Romanenko et al. 2008
acute_leukemia,Belarus_Russia_Baltic_liquidators,1990-2000,6,25_controls,62.7,-1.1,">100","ERR/100mGy=6.27 → ERR/Gy=62.7; RR at 100mGy=8.31",1.17,121.6,"Only 6 acute leukemia cases; very wide CI; result not stable",PMC2904977 Romanenko et al. 2008
all_hematological_high_dose,Belarus_Russia_Baltic,1990-2000,high_dose_group,controls_at_200+mGy,"OR=3.71","1.20","11.5","Categorical analysis: OR=3.71 for doses ≥200 mGy vs reference","-","-","Dose ≥200 mGy vs <200 mGy; 14% of cohort had ≥100 mGy",PMC2904977 Romanenko et al. 2008
leukemia_ERR_Ukrainian_study,Ukraine_liquidator_cohort,1986-2014,137_leukemia_cases,cohort_study,1.26,0.03,3.58,"Significant linear dose response ERR/Gy=1.26 (95% CI)",0.03,3.58,"26-year follow-up; 1986-1997 period ERR/Gy=4.17 (90%CI: 0.18, 13.24); 1998-2014 no significant excess",DOAJ doi:10.1111/j.1349-7006.2009.01360 / Romanenko 2012
leukemia_ERR_2012_study,All_three_countries,2003-2012,,,6.7,0.8,23.5,"ERR per Gy = 6.7 (90% CI: 0.8, 23.5) for leukemia excl CLL","-","-","Environmental Health Perspectives 2013; significant finding",PMC3960961 / EHP doi:10.1289/ehp.1204996
leukemia_ERR_1986_1997_only,Ukraine_liquidators,1986-1997,cases,cohort,4.17,0.18,13.24,"Statistically significant p<0.05 in early period; excess diminished after 1997","-","-","Early period (graphite fire/heavy exposure) shows clearest signal",DOAJ doi
