"effect_category","specific_effect","metric_or_finding","value","units_or_confidence_interval","cohort_or_study_size","dose_range_or_mean","comparison_group","significance","source"
"cataracts","posterior_subcapsular_cataract_PSC","excess_relative_risk_per_Gy","1.0","per_Gy (95%CI 0.4-1.8)","8607_Ukrainian_liquidators","range_3_to_1310_mGy_mean_107_mGy","age-sex-matched_Ukrainian_males","p<0.05_dose-response_significant","Worgul BV et al. Radiat Res 2007;167(2):233-43 PMID:17267613 doi:10.1667/RR0322.1"
"cataracts","lens_opacity_prevalence_any_type","prevalence_in_liquidators","35_percent","percent_of_examined_liquidators","subset_2000_plus_workers_with_eye_exams","mean_~107_mGy_range_to_>500_mGy","Ukrainian_general_male_population_~15_percent_at_same_age","significantly_elevated","Worgul 2007; Junk AK 2004 Arch Ophthalmol PMID:15534132"
"cataracts","ICRP_deterministic_threshold_revision","threshold_revised_from","2000_down_to_500","mGy_absorbed_dose_to_lens","Based_on_Chernobyl_plus_interventional_radiology_worker_studies","500_mGy_new_deterministic_threshold_any_lens_opacity","historical_threshold_ICRP_60_1991_was_2000_mGy","strong_epidemiological_basis","ICRP Publication 118 2012 doi:10.1016/j.icrp.2011.10.001; Worgul 2007; Shore 2010 Radiat Res"
"cataracts","occupational_lens_dose_limit_revision","annual_limit_reduced_from","150_down_to_20","mSv_per_year_averaged_over_5yr","ICRP_recommendation_adopted_by_EU_BSS_2013","applies_to_all_radiation_workers","pre-2012_limit_was_150_mSv/yr_EU_Euratom_1996","regulatory_change_driven_by_Chernobyl_evidence","ICRP 118 2012; EU BSS Directive 2013/59/Euratom"
"cardiovascular_disease","circulatory_disease_all_ICD_I00_I99","excess_relative_risk_per_Gy","0.47","per_Gy (95%CI 0.31-0.63)","53772_Russian_Chernobyl_liquidators","mean_107_mGy_range_1_to_>1000_mGy","Russian_general_male_population_by_age_period","p<0.001_highly_significant","Ivanov VK et al. Environ Health 2019;18(1) doi:10.1186/s12940-019-0441-5 PMID:30780859"
"cardiovascular_disease","ischemic_heart_disease_IHD_ICD_I20_I25","excess_relative_risk_per_Gy","0.41","per_Gy (95%CI 0.21-0.61)","53772_Russian_liquidators","same_as_above","same_as_above","p<0.001","Ivanov VK et al. 2019; also consistent with Zablotska LB 2021 Environ Int doi:10.1016/j.envint.2021.106777"
"cardiovascular_disease","comparison_to_atomic_bomb_survivors","ERR_per_Gy_Hiroshima_Nagasaki","0.14_to_0.46","per_Gy (varies by endpoint and follow-up)","~86500_A-bomb_survivors","0_to_4_Gy_range","Japanese_general_population","significant_dose-response","Shimizu 2010 Radiat Res; compared to Ivanov 2019; Chernobyl ERR numerically higher possibly from fractionated doses over years","
"cardiovascular_disease","mechanism_hypothesis","radiation_induced_atherosclerosis","qualitative","Proposed mechanism: ionizing radiation causes endothelial dysfunction; oxidative stress; accelerated atherosclerosis; inflammatory pathway activation; consistent with dose-response for ischemic disease; not confounded by smoking in dose-response analysis","literature_review","threshold_debated_possibly_no_threshold","mechanistic_radiobiology","research_consensus","Schultz-Hector S 2006 Int J Radiat Biol; Little MP 2012 Radiat Environ Biophys"
"chronic_radiation_syndrome","CRS_Soviet_clinical_diagnosis","confirmed_cases_in_NRC_register","155","cases_as_of_1992","Soviet_and_Russian_liquidator_register",">300_mGy_to_>1500_mGy_typical","no_formal_comparison_group","clinical_syndrome_not_standardized","Bebeshko VG 1991 In: Chernobyl Papers; Akleyev AV Mayak Workers Chronic Radiation Sickness 2012; UNSCEAR 2008 Annex D para D238"
"chronic_radiation_syndrome","CRS_clinical_features","multi-system_syndrome_description","qualitative","Features: fatigue; cognitive dysfunction; headaches; bone marrow depression (leucopenia thrombocytopenia); immune dysfunction; cardiovascular changes; dose threshold ~300 mGy; recognized in former Soviet clinical literature but not Western ICD classification; WHO 2006 regards evidence as suggestive not conclusive","clinical_case_series","300_to_1500_mGy_range","N/A","clinical_observation_not_RCT","Bebeshko 1991; Loganovsky 2008 PMID:18608569; WHO Chernobyl Forum 2006"
"leukemia","all_leukemia_except_CLL_ERR_per_Gy","1.26","per_Gy (see liquidator_health_outcomes_REAL.csv)","cross-reference","~200000_liquidators","mean_117_mGy","general_population_age-sex_rates","p<0.05","liquidator_health_outcomes_REAL.csv; Cardis E 1995 Radiat Res; UNSCEAR 2008 Table D14"
