"parameter","location_or_context","year","value_low","value_high","value_typical","units","notes","source"
"dose_rate_clean_areas","Clean areas within CEZ","2021-2024","0.06","","0.06","µSv/h","Equivalent to typical European city background; lowest contamination areas","BfS 2022; Beresford 2022"
"dose_rate_general_CEZ","General CEZ touring areas","2021-2024","0.1","1","","µSv/h","Typical accessible areas; tourist routes","BfS 2022; multiple monitoring"
"dose_rate_Red_Forest","Red Forest core","2016","12.3","237","101","µSv/h","Highest accessible contamination; Beresford 2022 actual measured ambient dose rates at 24 Red Forest plots","Beresford et al. 2022 PLOS ONE doi:10.1371/journal.pone.0263600"
"dose_rate_Deciduous_habitat","Deciduous forest CEZ","2016","0.41","78.0","22.3","µSv/h","20 deciduous plot measurements","Beresford et al. 2022 PLOS ONE"
"dose_rate_Coniferous_habitat","Coniferous habitat CEZ","2016","0.5","0.65","0.609","µSv/h","9 coniferous plot measurements; lowest habitat type","Beresford et al. 2022 PLOS ONE"
"dose_rate_hotspot_uncleared","Uncleared hotspots CEZ","2021-2024","","350","","µSv/h","Inaccessible hotspot maximum; >1 year background per hour at max hotspot","BfS 2022; ScienceInsights"
"Cs137_soil_BfS_CEZ_max","CEZ near reactor","2021","","50000","","kBq_per_m2","BfS September 2021 helicopter/ground remapping maximum Cs-137; ~200 ground measurement points; ~100 km2 surveyed","BfS 2022 Press Release"
"Cs137_soil_BfS_CEZ_min","Clean areas CEZ","2021","","<MDL","","kBq_per_m2","Below detection limit in cleanest areas; strong spatial heterogeneity","BfS 2022 Press Release"
"Cs137_soil_Bavarian_Forest_comparison","Bavaria Germany","2016","24","","","kBq_per_m2","BfS 2016 measurement using same method; shows CEZ 30km zone is 2000x more contaminated than Bavarian Forest hotspot","BfS 2022"
"Cs137_soil_Red_Forest","Red Forest CEZ","2016","29300","1030000","412000","Bq_per_kg_DM","53 Beresford plots; Red Forest mean 412 kBq/kg = 412000 Bq/kg dry matter","Beresford et al. 2022 PLOS ONE"
"Sr90_soil_Red_Forest","Red Forest CEZ","2016","11500","866000","168000","Bq_per_kg_DM","","Beresford et al. 2022 PLOS ONE"
"Am241_soil_Red_Forest","Red Forest CEZ","2016","1230","32400","12000","Bq_per_kg_DM","Am-241 ingrowth from Pu-241 (t1/2=14.4yr); still increasing as of 2016-2024","Beresford et al. 2022 PLOS ONE"
"Am241_ingrowth_30km_zone","30km zone excl. highest areas","2016","","","40000","Bq_per_m2","~40 kBq/m2 Am-241 ingrowth 30yr after accident in areas where Pu-239/240 > 3.7 kBq/m2; will peak ~2058; will then exceed Pu by factor 2","INIS IAEA records; search results"
"Am241_peak_forecast","30km zone","~2058","","","~2x_current","factor_vs_Pu","By 2058 Am-241 activity will exceed all Pu isotopes combined by ~2x; becoming dominant actinide concern","INIS IAEA; Beresford 2022"
"Pu239_soil_Red_Forest","Red Forest CEZ","2016","173","17900","3520","Bq_per_kg_DM","t1/2=24110yr; permanent contamination; Red Forest 368x coniferous","Beresford et al. 2022 PLOS ONE"
"neutron_flux_room305_2","Room 305/2 inside Shelter","2016-2021","","","doubled_2016_to_2021","factor","Neutron counts nearly doubled over 4yr; fission of U in drying FCM (fuel-containing materials); driving mechanism: NSC installation 2016 excluded rainwater -> FCM drying -> better neutron moderation","ISPNPP Kyiv via Science AAAS 2021"
"neutron_flux_room305_2_2022","Room 305/2 inside Shelter","2022","","","","stable","Measured values had not increased further as of April 2022 per Ukrainian scientists; still below safety limits","GRS gGmbH 2022 anniversary report"
"shelter_radioactive_waste","Shelter Unit 4","post-2016","","","7e+17","Bq","Total activity inside NSC/shelter: >7e17 Bq = 700 PBq; includes corium FCM and contaminated structural material","SNRIU via NEA/CRPPH/R(2024)3"
"shelter_corium_mass","Shelter Unit 4","post-1986","170","220","","tonnes","Estimated corium mass (fuel-containing materials + lava flows); 95% of original core remains; 170-220 tonnes estimates from different sources","WNA; National Geographic; ISPNPP"
"NSC_design_status","New Safe Confinement","2016-2116","","","100","years_design","NSC installed November 2016; 108m high 162m wide 257m long; 100yr design life; allows remote dismantling of original sarcophagus","Bechtel; NEA 2024"
"CEZ_monitoring_network","CEZ automatic network","2024","","","39","stations","39 automatic radiation monitoring points operating as of 2024; SNRIU/SSE Ecocentre/Ukrainian Hydrometeorological Centre/ChNPP","SNRIU via NEA/CRPPH/R(2024)3"
