"outcome_category","population","n_persons","dose_mean_mSv","dose_range_mSv","period","finding","source"
"exposure_context","liquidators_total","600000","100","0-500","1986-1990","Reference group for dose-response neuropsychiatric analyses","PMC8629042; UNSCEAR 2008"
"exposure_context","evacuees","135000","33","0.1-380","1986","Evacuated from 30km zone; includes Pripyat residents; psychological trauma from displacement","PMC8629042; UNSCEAR 2008"
"exposure_context","strict_control_zone_residents","50000","50","10-200","1986-1991","Populations in areas with >555 kBq/m2 Cs-137; mandatory resettlement eventually","PMC8629042; UNSCEAR 2008"
"exposure_context","contaminated_area_residents_5M","5000000","15","0-50","1986-2005","Broader contaminated area residents; lower doses but largest population","PMC8629042; UNSCEAR 2008"
"neuropsychiatric_dose_response","liquidators","","",">300 mSv","1986-1990","Psychiatric disorders appeared almost immediately at doses >300 mSv; organic brain syndrome; cognitive impairment","PMC8629042; PMC9003131"
"neuropsychiatric_dose_response","liquidators","","","50-300 mSv","1986-1990","Psychiatric disorders appeared ~2 years post-exposure at doses 50-300 mSv; subclinical cognitive changes; depression","PMC8629042"
"neuropsychiatric_dose_response","contaminated_area_residents","","","<50 mSv","1986-2000","Psychiatric disorders appeared ~10 years post-exposure at <50 mSv; primarily anxiety; stress-related disorders","PMC8629042"
"psychiatric_morbidity","all_affected_populations","","","varied","1986-1987","Excess psychiatric disorder rate in first post-accident year: ~20% above baseline; fear radiation anxiety displacement","PMC8629042; WHO 2006"
"cardiovascular","liquidators_high_dose","","",">150 mSv","1986-2010","Elevated cerebrovascular disease risk at doses >150 mSv; elevated stroke mortality","PMC8629042"
"depression","ARS_survivors","190","","100-7100","1986-2015","Depression more prevalent in confirmed ARS cases vs non-confirmed; statistical significance p=0.006; long-term psychiatric sequela of acute radiation syndrome","PMC8629042; PMC6770927"
"retinal_angiopathy","liquidators","","","varied","1990-2010","Retinal angiopathy relative risk: 2.6-2.93 (dose-dependent); radiation effect on small vessels; correlates with cardiovascular endpoints","PMC8629042"
"cognitive_impairment","liquidators_and_evacuees","","","varied","1990-2020","Cognitive impairment and early dementia: dose-dependent; confounded by stress, alcohol, economic disruption post-Soviet; elevated vs general population","PMC8629042; PMC9003131"
"mental_health_primary_burden","general_affected_population","5000000","15","0-200","1986-2006","Chernobyl Forum 2005: mental health is the greatest public health problem caused by Chernobyl; far larger burden than radiation-induced cancer; fear of radiation, displacement, loss of livelihood are primary drivers","Chernobyl Forum 2005; WHO 2006; PMC8629042"
"suicide","evacuated_communities","","","low","1990s","Elevated suicide rates in evacuated communities (especially Belarus and Ukraine); related to social disruption, unemployment, hopelessness; not directly radiation-caused","WHO 2006; PMC8629042"
"health_determinism","affected_populations_general","","","<50 mSv","1986-2022","Major determinants of poor health in affected populations: stress/anxiety, lifestyle (alcohol tobacco), poverty, poor healthcare access; radiation dose at typical population levels is a minor determinant relative to socioeconomic factors","WHO 2006; Chernobyl Forum 2005; PMC8629042 systematic review"
"comparative_burden","Europe_500M","500000000","0.3","0.001-10","1986-2056","LNT projected ~6600 cancer deaths across Europe over 70yr from Chernobyl vs ~700 million expected cancer deaths in same population over same period; radiation contribution <0.01% of total cancer burden","UNSCEAR 2008; Chernobyl Forum 2005"
"dose_limits_context","liquidators_1986_1987","226000","170","0-500+","1986-1987","1986 official dose limit for liquidators was 350 mSv; many exceeded this; limit applied but enforcement poor; 1987 limit reduced to 250 mSv after controversy","UNSCEAR 2008; INSAG-7; Chernobyl Forum 2005"
"economic","Ukraine_national","","","N/A","1991-2026","Ukraine allocates 5-7% of annual government budget for Chernobyl disaster recovery and consequences; total economic losses 1986-2015 estimated >700 billion USD (official estimate)","IAEA; Chernobyl News 2026; multiple Ukrainian government sources"
