"accident","location","date","INES_level","reactor_or_facility_type","Cs137_released_PBq","I131_released_PBq","total_activity_released_key_isotopes","deaths_from_radiation","evacuation_persons","key_cause","Chernobyl_comparison_context","source"
"SL-1","Idaho_USA","1961-01-03","INES_4","Experimental_boiling_water_reactor_3_MWt","negligible","negligible","~3.7e13_Bq_total_primarily_I131_and_Cs137_local","3_immediate_(2_from_explosion_1_from_steam/debris)","small_on-site_area_only","Operator_manually_withdrew_central_control_rod_to_prompt_criticality_(rod_ejection);_steam_explosion;_1_rod_ejection_~500_in_worth","First US nuclear reactor fatalities; small experimental reactor; no public evacuation needed; Chernobyl ~100x more radioactive release; SL-1 demonstrated rod-ejection accident scenario that informed US reactor safety criteria","AEC 1962 accident report; NEA Nuclear Safety Technology; Walker 2004 Three Mile Island"
"Windscale_Fire","Cumberland_UK","1957-10-10","INES_5","Air-cooled_graphite_pile_Pu_production_reactor","0.022","0.74","~1e15_Bq_total_primarily_I131_Te132_Cs137_Po210","estimated_200_to_240_excess_cancers_UK_population_no_immediate_deaths","local_farm_milk_ban_only","Annealing_of_Wigner_energy_in_graphite_overheated_and_ignited_uranium_fuel_uranium_fire_in_pile","First major nuclear accident in UK; Pu production reactor for UK weapons program; I-131 contamination of milk in surrounding area; milk ban 500km2; Cs-137 released 22 TBq = 0.026% of Chernobyl; Windscale later renamed Sellafield; fire extinguished by flooding with water (risky approach that worked)","BNFL; Clarke RH 1989; Stather JW 1988 J Radiol Prot; INES scale assessment"
"Kyshtym_Mayak","Chelyabinsk_USSR","1957-09-29","INES_6","Military_nuclear_waste_storage_tank","1.0_to_2.0_estimated_Cs137_in_plume","not_applicable_no_I131","74_PBq_total_in_explosion_plume; primarily_Sr90_Cs137_Zr95_Ce144","documented_few_ARS_deaths_from_cleanup; cancer_excess_estimated_66_to_8000_depending_on_model","~10000_to_270000_eventually_resettled_or_evacuated","Explosion_of_improperly_stored_high-level_liquid_radioactive_waste_tank_from_cooling_system_failure; nitrate/acetate_evaporation_and_explosion","Second-worst nuclear accident before Chernobyl (INES-6); military plutonium production complex; 74 PBq total release comparable to Chernobyl's 85 PBq Cs-137 alone but different isotope mix (more short-lived); 'Techa river' contamination from earlier Mayak discharges; kept secret until 1989","Medvedev ZA 1979 Nuclear Disaster in the Urals; WHO 2006; Akleyev AV Mayak; INES scale retrospective"
"Three_Mile_Island_TMI","Pennsylvania_USA","1979-03-28","INES_5","PWR_Pressurized_Water_Reactor_880_MWe_Babcock_Wilcox","essentially_zero_Cs137_released_externally","essentially_zero","~370_TBq_Xe133_released_as_noble_gas; <0.001_TBq_I131_external","zero_confirmed_radiation_deaths; no_confirmed_dose_above_1_mSv_to_public","no_mandatory_evacuation; advisory_for_pregnant_women_and_children_within_5mi","Loss_of_feedwater_pump_→_ECCS_blocked_by_operator_→_partial_core_meltdown_(~50%_core_melted)_→_zirconium_water_reaction_H2_bubble; containment_held","TMI demonstrated: PWR containment systems can prevent major external release even with partial core melt; negative void coefficient = self-limiting; Cs-137 released to environment ~zero vs Chernobyl 85 PBq; public health consequences minimal; psychological impact massive","NRC TMI report NUREG/CR-1280 1979; Kemeny Commission 1979; Walker 2004 Three Mile Island book"
"Chernobyl","Pripyat_USSR","1986-04-26","INES_7","RBMK-1000_graphite-moderated_boiling_water_1000_MWe","85","1760","~12_EBq_total_primarily_noble_gases_I131_Cs137_Te132","28_direct_1986_deaths(ARS+burns); ~60_total_confirmed_causal_deaths_to_2005; 5000_thyroid_cancers_in_children; estimated_6600_to_25000_additional_cancer_deaths","116000_from_30km_zone; 200000_eventually_displaced","Positive_void_coefficient_+_graphite_tip_AZ5_effect_+_ORM=8_→_prompt_criticality_at_+7_to_+10_β; operator_violations_including_disabling_safety_systems","Reference accident for this dataset; see all other CSVs for detailed data","reactor_physics_REAL.csv; chernobyl_accident_chronology_REAL.csv; INSAG-7; UNSCEAR 2008"
"Goiania","Goiania_Brazil","1987-09-13","INES_5","Abandoned_medical_teletherapy_Cs137_source","0.000050 (50 GBq source total)","not_applicable","0.000050 PBq_Cs137_from_RADIAGRO_clinic_source","4_deaths_from_ARS; hundreds_with_skin_contamination","~100000_persons_screened; 249_confirmed_contaminated; 112000_monitored","Abandoned_Cs137_teletherapy_machine_dismantled_by_scrap_dealers;_CsCl_salt_given_to_family_members_who_rubbed_on_skin;_glowing_blue_Cherenkov_glow_attracted_children","Illustrates danger of orphan radioactive sources; Cs-137 was in soluble CsCl form = easy to ingest/contaminate skin; contrast with Chernobyl: Cs-137 in ceramic fuel matrix/aerosol; Goiania showed source accountability gaps; led to IAEA Code of Conduct on Radioactive Sources","IAEA 1988 Goiania Accident Report TECDOC-1000; PAHO; Petrov BI 1988"
"Tokaimura","Ibaraki_Japan","1999-09-30","INES_4","Fuel_reprocessing_JCO_conversion_facility","negligible","negligible","small_local_contamination_from_neutron_radiation","2_deaths_(Ouchi_and_Shinohara_ARS); 1_significant_injury; 439_people_>1_mSv","161_nearby_residents_sheltered_in_place; radius_350m_evacuated","Workers_poured_uranyl_nitrate_solution_into_precipitation_tank_by_hand_exceeding_critical_mass; sustained_criticality_for_~20_hours; unshielded_criticality_accident","Ouchi received ~16-20 Gy; kept alive 83 days; most severe documented ARS treatment case in nuclear history; demonstrated risks at fuel cycle facilities; criticality accident in processing (not reactor) setting; negligible environmental Cs-137 release; contrast with Chernobyl reactor","NRC; NEA; Yanagisawa 2001 Radiat Phys Chem; Ohkita 2000 Radiat Prot Dosimetry"
"Fukushima_Daiichi","Fukushima_Japan","2011-03-11","INES_7","3_BWR_Boiling_Water_Reactors_460_to_784_MWe","15_to_20","0.1_to_0.5_I131_equivalent_most_already_decayed","~5_EBq_total_primarily_Xe133_I131_Cs134_Cs137","0_confirmed_radiation_deaths; 1_cancer_death_confirmed_2018_liquidator; 2199_evacuation-related_deaths","154000_persons_evacuated; 40000_still_displaced_2021","Magnitude_9.0_earthquake_+_tsunami_→_station_blackout_→_ECCS_failure_→_3_reactor_core_melts_→_H2_explosions_→_containment_breach","Second INES-7 event; Cs-137 release ~15-20 PBq = ~18-24% of Chernobyl release; better containment (some) = lower environmental release per MW of damaged fuel; see fukushima_chernobyl_comparison_REAL.csv for detailed comparison","UNSCEAR 2014; fukushima_chernobyl_comparison_REAL.csv; IAEA Fukushima Daiichi 2015 report"
"Mayak_2017_Ru106","Mayak_Russia_suspected","2017-09","NOT_on_INES_scale_officially","suspected_nuclear_waste_or_isotope_production_facility","not_applicable","not_applicable","~250_TBq_Ru106_atmospheric_release; no_other_reactor_fission_products","none_confirmed","none","Suspected_accidental_release_from_Mayak_isotope_production_or_waste_processing; Russia_denied_for_months","Detected across Europe Sep-Oct 2017; no Cs-137 co-detection → not a criticality/meltdown → must be processing release; Ru-106 only isotope detected (inconsistent with reactor accident); see ru106_2017_europe_REAL.csv; 250 TBq Ru-106 from single event","ru106_2017_europe_REAL.csv; IRSN 2017; IAEA technical note 2017"
"INES_scale_reference","reference","N/A","INES_7_Major_accident","International_Nuclear_Event_Scale_created_1990","N/A","N/A","N/A","N/A","N/A","INES scale defined 1990 by IAEA/OECD-NEA post-Chernobyl and post-TMI; 7 levels: 1=anomaly; 2=incident; 3=serious incident; 4=local consequences; 5=wider consequences; 6=serious accident; 7=major accident; Chernobyl and Fukushima are the only INES-7 events; Kyshtym is only INES-6; INES scale is retrospectively applied (Chernobyl 1986 → INES-7 designation applied retroactively)","IAEA INES User's Manual 2009; OECD-NEA; this dataset reference"
