"source_event","nuclide","release_PBq","area_km2","context","primary_source","notes"
"Nuclear_testing_global_1945-1980","Cs-137","948","global","Total global fallout from all atmospheric nuclear weapons tests; dispersed globally; northern hemisphere higher","UNSCEAR 2000 Annex C; PMC7810316 reference","Cs-137 from testing = 948 PBq vs Chernobyl 85 PBq = 11.2x ratio"
"Nuclear_testing_global_1945-1980","Sr-90","622","global","Global Sr-90 from atmospheric weapons testing; bone-seeker; elevated in dairy 1960s","UNSCEAR 2000 Annex C","Sr-90 testing = 622 PBq vs Chernobyl 10 PBq = 62x ratio; distributed more uniformly globally"
"Nuclear_testing_global_1945-1980","C-14","213000","global","C-14 from neutron activation in weapons tests; longest-lived (t1/2=5730yr); global distribution","UNSCEAR 2000","C-14 gives largest collective dose from testing over geological time"
"Nuclear_testing_global_1945-1980","H-3_tritium","186000","global","Tritium from thermonuclear weapons; t1/2=12.3yr; mostly decayed; dominated first years","UNSCEAR 2000","Tritium from testing 186000 PBq; mostly decayed by now (t1/2=12.3yr)"
"Chernobyl_1986","Cs-137","85","125000","Chernobyl Unit 4 explosion and graphite fire; 30% core inventory released; deposited across Europe","UNSCEAR 2008; OECD-NEA Ch.II","Cs-137 Chernobyl = 85 PBq; 8x less than testing global total but concentrated in Europe"
"Chernobyl_1986","I-131","1760","125000","55% of core I-131 inventory; primary thyroid dose driver; deposited mainly in Europe","UNSCEAR 2008","Highest-consequence single isotope from Chernobyl; no analogous from testing (all decayed)"
"Chernobyl_1986","Sr-90","10","30000","5% of core Sr-90 released; local/regional deposition; groundwater concern","UNSCEAR 2008; OECD-NEA","Sr-90 Chernobyl = 10 PBq; 62x less than testing global; but more concentrated near source"
"Chernobyl_1986","total_excl_noble_gases","3400","125000","Total non-noble-gas release; volatile + semi-volatile + refractory isotopes","OECD-NEA Ch.II; UNSCEAR 2008","~3400 PBq non-noble gas total; plus ~6500 PBq Xe-133 noble gas"
"Fukushima_Daiichi_2011","Cs-137","13.6","30000","Three-reactor meltdown; ~80% release to ocean; 20% to land; INES Level 7","UNSCEAR 2013; TEPCO","Cs-137 Fukushima = 13.6 PBq = 16% of Chernobyl; mostly to Pacific Ocean"
"Fukushima_Daiichi_2011","I-131","500","mostly_ocean","Contained meltdown; iodine release ~28% of Chernobyl; thyroid dose far lower in population","UNSCEAR 2013","No confirmed thyroid cancer excess in adult Fukushima population; surveillance artifact in children"
"Fukushima_Daiichi_2011","total_excl_noble_gases","520","30000","Total Fukushima non-noble release; ~15% of Chernobyl","UNSCEAR 2013; WNA","520 PBq vs Chernobyl 3400 PBq = ~15% scale"
"Mayak_1957_Kyshtym","Sr-90","74","23000","1957 tank explosion Mayak USSR; Sr-90 dominated; East Ural Radioactive Trace 23000 km2","UNSCEAR 2000; WHO","Kyshtym disaster: 74 PBq Sr-90; 7x Chernobyl Sr-90 release; less well-known but significant"
"Windscale_fire_1957","I-131","0.74","500","UK Windscale graphite fire October 1957; mostly I-131 and Po-210; deposited over UK/NW Europe","UNSCEAR 2000; UK government","Windscale I-131 = 0.74 PBq = 0.04% of Chernobyl I-131; prompted UK milk ban; much smaller scale"
"Chernobyl_cancer_projections_UNSCEAR","cancer_deaths_projected","","","UNSCEAR/Chernobyl Forum 2005 LNT projection: ~6600 excess cancer deaths across Europe over 70yr from Chernobyl","UNSCEAR 2008; Chernobyl Forum 2005","6600 deaths = <1% of expected cancer deaths in same population; statistical uncertainty comparable to effect"
"Chernobyl_cancer_projections_IARC","cancer_deaths_projected","","","IARC (Cardis 2006) projection using higher risk coefficients: ~25000 excess cancers with ~16000 fatal over lifetime across Europe","IARC Cardis 2006 Int J Cancer","Higher than UNSCEAR due to different risk coefficients; applies LNT to entire European population exposure; remains controversial"
"Chernobyl_cancer_projections_WHO_2006","cancer_deaths_projected","","","WHO 2006: 4000 excess cancer deaths projected for most affected populations (not all Europe)","WHO 2006 Chernobyl Health Report","Restricted to highest-exposed populations; lower than IARC because limited to most affected 600000 people"
"Nuclear_testing_collective_dose","cancer_deaths_projected","","global","UNSCEAR 2000 weapons testing collective dose: ~2.5 million person-Sv global; ~25000-75000 projected cancer deaths over lifetime from testing (highly uncertain)","UNSCEAR 2000 Annex C","Testing fallout cancer burden estimated 4-11x larger than Chernobyl depending on model; distributed globally so less visible epidemiologically"
"Ru106_2017_Mayak","Ru-106","0.25","Europe_wide","2017 Ru-106 release from Mayak reprocessing facility; ~250 TBq detected across Europe; no confirmed health impact","PNAS 2019; Nature Comms 2020","Non-natural Ru isotope ratios confirmed VVER spent fuel reprocessing; max 176 mBq/m3 Romania; doses <10^-7 mSv"
