"parameter","value","units","context","physics_detail","chernobyl_relevance","source"
"burnup_definition","MWd_per_tonne_heavy_metal","MWd/tHM","reactor_physics","Burnup = energy extracted per tonne of heavy metal (uranium/plutonium) in fuel; RBMK-1000 design burnup: 20,000-22,000 MWd/tHM at 2.0% enrichment; post-accident upgrade: 28,000-35,700 MWd/tHM at 2.8% enrichment; PWR typical burnup: 40,000-60,000 MWd/tHM; 1 MWd/tHM ≈ 0.96 g U-235 fissioned per kg; higher burnup = more fission products accumulated; more Pu-239 produced then partially fissioned; more actinides","Unit 4 Channel No. 73-26 fuel assemblies at accident: varying burnup since RBMK can online refuel; some channels at full burnup; some fresh fuel; average burnup ~10,000-15,000 MWd/tHM at accident; burnup affects void coefficient (higher Pu-239 content → β_eff lower → more dangerous); burnup affects fission product inventory (source term); explains why burnup tracking important for source term calculation","Lamarsh; INSAG-7; rbmk_fuel_specifications_REAL.csv; WNA Fuel Processing"
"Pu_239_production_rate","approximately_0.6_g_per_MWd","g_Pu239_per_MWd_thermal","fuel_transmutation","Pu-239 production: U-238(n,γ)U-239 → β⁻ t1/2=23.5min → Np-239 → β⁻ t1/2=2.36d → Pu-239; production rate ~0.6 g Pu-239/MWd(th); simultaneous fission consumption of Pu-239 (σ_fission=748b) as it accumulates; net Pu-239 inventory in RBMK after 15,000 MWd/tHM: ~2-4 kg/tHM; total Pu-239 in Unit 4 core at accident: ~120-180 kg (at average burnup × 180-190 tHM fuel)","Pu-239 in Unit 4 fuel at accident: approximately 120-180 kg (from burnup calculation); β_eff for Pu-239 = 0.0021 vs U-235 = 0.0065; as fuel ages and Pu-239 fraction increases, reactor becomes more sensitive to prompt criticality per unit excess reactivity; Chernobyl Unit 4: mixed U-235/Pu-239 fuel → effective β somewhere between 0.0021 and 0.0065; contributes to accident severity","IAEA TECDOC-1243; England Rider 1994; rbmk_fuel_specifications_REAL.csv; fission_product_yields_REAL.csv"
"Pu_buildup_series","Pu_isotopes_from_neutron_capture","N/A","transmutation_chain","Plutonium isotope buildup: U-238(n,γ)→U-239→Pu-239; Pu-239(n,γ)→Pu-240; Pu-240(n,γ)→Pu-241; Pu-241(n,γ)→Pu-242; also: Pu-241→Am-241 (β⁻; t1/2=14.29yr); Am-241→Np-237 (α; t1/2=432yr); RBMK at 15,000 MWd/tHM typical inventory: Pu-239=2-4 kg/tHM; Pu-240=0.5-1 kg/tHM; Pu-241=0.3-0.6 kg/tHM; Pu-242=0.1-0.2 kg/tHM","Unit 4 total Pu inventory at accident: ~30-40 kg Pu-241 (→ Am-241 with 14.29yr half-life); Am-241 growing from Pu-241 decay = primary reason CEZ Am-241 still increasing (peaks ~2058 per Bateman calculation); total Am-241 from Unit 4 discharge = ~5-8 TBq/tHM over next century; see am241_ingrowth_timeseries_REAL.csv for isotope trajectory","am241_ingrowth_timeseries_REAL.csv; radioactive_decay_chains_REAL.csv; IAEA TECDOC-1243; fission_product_yields_REAL.csv"
"U235_depletion_rate","1.05_g_U235_per_MWd","g_per_MWd","fuel_consumption","U-235 depletion: 1 fission = 200 MeV ≈ 3.2×10⁻¹¹ J; 1 MWd = 8.64×10¹⁰ J; fissions per MWd = 8.64×10¹⁰/3.2×10⁻¹¹ = 2.7×10²¹ fissions; mass U-235 per fission = 235/6.022×10²³ g = 3.9×10⁻²² g; U-235 per MWd = 2.7×10²¹ × 3.9×10⁻²² = 1.05 g/MWd; at 2.0% enrichment: 20,000 MWd/tHM requires ~21 kg U-235/tHM (vs 20 kg initial); difference → some U-235 from Pu-239 fission contribution; thermal efficiency 33%: 3 MWth per 1 MWe","RBMK thermal power 3200 MWth; electrical 1000 MWe; efficiency 31.3%; at design burnup 22,000 MWd/tHM: depletes ~23 kg U-235/tHM from initial 20 kg/tHM enrichment → actually produces more fission energy than initial U-235 contains because Pu-239 contributes ~30-40% of fissions at equilibrium burnup; demonstrates fuel cycle physics of U-238 fertile material value","Lamarsh; Glasstone Sesonske; IAEA TECDOC-1243; rbmk_fuel_specifications_REAL.csv"
"Cs_134_production_mechanism","neutron_capture_on_Cs133","N/A","activation_product","Cs-134 production: Cs-133 (stable fission product; cumulative yield from U-235 fission = 6.70%) + neutron → Cs-134; cross-section: thermal σ_n,γ (Cs-133) = 29.0 barns; NOT a direct fission product of U-235; t1/2(Cs-134) = 2.065 yr; Cs-134/Cs-137 activity ratio at end of irradiation depends on: burnup; neutron flux spectrum; specific power; for RBMK Unit 4 April 1986: ratio ~0.57 (decay-corrected to May 6 1986)","Cs-134/Cs-137 ratio = 0.57 is a specific fingerprint of Chernobyl-origin material because: (1) confirms neutron-activated Cs-133 → Cs-134 specific to THAT reactor's burnup; (2) ratio differs from fuel fabrication and from weapons fallout (no Cs-134 in weapons fallout); (3) ratio confirms Chernobyl as source (vs other possible Soviet releases); forensic nuclear physics; Cs-134 now fully decayed (2026: ~0.06% remains)","NNDC; England Rider 1994; ENDF/B-VIII.0; fission_product_yields_REAL.csv; gamma_ray_interaction_physics_REAL.csv"
"ORIGEN_burnup_calculation","computational_tool","N/A","burnup_methodology","ORIGEN (Oak Ridge Isotope Generation and Depletion): computer code for reactor burnup calculations; solves Bateman equations for ~2200 nuclides simultaneously; includes: fission product generation; actinide transmutation; decay chains; captures cross sections; used to calculate: source terms; spent fuel composition; decay heat curves; waste classification; ORIGEN-ARP (automatic rapid processing) for time-dependent burnup steps; SCALE code system; also HELIOS, CASMO, APOLLO codes used in Europe","ORIGEN used retrospectively to reconstruct Chernobyl Unit 4 release inventory; input: reactor design parameters (channel geometry; enrichment; flux spectrum); burnup history; output: isotope inventories at time of accident; uncertainties in burnup history (core was partially refueled continuously; different channels at different burnups) = ~10-20% uncertainty in calculated source term; matches UNSCEAR measured values within this range","Croff 1983 Nucl Technol; England Rider 1994 LANL-1994-0799; SCALE manual ORNL/TM-2005/39; 01_source_term_REAL.csv"
"decay_heat_curve","ANS73_standard","fraction_of_operating_power","post_shutdown","Decay heat after shutdown (ANS-5.1/1979 standard): at t=0 shutdown: decay heat = 7% of operating power; at t=1s: ~6.5%; t=1min: ~3.8%; t=1hr: ~1.5%; t=1day: ~0.7%; t=1week: ~0.4%; t=1month: ~0.25%; t=1yr: ~0.09%; curve follows: P_decay/P_0 ≈ 0.066 × (t⁻⁰·² - (t+t_S)⁻⁰·²) where t=time after shutdown; t_S=operating time; For RBMK Unit 4 at 3200 MWth: decay heat at 1hr = ~48 MWth; at 1day = ~22 MWth","RBMK Unit 4 shutdown and explosion April 26 01:23: decay heat at t=1hr = 48 MWth (heat that MUST be removed for safe cooling); with no cooling = temperature rises; this is why all 6 ZNPP units require cooling even though shutdown (spent fuel in pools: lower decay heat but same physics); at 1 week: ~12 MWth still requires active cooling; explains why Fukushima pools overheated days after tsunami","ANS-5.1 1979; Way Wigner 1948; IAEA Safety Series; zaporizhzhia_npp_2022_2025_REAL.csv"
"spent_fuel_radioactivity_timescale","initial_high_then_decreasing","Bq_per_tHM","post_discharge","Fresh spent fuel radioactivity (~1 week post-discharge; 35,000 MWd/tHM): ~3×10¹⁶ Bq/tHM (very high; primarily short-lived fission products); at 1 year: ~5×10¹⁴ Bq/tHM (100-fold reduction); at 10 years: ~2×10¹³ Bq/tHM; at 100 years: ~5×10¹¹ Bq/tHM (dominated by Sr-90, Cs-137, Am-241); at 1000 years: ~10¹⁰ Bq/tHM (actinides dominate); at 10,000 years: ~10⁸ Bq/tHM (Pu-239, Np-237); natural uranium ore: ~2.5×10⁶ Bq/tHM","Time perspective: spent fuel achieves radioactivity equivalent to original uranium ore after ~100,000-300,000 years; this is why deep geological repository storage for ~1 million years required; short-term (0-100yr): Cs-137 and Sr-90 dominate; medium term (100-1000yr): Am-241 dominates; long term (1000-10000yr): Pu-239, Pu-240, Am-243 dominate; am241_ingrowth_timeseries_REAL.csv covers the 1986-2100 time window","IAEA TECDOC-1240; NRC 1987 Spent Fuel Transport; NEA Spent Fuel 2015; am241_ingrowth_timeseries_REAL.csv"
"fissile_material_Chernobyl_inventory","at_time_of_accident","tonnes","1986-04-26","Fissile and fertile material in RBMK Unit 4 at accident (estimated from burnup): U-235: ~1800 kg remaining (from ~2000 kg initial at 2.0% enrichment × 190 tHM); U-238: ~187,000 kg (unchanged fertile material); Pu-239: ~120-180 kg; Pu-241: ~30-40 kg; total fissile: ~2000 kg U-235 + ~150 kg Pu-239 equivalent; total heavy metal: ~190 tonnes; all distributed across 1661 pressure channels; no single inventory location","U-235 and Pu-239 released in accident: UNSCEAR estimates 0.013 PBq Pu-239+240 released; 0.013 PBq / 2.31 GBq/g(Pu-239) = 5.6 kg Pu-239+240 released; this represents ~3-4% of total Pu inventory; remaining Pu-239 stayed in reactor (corium and FCM); Pu-239 release fraction much lower than volatile fission products (Cs-137 ~33% released of inventory); physical state: Pu is refractory → stays in fuel particles","01_source_term_REAL.csv; fuel_particle_contamination_REAL.csv; rbmk_fuel_specifications_REAL.csv; UNSCEAR 2008"
"breeding_ratio_RBMK","slightly_less_than_one_thermal_reactor","dimensionless","fuel_cycle","Conversion ratio (CR) in RBMK: CR = Pu-239 produced / U-235 fissioned; thermal reactors: CR ≈ 0.5-0.7; RBMK CR ≈ 0.5-0.6; fast breeder reactors: CR > 1 (breeding ratio BR > 1); RBMK not designed as breeder but converts some U-238 to Pu-239; cumulative: each 22,000 MWd/tHM burnup cycle produces ~10-15 kg new Pu-239 per tHM but consumes ~14-18 kg U-235; net fissile production negative → must reload with fresh enriched uranium","Unlike breeder reactors (which produce more fissile than consumed), RBMK requires continuous fresh enriched uranium; this drove Soviet need for uranium enrichment capacity; Ukraine became key part of Soviet nuclear fuel cycle; enrichment at Angarsk Russia; fuel fabrication at Elektrostal; VVER fuel now from Westinghouse Sweden (post-2022); note: natural uranium cycles (CANDU) have CR~0.8 = much more efficient U-238 conversion than RBMK","WNA Fuel Processing; IAEA TECDOC-1243; Lamarsh 1966; ukraine_nuclear_fleet_REAL.csv"
