"category","limit_type","dose_value","units","timeframe","regulatory_body","context","chernobyl_comparison","source"
"occupational_workers","annual_effective_dose_limit","20","mSv_per_year","annual_average_over_5yr_max_50mSv_in_any_year","ICRP 103 2007; adopted by IAEA BSS 2014","Stochastic effects limit for radiation workers; effective dose averaged over 5 years; single year max 50 mSv; below limit causing deterministic effects (>100 mGy threshold)","Chernobyl liquidators: many received this in a few hours to days in 1986; 530000 workers total avg 117 mSv (6x annual limit); some received 1000+ mGy in one shift (>50x annual limit)","ICRP 103 2007; IAEA GSR Part 3 BSS 2014"
"occupational_workers","eye_lens_dose_limit","20","mSv_per_year","annual; revised downward from 150 mSv in ICRP 118 2012","ICRP 118 2012; IAEA BSS 2014","Revised down from 150 mSv/yr after epidemiological evidence of cataract at lower doses; relevant for Chernobyl liquidators (many developed radiation cataracts)","Chernobyl liquidators: cataracts documented at doses >0.5-1 Gy; UNSCEAR 2008 notes many liquidators received equivalent doses >20x new annual limit","ICRP 118 2012; IAEA GSR Part 3"
"occupational_workers","skin_dose_limit","500","mSv_per_year","annual","ICRP 103 2007","Deterministic threshold for skin is ~2000 mGy; 500 mSv limit ensures low probability of deterministic effects; shallow personal dose equivalent Hp(0.07)","Chernobyl ARS patients: skin doses 400-500 Gy on some patients (1000x annual limit in hours); skin burns were major cause of at least 19 of 28 ARS deaths","ICRP 103 2007; ars_cases_REAL.csv"
"public_protection","annual_effective_dose_limit","1","mSv_per_year","annual","ICRP 103 2007; IAEA BSS 2014","Public dose limit for planned exposure situations; excludes background and medical; principle: ALARA (as low as reasonably achievable) means doses should be below this in practice","Prypiat current: 4.932 µSv/h = ~43 mSv/yr = 43x public limit → uninhabitable; Chornobyl city: 0.209 µSv/h = ~1.8 mSv/yr; approaching limit for habitation","ICRP 103 2007; IAEA GSR Part 3; modern_monitoring_REAL.csv"
"public_protection","emergency_reference_level_low","20","mSv","acute_emergency","ICRP 63 1993; IAEA GSR Part 7","Lower emergency reference level (ERL); below this: no protective action recommended based on dose alone; interventions at higher doses become justified","Soviet evacuation of Pripyat 36 hours after accident likely resulted in doses >20 mSv for many residents in first 36 hours from external and internal I-131","ICRP 63 1993; IAEA GSR Part 7"
"public_protection","emergency_reference_level_high","100","mSv","acute_emergency","ICRP 63 1993; IAEA GSR Part 7","Upper ERL; above this: protective actions (evacuation KI shelter) always justified; below 20 mSv: not generally justified from radiation standpoint; 20-100 mSv: judgment required","Chernobyl: Soviet 30-km evacuation decision based on arbitrary zone not individual dose assessment; many outside 30 km received more than those inside; KI was protective action that could have helped","ICRP 63; IAEA GSR Part 7; decontamination_countermeasures_REAL.csv"
"food_contamination","Cs137_EU_food_limit_general","1250","Bq_per_kg","post_emergency","EU Council Regulation 2016/52","EU limit for Cs-137 in most foods (meat fish dairy vegetables) for non-infant non-baby-food consumption; in effect since 1987 (initially at 370 Bq/kg); relaxed post-emergency","Wild boar mean 46000 Bq/kg = 37x EU limit; max 660000 = 528x; catfish 50000 = 40x; food restrictions on some European mushrooms/wild game still active 2024","EU Council Regulation 2016/52; cez_wildlife_contamination_REAL.csv"
"food_contamination","Cs137_EU_food_limit_infants","400","Bq_per_kg","post_emergency","EU Council Regulation 2016/52","Lower limit for infant food dairy products baby food; reflects higher dose coefficient for infants (4.4E-08 Sv/Bq vs adult 1.3E-08)","Chernobyl 1986: Soviet milk ban delayed 2-3 weeks; Poland immediately restricted infant milk when Cs-137 exceeded 370 Bq/L","EU 2016/52; dose_conversion_factors_REAL.csv"
"food_contamination","I131_EU_milk_limit","500","Bq_per_liter","during_nuclear_emergency","EU Council Regulation 2016/52","I-131 in milk and dairy; limit relevant during first weeks of accident; thyroid dose driver","USSR delay in implementing milk ban in 1986 was primary prevention failure for thyroid cancer; Poland implemented ban at 370 Bq/L I-131 within days","EU 2016/52; food_agricultural_contamination_REAL.csv; decontamination_countermeasures_REAL.csv"
"food_contamination","Sr90_EU_food_limit","125","Bq_per_kg","post_emergency; Bq/L for liquids","EU Council Regulation 2016/52","Sr-90 limit much lower than Cs-137 per Bq because Sr-90 is a bone-seeker with higher dose coefficient; 125 Bq/kg in food; 125 Bq/L in beverages","Chernobyl: Sr-90 in Pripyat River exceeded this immediately post-accident; Sr-90 in some CEZ groundwater wells still exceeds by >100x in 2024","EU 2016/52; groundwater_timeseries_REAL.csv"
"food_contamination","Japan_Cs137_food_limit","100","Bq_per_kg","post_Fukushima_2012_onward","Japanese Ministry of Health post-Fukushima","Much lower than EU limit; Japan lowered from 500 to 100 Bq/kg after Fukushima; reflects precautionary approach; harmonized with EU for fish to 1250 Bq/kg","Chernobyl wild boar 46000 Bq/kg vs Japanese limit 100 = 460x; European wild game restrictions show EU 1250 limit still often exceeded decades later","Japan MHLW 2012; fukushima_chernobyl_comparison_REAL.csv"
"contaminated_land","belarus_zone_A_mandatory_resettlement",">1480","kBq_per_m2_Cs137","1991","Belarus Law on Protection of Chernobyl 1991","Zone A (mandatory resettlement): >1480 kBq/m2 Cs-137 (>40 Ci/km2); ~2180 km2 of Belarus; inhabitants evacuated/resettled","This is where most Belarus thyroid cancer cases concentrated; Red Forest equivalent ~4000-10000 kBq/m2; modern decontamination can reduce surface Cs-137 but not soil Cs-137","Belarus 1991 Law; contamination_zones_REAL.csv"
"contaminated_land","international_reference_level_restricted","555","kBq_per_m2_Cs137","IAEA_generic","IAEA-TECDOC-880 1996",">555 kBq/m2 Cs-137 (15 Ci/km2): restricted zone; special agricultural restrictions; Belarus Zone B = 555-1480 kBq/m2","~9500 km2 of Belarus in Zone B; significant food restrictions ongoing","IAEA TECDOC-880; WHO 1996"
"contaminated_land","public_dose_from_soil","0.0043","µSv_per_hour_per_kBq_m2","ambient","ICRP 144; EPA FGR-15","Conversion factor: ambient dose rate from Cs-137 deposited on ground; used to convert soil inventory maps to dose rates","Prypiat soil ~1100 kBq/m2 Cs-137 × 0.0043 = ~4.7 µSv/hr (consistent with SaveEcoBot 4.932 µSv/hr); Red Forest ~4000-10000 kBq/m2 → ~17-43 µSv/hr","ICRP 144 2020; dose_conversion_factors_REAL.csv"
"deterministic_thresholds","ARS_threshold_whole_body","0.7","Gy","acute_single_dose","ICRP 60 1991; UNSCEAR 2008","Approximate threshold for clinical ARS (Grade I) signs; bone marrow depression; nausea vomiting in majority of people exposed; below this: no clinical ARS; above this: treatment required","Chernobyl: 134 confirmed ARS (0.8-16 Gy); general public received max ~200 mGy → no ARS; complete distinction","ICRP 60; ars_cases_REAL.csv"
"deterministic_thresholds","thyroid_cancer_risk_enhancement_threshold","100","mGy","","UNSCEAR 2008","Threshold for statistically significant increase in radiation-induced thyroid cancer (I-131 doses); below 100 mGy: no significant excess thyroid cancer at population level; above 100 mGy: linear dose-response; children 0-5 most sensitive","26% of Belarus pre-school evacuees received >5 Gy thyroid (50x this threshold); UNSCEAR 2008 Table B5","UNSCEAR 2008; unscear_evacuee_thyroid_doses_REAL.csv; nci_ukraine_thyroid_cohort_REAL.csv"
"deterministic_thresholds","LD50_30_whole_body","3.5","Gy","without_medical_treatment","UNSCEAR 2008; ICRP 60","LD50/30 = dose causing 50% mortality within 30 days without treatment; with full BMT and supportive care can extend to ~6-8 Gy","Chernobyl Grade IV ARS (6-16 Gy): 21 patients 20 deaths even with BMT; LD100 essentially reached at ~10-12 Gy based on Chernobyl experience","ICRP 60; ars_cases_REAL.csv; UNSCEAR 2008"
"natural_background","global_average_annual_dose","2.4","mSv_per_year","annual","UNSCEAR 2008 natural background","Natural background from cosmic rays + terrestrial gamma + Rn-222 + internal (K-40 C-14); range 1-10 mSv/yr globally; Ramsar Iran ~100 mSv/yr from high-Ra groundwater","Chernobyl distant populations (Europe): +0.3 mSv over 70 years = +1.7% of one year's natural background; Prypiat current: 43 mSv/yr = 18x average natural background","UNSCEAR 2008; nuclear_context_comparison_REAL.csv"
"natural_background","radon_contribution","1.26","mSv_per_year","annual","UNSCEAR 2008","Rn-222 (and daughters) = largest single natural radiation source to human population; accounts for ~53% of natural background; lung cancer risk; Rn in homes varies 10-10000 Bq/m3","Radon lung dose in Slavutych (resettlement city) compared to Chernobyl occupational dose = radon often exceeds residual Chernobyl dose for non-liquidators","UNSCEAR 2008; natural background chapter"
"LNT_model","linear_no_threshold","1","proportional","any_dose","ICRP 103 2007 recommended for radiation protection purposes","LNT: any dose however small has proportional risk of cancer; used as conservative tool for radiation protection; does NOT mean all doses are dangerous; basis for ICRP 100 mSv/yr occupational limit","ICRP acknowledges LNT may overestimate risk below ~100 mSv; UNSCEAR uses LNT for projections; 6600 vs 25000 projected cancer deaths from Chernobyl = LNT uncertainty range; nuclear_context_comparison_REAL.csv","ICRP 103 2007; UNSCEAR 2008; birth_defects_general_health_REAL.csv"
