"quantity","symbol_and_SI_unit","old_unit","conversion","definition","chernobyl_application","source"
"activity","A_Becquerel_Bq","Curie_Ci","1 Ci = 3.7×10¹⁰ Bq; 1 Bq = 2.703×10⁻¹¹ Ci","Activity = number of nuclear disintegrations per second; 1 Bq = 1 disintegration per second; named after Henri Becquerel; SI unit; 1 Curie = activity of 1 gram of Ra-226 (3.7×10¹⁰ dps; defined 1910)","Chernobyl I-131 release: 1.76×10¹⁸ Bq = 1760 PBq = 47,600 kCi; Cs-137 release: 8.5×10¹⁶ Bq = 85 PBq = 2,297 kCi; human body K-40: 4400 Bq; environmental: kBq/m² for surface deposition; Bq/L for water; Bq/kg for food and soil","IAEA Safety Glossary 2022; ICRU 85 2011; Curie Rutherford 1910 definition"
"absorbed_dose","D_Gray_Gy","rad","1 Gy = 100 rad; 1 rad = 0.01 Gy","Absorbed dose = energy deposited per unit mass of material; 1 Gy = 1 J/kg; named after Louis Harold Gray; dose to specific organ or tissue; does NOT account for radiation type effectiveness","ARS threshold: 0.7 Gy; LD50 ~3.5 Gy whole body; thyroid doses Chernobyl children: up to 30+ Gy; Elephant's Foot 1986: 10,000 rad/hr = 100 Gy/hr; firefighter dose estimates: 2-16 Gy; unit used for organ-specific doses in dosimetry","ICRU 85; Gray 1953 Br J Radiol; IAEA Safety Glossary"
"equivalent_dose","H_Sievert_Sv","rem","1 Sv = 100 rem; 1 rem = 0.01 Sv","Equivalent dose = absorbed dose weighted by radiation type; H = D × w_R; radiation weighting factors: gamma/X-ray/beta = 1; neutrons 0.01 MeV = 2.5; neutrons 1 MeV = 20; neutrons 14 MeV = 5; protons = 2; alpha particles = 20; heavy nuclei = 20; Sv named after Rolf Sievert","Liquidator dose limit: 25 rem = 0.25 Sv; ICRP occupational limit: 20 mSv/yr; alpha RBE=20: 1 Gy alpha = 20 Sv equivalent; explains why Pu-239 alpha (w_R=20) is 20x more damaging per gray than gamma; firefighter equivalent doses: 1-16 Gy gamma → ~1-16 Sv (w_R=1 for gamma)","ICRP 60 1990; ICRP 103 2007; Sievert 1931; radiation_dose_limits_REAL.csv"
"effective_dose","E_Sievert_Sv","rem","Same conversion as equivalent dose: 1 Sv = 100 rem","Effective dose = sum of equivalent doses × tissue weighting factors w_T; accounts for different radiosensitivity of organs; E = Σ(H_T × w_T); major w_T: gonads=0.08; bone marrow=0.12; colon=0.12; lung=0.12; stomach=0.12; breast=0.12; bladder=0.04; liver=0.04; thyroid=0.04; bone surface=0.01; brain=0.01; skin=0.01; salivary glands=0.01; remainder=0.12","Effective dose used for: radiation protection limits; population dose summation; UNSCEAR dose estimates; NOT appropriate for clinical/individual dosimetry (use equivalent dose); European Chernobyl lifetime effective dose ~1-2 mSv; liquidator average effective dose ~117 mSv; these numbers assume uniform body distribution but actual dose was non-uniform","ICRP 103 2007; Jacobi 1975 original concept; ICRP 60 1990; unscear_population_doses_REAL.csv"
"ambient_dose_equivalent","H_star_10_Sv","rem","Same as effective dose","H*(10): dose equivalent at 10mm depth in ICRU sphere (tissue-equivalent 30cm sphere); used for area monitoring and radiation protection purposes; measured by most field gamma dosimeters; approximates effective dose for penetrating gamma radiation; measured by: Geiger-Müller tube with appropriate filter; NaI scintillator; ionization chamber; thermoluminescent dosimeter (TLD)","Field readings at Chernobyl/CEZ in µSv/hr are H*(10) measurements; external dose rate calibration: 1 kBq/m² Cs-137 on flat field → 0.0043 µSv/hr H*(10) at 1m height; Prypiat current: 4.932 µSv/hr; modern monitoring stations measure H*(10) automatically; DP-5 in 1986 approximately measured H*(10) (kerma approximation)","ICRP 74 1996; ICRU 39 1985; dose_conversion_factors_REAL.csv; modern_monitoring_REAL.csv"
"specific_activity","Bq_per_kg_or_Bq_per_g","Ci/g","1 Ci/g = 37 GBq/g","Specific activity = activity per unit mass; relates mass to radioactivity; formula: A_specific = ln2/(t1/2 × M/N_A) = 6.022×10²³ × ln2/(t1/2 × A_mass); Cs-137: t1/2=9.51×10⁸s; A=137; A_sp=3.19×10¹² Bq/g = 3.19 TBq/g; Sr-90: t1/2=9.09×10⁸s; A_sp=5.14 TBq/g; Pu-239: t1/2=7.6×10¹¹s; A_sp=2.31 GBq/g (much lower due to long half-life)","Specific activity critical for: (1) converting mass measurements to activity (Cs-137: 1 µg = 3.19 MBq); (2) comparing different nuclide toxicities per gram; (3) understanding hot particle dose (1 µg Pu-239 hot particle = 2.31 kBq alpha; delivers ~0.01 mGy to 37µm sphere around it per decay); (4) mass of Chernobyl releases: 85 PBq Cs-137 / 3.19 TBq/g = ~27 kg Cs-137 released","NNDC specific activity calculator; Tsoulfanidis 1983; rbmk_fuel_specifications_REAL.csv"
"dose_rate_to_population_dose","collective_dose_person_Sv","person_rem","1 person-Sv = 100 person-rem","Collective dose: sum over exposed population of individual effective doses; person-Sv = (number of persons) × (average dose in Sv); used for: estimating population-level cancer risk; detriment calculations; ICRP cautions against using collective dose summed over large populations with very low individual doses (detriment from below-threshold doses uncertain); UNSCEAR uses collective dose for public comparison","Chernobyl collective dose to Europeans: ~600,000 person-Sv total lifetime (UNSCEAR); at LNT: 600,000 × 0.05 cancer/Sv = 30,000 excess cancers in 500M European population; however this LNT extrapolation at very low doses (<10 mSv) highly uncertain and possibly zero; see contested_radiation_science_REAL.csv; compare: global nuclear testing collective dose ~30 million person-Sv","ICRP 103 2007; UNSCEAR 2008; contested_radiation_science_REAL.csv; unscear_population_doses_REAL.csv"
"kerma","K_Gray_Gy","rad","1 Gy = 100 rad (same as absorbed dose)","Kerma (Kinetic Energy Released in MAterial): energy transferred from photons/neutrons to charged particles per unit mass; for photons in soft tissue: kerma ≈ absorbed dose (charged particle equilibrium); Bremsstrahlung correction: D = K(1-g) where g = fraction of secondary electron energy converted to bremsstrahlung; g small for tissue at diagnostic energies; important distinction for electron beams and heavy charged particles","Kerma vs absorbed dose distinction relevant for: external beam therapy; airborne activity dose calculation (air kerma); DP-5 Soviet instruments measured approximately air kerma (in R/hr); conversion: 1 R = 8.76 mGy (in air) = ~8.77 mGy absorbed dose in tissue; DP-5 reading 1 R/hr ≈ 8.76 mGy/hr tissue dose; conversion factor used in all Soviet-era dosimetry conversions","Attix 1986; ICRU 85; ICRP 60; retrospective_dosimetry_methods_REAL.csv"
"Roentgen","R_unit_of_exposure","deprecated","1 R = 2.58×10⁻⁴ C/kg; 1 R ≈ 8.76 mGy air kerma","Roentgen (R): obsolete unit of gamma/X-ray exposure (charge liberated in air per unit mass); defined 1928; replaced by SI unit C/kg; field: 1 R/hr ≈ 8.76 mGy/hr air kerma ≈ 8.8 mGy/hr dose in tissue (gamma); Soviet instruments (DP-5) calibrated in R and mR; Soviet dose limits stated in R (e.g., 25 rem = 25 R for gamma where rem ≈ R for gamma)","1 R ≈ 10 mSv/hr (gamma) for rough conversion; Soviet DP-5 maximum 200 R/hr = 1.75 Gy/hr tissue dose = 0.48 Gy per 16-minute exposure; actual rooftop dose rates >1000 R/hr = >10 Gy/hr; firefighter 90 minutes on roof at 500 R/hr average = 750 R = 7.5 Gy estimated dose; this matches retrospective biological dosimetry estimates","ICRU 1962 Report 10b; Attix 1986; Knoll 2010; retrospective_dosimetry_methods_REAL.csv"
"dose_commitment","lifetime_committed_dose","Sv","internal_dosimetry","Committed effective dose E(50): dose accumulated over 50 years from single intake of radionuclide; used for: ingestion dose coefficients; inhalation dose coefficients; single intake event → long-term internal irradiation; g(50) = dose per unit intake (Sv/Bq); E(50) = g × intake (Bq); example: 1 Bq I-131 ingestion by adult = 4.3×10⁻⁷ Sv committed thyroid dose; child: 2.4×10⁻⁶ Sv/Bq (5.6x higher)","Committed dose concept critical for: I-131 thyroid dose calculation from milk ingestion; Cs-137 ingestion doses from contaminated food; Pu-239 inhalation doses from hot particles; committed dose accounts for the fact that internal emitter delivers dose over years/decades after single intake event; all ICRP dose coefficients in dose_conversion_factors_REAL.csv are committed effective doses","ICRP 72 1996; ICRP 119 2012; dose_conversion_factors_REAL.csv; iodine_atmospheric_chemistry_REAL.csv"
