"chain_name","nuclide","Z","N","t12_value","t12_units","decay_mode","decay_fraction","daughter","daughter_stable","Q_value_MeV","max_beta_energy_MeV","principal_gamma_keV","gamma_yield_pct","Chernobyl_relevance","source"
"I-131_decay","I-131","53","78","8.02","days","beta_minus","1.0","Xe-131","yes","0.971","0.606","364","81.5","PRIMARY thyroid dose driver; 1760 PBq released; concentrates in thyroid; 364 keV gamma enables external dosimetry and imaging","NNDC; IAEA NuDat; UNSCEAR 2008"
"Te-132_chain","Te-132","52","80","78.2","hours","beta_minus","1.0","I-132","no","0.51","0.215","228","88","Parent of I-132; 1150 PBq released; co-deposited with I-131; short-lived beta exposure near source","NNDC; IAEA NuDat"
"Te-132_chain","I-132","53","79","2.3","hours","beta_minus","1.0","Xe-132","yes","3.58","1.56","667","98.7","Daughter of Te-132; high gamma energy; rapid decay; contributes to early dose near source; generates from ingested Te-132","NNDC; IAEA NuDat"
"Cs-137_chain","Cs-137","55","82","30.17","years","beta_minus","1.0","Ba-137m","no","1.176","0.514","","","Primary long-term environmental contaminant; 85 PBq released; mimics potassium in biology; NO gamma itself","NNDC; IAEA NuDat"
"Cs-137_chain","Ba-137m","56","81","2.552","minutes","isomeric_transition","0.946","Ba-137","yes","0.662","","662","85.1","Ba-137m is ACTUAL source of 662 keV gamma used for Cs-137 detection; secular equilibrium with Cs-137; 662 keV is the gamma used in all environmental monitoring","NNDC; IAEA NuDat"
"Cs-134_decay","Cs-134","55","79","2.065","years","beta_minus","1.0","Ba-134","yes","2.058","0.658","605","97.6","54 PBq released; Cs-134/Cs-137 ratio=0.57 at May 6 1986 = unique Chernobyl fingerprint; multiple gammas 604+796 keV; fully decayed from environment by ~2010 (after ~10 half-lives)","NNDC; IAEA NuDat"
"Sr-90_chain","Sr-90","38","52","28.78","years","beta_minus","1.0","Y-90","no","0.546","0.546","","","10 PBq released; pure beta emitter (NO gamma → NOT detected by standard gamma monitors); bone-seeker; Y-90 daughter provides additional bone dose; groundwater concern due to mobility","NNDC; IAEA NuDat"
"Sr-90_chain","Y-90","39","51","64.0","hours","beta_minus","1.0","Zr-90","yes","2.28","2.28","","","High-energy beta (2.28 MeV) from Y-90 contributes additional bone marrow dose; secular equilibrium with Sr-90; Y-90 used in nuclear medicine for cancer treatment (analogous chemistry)","NNDC; IAEA NuDat"
"Pu241_Am241_chain","Pu-241","94","147","14.35","years","beta_minus","0.99997","Am-241","no","0.021","0.021","","","2.6 PBq released (UNSCEAR 2008); low-energy beta; no direct dose; PARENT of Am-241 buildup; decays slowly leaving Am-241 as long-lived daughter; t1/2 14.35yr means significant ingrowth for decades","NNDC; IAEA NuDat; UNSCEAR 2008"
"Pu241_Am241_chain","Am-241","95","146","432.2","years","alpha","1.0","Np-237","no","5.638","","59.5","35.9","Alpha emitter 5.49 MeV; ONLY CEZ isotope still INCREASING (peaks 2058.7); 59.5 keV gamma (low energy) penetrates poorly but enables soil survey detection; daughter Np-237 (t1/2=2.14Myr); Am-241 in smoke detectors same isotope","NNDC; IAEA NuDat; Bateman equations"
"Pu238_decay","Pu-238","94","144","87.74","years","alpha","1.0","U-234","no","5.593","","","","0.035 PBq released; alpha emitter; fuel particle tracer; inhalation hazard; Pu-238 from accident different from natural Pu-238 background; used in RTGs (Voyager spacecraft uses same isotope)","NNDC; IAEA NuDat"
"Pu239_decay","Pu-239","94","145","24110","years","alpha","1.0","U-235","no","5.244","","","","0.030 PBq released; 5.16 MeV alpha; long-lived permanent contamination; ingestion/inhalation risk; essentially no decay measurable on human timescales; 30km zone ~800 km2 with >37 kBq/m2 Pu-239+240","NNDC; IAEA NuDat"
"Zr95_chain","Zr-95","40","55","64.02","days","beta_minus","1.0","Nb-95","no","1.124","0.396","757","54.5","196 PBq released; fuel particle tracer; Zr-95/Ce-144 ratio used for fuel particle characterization; decayed within ~1 year; important for 1986-1987 near-zone measurements","NNDC; Kashparov 2020"
"Ce144_chain","Ce-144","58","86","284.9","days","beta_minus","1.0","Pr-144","no","0.319","0.319","133","11.1","116 PBq released; Ce-144/Zr-95 activity ratio = 0.73 ± 0.05 (used for fuel particle temporal characterization); fuel particle tracer; decayed ~1990","NNDC; Kashparov 2020"
"Ba140_chain","Ba-140","56","84","12.75","days","beta_minus","1.0","La-140","no","1.044","1.01","537","24.4","240 PBq released (5% fuel); very high initial activity but decayed within months; Ba-140/La-140 secular equilibrium used for near-source activity ratio estimation; responsible for early dose near Chernobyl","NNDC; OECD-NEA Ch.II"
"Xe133_decay","Xe-133","54","79","5.243","days","beta_minus","1.0","Cs-133","yes","0.427","0.346","81","37","6500 PBq released (100% noble gas); global atmospheric tracer; detected worldwide; 81 keV gamma used for atmospheric tracking; decayed within weeks; responsible for initial atmospheric dose near plant via cloud shine","NNDC; OECD-NEA Ch.II"
"Ru106_chain","Ru-106","44","62","1.023","years","beta_minus","1.0","Rh-106","no","0.0394","0.039","","","73 PBq released; Ru-106 itself pure beta (0.039 MeV max); detected via daughter Rh-106; decayed by ~1992 from Chernobyl; 2017 event: ~250 TBq from Mayak VVER reprocessing; absence of Ru-103 in 2017 PROVES spent fuel not fresh fuel","NNDC; PNAS 2019 (2017 event)"
"Ru106_chain","Rh-106","45","61","29.8","seconds","beta_minus","1.0","Pd-106","yes","3.541","3.541","512","21","High-energy beta (3.54 MeV) and 512 keV gamma from Rh-106 are the MEASURED signals for Ru-106 monitoring; t1/2=30s means instant secular equilibrium with Ru-106; the gamma at 512 keV used in 2017 European monitoring network detection","NNDC; Nature Comms 2020"
