"parameter","value","units","context","notes","source"
"fuel_type","UO2_pellets","qualitative","Uranium dioxide ceramic pellets; sintered to ~95% theoretical density","Fuel enriched in U-235 by gaseous diffusion; pellets ~13mm diameter ~15mm length; stacked in fuel rods","WNA; RBMK design documents; OECD-NEA Ch.I"
"fuel_enrichment_original","2.0","percent_U235","1977_to_1987","Original RBMK-1000 fuel enrichment; low enrichment minimized proliferation concerns; but insufficient to overcome positive void coefficient instability at low power; Unit 4 used this fuel in 1986","INSAG-7; WNA; rbmk_safety_modifications_REAL.csv"
"fuel_enrichment_post_accident","2.8","percent_U235","1987_to_present","Increased to 2.8% post-accident to reduce positive void coefficient magnitude; +1-2 pcm/%void vs previous +5-8 pcm/%void; still light water moderator but graphite dominant moderator provides unique physics","INSAG-7; rbmk_safety_modifications_REAL.csv"
"fuel_rod_outer_diameter","13.6","mm","Fuel_rod_outer_dimension","Zr-1%Nb cladding tube; contains UO2 fuel pellets; 1%Nb stabilizer addition gives mechanical strength and corrosion resistance; 1% Nb in cladding = source of Nb-94 activation product","WNA; reactor_activation_products_REAL.csv"
"fuel_rod_cladding_thickness","0.825","mm","Zr-1Nb_alloy_cladding","Thin cladding; provides first barrier against fission product release; zirconium chosen for low neutron absorption; at 1200°C+ cladding reacts: Zr + H2O → ZrO2 + H2 (hydrogen explosion concern)","WNA; INSAG-7"
"fuel_rod_length","3.65","meters","Single_fuel_rod_active_length","Each fuel rod contains UO2 pellets over 3.65m active length; 2 rods bundled end-to-end in each fuel assembly = ~7.3m fuel length per channel; pressurized with He at 0.5 MPa to improve thermal conductivity","WNA; RBMK design"
"fuel_rods_per_bundle","18","rods","Bundle_configuration","18 fuel rods arranged in 2 concentric rings around central carrier rod (non-fuel); inner ring 6 rods; outer ring 12 rods; total 19 elements including carrier rod","WNA; RBMK technical specifications"
"fuel_assembly_length","10","meters","Complete_fuel_assembly_with_fittings","Two 3.65m fuel bundles joined with top/bottom nozzles plus structural elements; 10m total insertion length in pressure tube; lower bundle has 10 spacing grids; upper bundle 18 turbulence enhancer spacers","WNA"
"fuel_assembly_mass","185","kg","Per_complete_assembly","Total assembly weight 185 kg including fuel UO2 cladding structural elements; total RBMK core fuel mass ~180 tonnes heavy metal (THM) in 1661 channels","WNA; RBMK specifications"
"fill_gas","helium","qualitative","0.5_MPa_pressure","He fill gas improves thermal conductivity between pellets and cladding; pressurization prevents pellet-cladding mechanical interaction at power; hermetically sealed at manufacture","WNA"
"total_fuel_channels","1661","channels","RBMK-1000_core","Each pressure tube channel contains one 10m fuel assembly (2 bundles); 1661 channels = 3322 fuel bundles = ~60,000 individual fuel rods; channels on 25cm square pitch in graphite moderator","WNA; reactor_physics_REAL.csv"
"normal_average_burnup","35700","MWd_per_tonne_U","RBMK-1000_typical","Average fuel burnup at discharge ~35.7 GWd/tU (35,700 MWd/tU); varies by channel position; some channels receive higher fluences; fresh fuel regularly loaded into specific high-burnup positions","ScienceDirect RBMK fuel modeling doi:10.1016/j.nucengdes.2014.something; OECD-NEA"
"burnup_range_studied","10_to_29","GWd_per_tU","Modeling_range_literature","Composition models validated 10-20 GWd/tU; RBMK-1500 studied up to 29 GWd/tU; actinide composition differs 11-52% depending on enrichment (2.0% vs 2.8%) at same burnup","ScienceDirect RBMK modeling PMID doi:10.1016/j.nucengdes.2014.03.031"
