"phase","date_or_days_post_accident","duration_hours","total_activity_released_this_phase_EBq","dominant_mechanism","Cs137_fraction_of_isotope_total_released","I131_fraction_of_isotope_total_released","Sr90_fraction_of_isotope_total_released","noble_gas_fraction_released","notes","source"
"Phase_1_initial_explosion","1986-04-26_01:23_to_~06:00","~4_hours","~0.5_to_1.5 (estimate: all phases total ~12 EBq including noble gases)","Prompt criticality steam explosion (possibly 2 explosions); dispersal of fuel particles graphite and core material; primarily noble gases and volatiles; steam-driven deaerosolization","~10_to_15_percent_of_total_Cs137_released","~8_to_12_percent_of_total_I131_released","~5_percent_of_total_Sr90_released","~50_to_60_percent_of_total_noble_gas_released","Noble gas (Xe-133 Kr-85) primary component of initial explosion release; released essentially instantaneously; I-131 volatile released partly as elemental I2 and organic iodides; Cs-137 as CsI and CsOH aerosols; Pu and actinides as fuel particle aerosols; graphite lofted up to 1 km altitude","UNSCEAR 2008 Annex D Table D5-D6; OECD-NEA Chernobyl 1996; Sich 1994; 01_source_term_REAL.csv"
"Phase_2_graphite_fire_early","1986-04-26_to_1986-05-01","~120_hours","declining_from_phase_1","Graphite fire in reactor core burning at ~1000-1200°C; helicopter sand/boron/lead drops (5100 tonnes deposited) partially reduce fire; radionuclide release driven by combustion aerosols and thermal convection from graphite fire","~25_to_30_percent_cumulative_by_May_1","~22_to_28_percent_cumulative_by_May_1","~5_to_8_percent_cumulative_by_May_1","~95_percent_total_noble_gas_released_by_day_2","Daily release declining during this phase; helicopter drops reduced fire but did not extinguish it; sand and dolomite drops briefly suppressed release; boron-10 intended to absorb neutrons (though criticality already ended); 5100 tonnes total drops estimated to have reduced April 28-30 releases","UNSCEAR 2008 Annex D; OECD-NEA 1996 Radiological Consequences; Sich 1994"
"Phase_3_minimum_release","1986-05-02_to_1986-05-05","~96_hours","minimum_of_10_day_period","Helicopter drops reduced immediate combustion; fuel temperature temporarily lowered; sand/lead partially covering reactor opening reduced aerosol generation; lowest release rate of the entire event","~5_percent_cumulative_during_these_4_days","~5_percent_cumulative_during_these_4_days","~3_percent","essentially_complete","Sand and lead cover created temporary minimum; however reactor core heating continued from radioactive decay heat and possibly residual criticality in graphite-moderated fuel remnants; minimum release approximately 3-4x lower than peak days","UNSCEAR 2008 Annex D Figure D-III; OECD-NEA 1996"
"Phase_4_core_reheat_peak","1986-05-06_to_1986-05-09","~90_hours","secondary_peak_rivaling_phase_1","Core temperature rose to ~1650°C by May 6-7 (higher than initial fire); thermal emission of refractory radionuclides increased dramatically; second spike in atmospheric release; some sources suggest 'thermonuclear heating' hypothesis","~40_to_45_percent_of_total_Cs137_released_in_this_phase","~35_to_40_percent_of_total_I131_released_in_this_phase","~40_to_45_percent_of_total_Sr90_released_in_this_phase","N/A_nobles_already_released","May 6-8 is second major release period; long-range contamination of Scandinavian countries partly from this phase; elevated Sr-90 release relative to earlier phases because higher temperature volatilizes more refractory isotopes; OECD-NEA Table II.3 shows May 7 peak in daily emission","UNSCEAR 2008 Annex D; OECD-NEA 1996 Table II.3; Devell et al. 1986 Nature; 01_source_term_REAL.csv"
"Phase_5_fire_extinguishment","1986-05-09_to_1986-05-10","~24_hours","rapidly_declining","Graphite fire extinguished May 9-10 by combination of nitrogen injection into reactor space and natural sand/lead thermal insulation; core cooled; aerosol generation ended","~2_to_3_percent_of_total_Cs137_in_this_phase","~2_to_3_percent_of_total_I131","~2_percent","N/A","Nitrogen injection forced through existing piping removed oxygen; fire extinguished; release rate dropped sharply after May 9; residual releases from contaminated soil and fuel particles continued at very low level for months thereafter; graphite fire extinguishment confirmed by temperature monitoring","UNSCEAR 2008 Annex D; OECD-NEA 1996; chernobyl_accident_chronology_REAL.csv"
"Phase_6_residual_post_fire","1986-05-10_to_1986-06_and_beyond","months","very_low_continuing","Diffuse release from: heated sarcophagus interior; contaminated soil resuspension; rain washing; fuel particle dissolution; no active fire; total residual releases in weeks after fire estimated <5% of total for most isotopes","~5_percent_of_total_Cs137_over_weeks_after","I131_decaying_rapidly_(t1/2=8days)","~20_percent_residual_Sr90_over_months","N/A","Post-fire residual releases important for Sr-90 and Pu because their primary release came as fuel particles rather than volatile gases; fuel particles dissolve slowly (years to decades); groundwater transport of Sr-90 from fuel particles continues to present (2026); see fuel_particle_contamination_REAL.csv","UNSCEAR 2008; fuel_particle_contamination_REAL.csv; red_forest_waste_sites_REAL.csv"
"TOTAL_Cs137","all_phases_combined","10_days_plus_residual","85_PBq_total","all_mechanisms","100_percent","N/A","N/A","N/A","UNSCEAR 2008 Annex D Table D6: Cs-137 total atmospheric release 85 PBq ± 30 PBq (range 45-135 PBq); represents ~1.4% of total Cs-137 inventory in Unit 4 core at time of accident (~6000 PBq); see 01_source_term_REAL.csv for full 20-isotope inventory","UNSCEAR 2008 Table D6; 01_source_term_REAL.csv"
"TOTAL_I131","all_phases_combined","10_days","1760_PBq_total","all_mechanisms","N/A","100_percent","N/A","N/A","UNSCEAR 2008 Annex D: I-131 total release 1760 PBq ± 500 PBq; ~55% of total I-131 in core at accident; highly volatile; peak air concentrations drove thyroid dose to children; by October 1986 (10 half-lives) essentially fully decayed","UNSCEAR 2008 Table D6; dose_conversion_factors_REAL.csv; unscear_evacuee_thyroid_doses_REAL.csv"
"TOTAL_Sr90","all_phases_combined","10_days_plus_residual","10_PBq_total","mostly_particle_form","N/A","N/A","100_percent","N/A","UNSCEAR 2008: Sr-90 total release 10 PBq ± 4 PBq; only ~4% of Sr-90 core inventory; relatively refractory; majority released as fuel particles in near-field; dissolved fraction transported by water (Dnieper system); long-lived (t1/2=28.8yr) ongoing concern","UNSCEAR 2008 Table D6; 01_source_term_REAL.csv; dnieper_river_contamination_REAL.csv"
"TOTAL_noble_gases","all_phases","primarily_first_24_hours","6500_PBq_estimate","gaseous_phase_immediate","N/A","N/A","N/A","100_percent","Noble gases (primarily Xe-133 ~6500 PBq; Kr-85 ~33 PBq) released essentially completely and rapidly; no deposition; followed long-range atmospheric transport; Xe-133 detected globally; used as source term fingerprint for accident timing and magnitude; Forsmark Sweden detected Cs-137 on April 28 with Xe-133 simultaneously","UNSCEAR 2008 Table D6; 01_source_term_REAL.csv; atmospheric_transport_plume_REAL.csv"
