"parameter","value","units_or_date","context","details","significance","source"
"Soviet_civil_defense_structure_1986","Civil_Defense_of_USSR_Grazhdanskaya_Oborona","N/A","1986_organizational","Soviet Civil Defense (Grazhdanskaya Oborona; GO): ministry-level organization parallel to military; responsible for: population protection in war and peacetime disasters; evacuation planning; NBC (nuclear/biological/chemical) defense; hospital system for mass casualties; pre-positioned equipment; each Oblast (region) had GO organization; Kyiv Oblast GO responsible for Chernobyl Zone evacuation; GO had theoretical nuclear emergency plans but none specifically designed for operating NPP accident","GO designed for nuclear WARFARE scenario (bombs); never for operating power plant accident; had no specific radiological monitoring plan for reactor accident; GO instruments (DP-5 dosimeters) measured gamma dose rate but not specific isotope activities; no food/milk monitoring protocol; no systematic thyroid dose measurement plan; improvised response to unprecedented situation","INSAG-7; Shcherbak 1989 Chernobyl; Mould 2000 Chernobyl Record; Marples 1988 Chernobyl"
"evacuations_timeline","Pripyat_36hr_Chernobyl_72hr","hours_after_accident","1986-04-27_to_05-02","Evacuation timeline: Pripyat (pop 49,360): decision April 27 14:00 (36 hours after accident); evacuation completed April 27 16:00-17:00 (2.5 hours with 1200 buses; military organization); residents told 3-day temporary departure; Chernobyl city (pop ~14,000): evacuated April 27-28 (48-72 hours after accident); villages in 10km zone: April 26-27 (some within 12-24 hours); 30km zone: April 27-May 2; total 30km zone: ~116,000 persons evacuated by May 2","Delay cost = substantial additional thyroid dose; however LOGISTICS were correctly executed once decision made: 1200 buses commandeered within hours; military units organized movement; no significant accidents during evacuation; Soviet strength was organization/execution; weakness was decision-making delay and information suppression preceding the decision; by contrast TMI (1979) had chaotic voluntary evacuation without mandatory order (showed different system failure mode)","INSAG-7; Mould 2000; Marples 1988; contamination_zones_REAL.csv; international_response_1986_REAL.csv"
"dosimetry_instruments_1986","DP-5_and_DP-100_field_instruments","N/A","1986_Soviet_equipment","Soviet field radiation instruments: DP-5 (DIM-5): gamma dose rate meter; range 0.05 mR/hr to 200 R/hr; thin-window Geiger-Müller tube; measures gamma + hard beta; critical limitation: maximum reading 200 R/hr = instrument SATURATED at dose rates typical of near-reactor environment (100-1000 R/hr); first arriving firefighters got reading '200 R/hr' = scale maximum; DP-100 (thyroid monitor): 5cm NaI crystal; calibrated for 131I in thyroid but poorly calibrated for neck geometry → factor 3 error","Instruments saturating at 200 R/hr was catastrophic for situational awareness: plant director Bryukhanov reported '3.6 R/hr maximum' to Moscow (3.6 R = scale maximum of a DIFFERENT instrument); actual dose rates on some rooftops measured retroactively at >1000 R/hr; Moscow not informed of true dose field for hours; contributed to delayed evacuation order; retrospective_dosimetry_methods_REAL.csv documents in detail","IAEA 1986; retrospective_dosimetry_methods_REAL.csv; Mould 2000; Read 1993"
"liquidator_organization","600000_total_1986_to_1990","persons","1986-1990","Liquidator (likvidator) organization: 600,000+ total persons worked in Chernobyl cleanup 1986-1990; broken down: military reservists ~340,000; construction workers ~100,000; miners (~10,000; dug tunnel under reactor); plant workers (~20,000); helicopter crews (~2,000); other specialists; organized by Ministry of Medium Machine Building (Minsredmash) and military; rotations of 3-6 months (2 weeks in highest-dose zones); nominally dose limit 25 rem (250 mSv) per rotation","Dose limit 25 rem (250 mSv) was itself higher than occupational limits (5 rem/yr in USSR); in practice: dosimeters frequently falsified/confiscated; some workers received doses far above limits without knowledge; Soviet system: worker had minimal recourse; unscear_liquidator_doses_REAL.csv documents actual dose distribution; mean dose ~117 mSv but distribution with heavy tail > 250 mSv","UNSCEAR 2008; unscear_liquidator_doses_REAL.csv; retrospective_dosimetry_methods_REAL.csv; Mould 2000"
"helicopter_operations","5100_tonnes_dropped_May_1986","tonnes","1986-04-27_to_05-10","Helicopter operations: Mi-8 and Mi-26 helicopters operated by Soviet military aviation; dropped 5100 tonnes total including: lead (~2400t; to absorb gamma and smother fire); sand (~800t; smother fire); boron carbide B4C (~40t; neutron absorber; prevent criticality); dolomite (~800t; CO2 + MgO release for cooling); clay (~1600t; filter); operations continued April 27 through May 10 (graphite fire extinguished); crews received doses: pilot cabin shielded but not fully; typical pilot dose per mission: 1-5 rem; some pilots 10+ rem over entire operation","Helicopter drops: effectiveness uncertain → 5100 tonnes dropped did NOT extinguish graphite fire (it burned until May 10); drops may have actually increased releases initially by mechanically disturbing debris; lead and sand did reduce gamma shine from exposed core; boron carbide (B4C) to prevent criticality: no evidence criticality recurrence was actually a risk after explosion destroyed fuel geometry; see source_term_daily_release_REAL.csv for release timeline","INSAG-7; source_term_daily_release_REAL.csv; chernobyl_environmental_remediation_REAL.csv; Mould 2000"
"miners_tunnel_excavation","10000_miners_under_reactor","persons","1986-05_to_07","Underground tunnel: fear that corium (molten fuel) would melt through reactor foundation into groundwater (China Syndrome fear); Soviet government mobilized ~10,000 miners from Donbas and Moscow basins; worked in extreme heat (~40-50°C in tunnel); drilled horizontal tunnel under Unit 4 foundation from outside reactor; installed heat exchangers for foundation cooling; engineers including Legasov feared groundwater contamination (Dnieper River water supply for 35 million people)","Tunnel was precautionary — corium never reached foundation in China Syndrome scenario; the corium descended to lower levels of reactor building and solidified (see corium_fcm_physics_REAL.csv; Elephant's Foot formation); miners' work was unnecessary in retrospect but their effort was extreme; reported some miners worked without protective equipment; cumulative doses to miners estimated 50-500 mSv range; no specific follow-up cohort study published","INSAG-7; Plokhy 2018; corium_fcm_physics_REAL.csv; Mould 2000"
"dosimetry_falsification","systematic_capping_of_individual_doses","qualitative","1986","Dosimetry falsification: multiple documented mechanisms: (1) pocket dosimeters (ID-1) confiscated by commanders so workers could accumulate higher doses; (2) dosimeters set to zero after each rotation reset period; (3) workers assigned to 'officially low-dose' areas regardless of actual work location; (4) military dosimetry records classified; (5) medical records of dose-related illnesses under-coded; result: official dose records show most liquidators below 25 rem; actual population dose distribution much broader than official records","This is perhaps the most important data quality issue in entire Chernobyl literature: official Soviet/CIS dose records for 600,000 liquidators are unreliable; UNSCEAR 2008 explicitly states this; retrospective biological dosimetry (EPR; FISH) shows actual doses 2-5x higher in some subgroups than official records; international health studies (LL study; A-EURECA cohort) require individual dose reconstruction rather than trusting records","UNSCEAR 2008; retrospective_dosimetry_methods_REAL.csv; Cardis 1996 Rad Res; Ivanov 2001; Mould 2000"
"Legasov_Vienna_1986","IAEA_meeting_August_25_to_29_1986","N/A","1986-08-25","Valery Legasov presented Soviet accident analysis at IAEA Post-Accident Review Meeting (INSAG-1 meeting), Vienna, August 25-29 1986: 5-hour presentation with 382 pages of documentation; praised internationally as unusually transparent for Soviet Union; INSAG-1 report published October 1986; Legasov's team attributed accident primarily to operator error (protective of reactor design); INSAG-7 (1992) revised to acknowledge design flaw; Legasov knew both were responsible but Soviet politics prevented full disclosure","Legasov's Vienna presentation was groundbreaking Soviet transparency at the height of Glasnost (Gorbachev's openness policy); led international community to believe Soviet narrative (operator error); reactor design flaw suppressed from public INSAG-1 report; Legasov committed suicide April 27 1988 having been denied proper recognition and struggling with the weight of partial disclosure; his posthumous memoirs revealed the full picture","INSAG-1 1986 IAEA; INSAG-7 1992; Legasov memoirs 1988; nuclear_safety_culture_REAL.csv; international_response_1986_REAL.csv"
"Soviet_government_response_leadership","Shcherbina_government_commission","N/A","1986","Soviet Government Commission: appointed April 26 1986 led by Boris Shcherbina (Deputy Chairman Council of Ministers; responsible for energy sector); arrived Chernobyl April 26 evening; other commission members: nuclear physicist Valery Legasov; health minister Anatoly Vorobyov; Academician Evgeny Velikhov (nuclear physics); commission had authority to order evacuation and military resources; Gorbachev briefed April 27; Politburo convened April 28 (after Forsmark detection forced acknowledgment)","Gorbachev not personally briefed until April 27 (24+ hours after accident); Politburo full briefing April 28 only after Sweden's Forsmark contamination forced TASS to acknowledge accident; demonstrates depth of Soviet information control: even national leadership not immediately informed; contrast: US President Carter briefed within hours of TMI 1979; Soviet secrecy was systematic not individual","Gorbachev memoirs; Plokhy 2018; Marples 1988; international_response_1986_REAL.csv; INSAG-7"
"Gorbachev_speech_May_1986","televised_address_May_14_1986","N/A","1986-05-14","Mikhail Gorbachev's televised address on Chernobyl: May 14 1986 (18 days after accident); first Soviet leader to personally address Chernobyl publicly; acknowledged accident; declared it a test of glasnost (openness); criticized Western media 'disinformation campaign'; attributed accident to operator error; committed to safety improvements; crucially: did NOT reveal positive void coefficient or full extent of design flaw; speech began limited public discourse in Soviet Union","Gorbachev later (1996 speech; 2006 memoir) stated Chernobyl was more important to ending Soviet Union than Glasnost itself → demonstrated failure of Soviet secrecy model; Chernobyl became symbol of systemic Soviet opacity; May Day parade proceeding normally May 1 (3 days after accident; 5 days before Gorbachev's address) while children marched in plume areas = graphic symbol of secrecy's human cost","Gorbachev 2006 memoir; Plokhy 2018; Marples 1988; Shcherbak 1989; contamination_zones_REAL.csv"
