"parameter","value","units_or_dose","context","details","chernobyl_relevance","source"
"deterministic_effects_definition","threshold_dose_required","Gy","radiobiology_fundamentals","Deterministic (tissue reaction) effects: require minimum dose threshold before effect appears; above threshold: severity increases with dose; mechanism: cell killing → enough cells killed → organ dysfunction; threshold exists because: small number of cell deaths tolerated (cells divide; neighbors compensate); examples: ARS threshold ~0.7-1 Gy; skin erythema threshold ~2-3 Gy; cataract threshold 0.5 Gy (ICRP 118 2012 revised from 2 Gy); pneumonitis threshold ~6-7 Gy; thyroid hypothyroidism threshold ~10 Gy","Chernobyl deterministic effects (observed): ARS in 134 cases (threshold exceeded); beta burns in firefighters; acute hypothyroidism in some children (thyroid dose >10 Gy); no deterministic effects in general public (doses too low: max ~0.5 Gy thyroid in small children; <<0.7 Gy whole body); deterministic effects clearly caused by Chernobyl are ONLY in the 134 ARS cases and some firefighters with skin burns","ICRP 60 1990; ICRP 103 2007; ICRP 118 2012 lens; ars_cases_REAL.csv; liquidator_noncancer_effects_REAL.csv"
"stochastic_effects_definition","no_threshold_LNT_model","mSv","radiobiology_fundamentals","Stochastic effects: cancer and heritable effects; no confirmed dose threshold; probability of occurrence increases with dose; severity NOT dose-dependent (a cancer is a cancer regardless of dose that caused it); mechanism: DNA damage in single cell → mutations → cancer decades later; LNT (Linear No-Threshold) model: cancer risk ∝ dose, all the way down to zero dose; ICRP 103: excess relative risk 5%/Sv for cancer mortality (5.5%/Sv for cancer incidence) based on A-bomb survivor data","LNT implications for Chernobyl: European population (~500M) × average 1-2 mSv lifetime additional dose = 500,000 person-Sv × 5% = 25,000 excess cancers (IARC estimate); vs UNSCEAR's 6,600 (restricted to most-exposed FSU populations); contrast with observable: only thyroid cancer (~6,000 cases) and leukemia (~100-200 cases) statistically confirmed; LNT extrapolation to low doses = major uncertainty source","ICRP 103; BEIR VII 2006; UNSCEAR 2008; contested_radiation_science_REAL.csv; chernobyl_health_registry_populations_REAL.csv"
"LNT_model_derivation","A_bomb_survivor_data_basis","Sv","epidemiology","LNT basis: atomic bomb survivor cohort (Life Span Study; n=120,000); dose range 0-2+ Sv; significant excess cancer mortality above ~0.1 Sv; for lower doses (<0.1 Sv): statistically uncertain (95% CI crosses zero); ICRP extrapolates LNT from high-dose data to low doses: excess relative risk = 0.05/Sv for fatal cancer at all doses; DDREF (Dose and Dose-Rate Effectiveness Factor) = 1.5-2.0x: divides high-dose RR to get low-dose/rate RR; uncertainty range: risk could be 0 (threshold) or 2x LNT","LNT at low doses: largest uncertainty in Chernobyl health assessment; at doses <20 mSv: no direct evidence of excess cancer risk in any population (too small to detect given natural cancer background ~40% lifetime risk); LNT is extrapolation policy choice for radiation protection (conservative; precautionary) not established biological fact at <100 mSv; this is the root of UNSCEAR vs Greenpeace cancer projection disagreements","BEIR VII 2006; Cologne 2012 ICRP 2007 111; Preston 2004 RERF; contested_radiation_science_REAL.csv"
"ARS_dose_response_confirmed","threshold_0.7_Gy","Gy","confirmed_deterministic","ARS dose-response (confirmed deterministic; threshold clearly established): <0.7 Gy: no clinical ARS; 0.7-1 Gy: hematopoietic syndrome possible; 1-2 Gy: degree I ARS; 2-4 Gy: degree II ARS; 4-6 Gy: degree III; >6 Gy: degree IV; >8 Gy: likely fatal without intensive care + BMT; LD50 ~3.5 Gy for untreated; with modern treatment ~5-6 Gy; no threshold debate for ARS: above threshold = clinical syndrome; below = none; threshold IS a firm experimental and clinical finding","ARS threshold 0.7 Gy perfectly illustrates deterministic effect: firefighters receiving 5+ Gy all developed ARS; those receiving <1 Gy did not; general public (<10 mGy) zero ARS cases; ARS is the strongest confirmation that radiation causes harm ABOVE a dose threshold; the same physics that causes ARS at 5 Gy may cause cancer at 0.1 Gy (stochastic LNT) but we cannot observe it due to background cancer noise","ars_cases_REAL.csv; Guskova 1988; ICRP 103; radiation_dose_limits_REAL.csv"
"cataract_threshold_revision","ICRP_118_revised_to_0.5_Gy","Gy","deterministic_lens_dose","Lens opacification (cataract) threshold: ICRP 60 (1990): threshold 2 Gy (acute); ICRP 118 (2012): revised DOWN to 0.5 Gy; basis: Chernobyl liquidator data (Worgul 2007 n=8607); also: astronaut cosmic ray data; occupational radiology data; mechanism: lens epithelial cells highly radiosensitive; radiation-induced posterior subcapsular cataract (PSC); PSC is lens damage unique pattern distinguishable from senile cataract","ICRP 118 revision had major regulatory impact: occupational eye dose limit reduced from 150 mSv/yr → 20 mSv/yr averaged over 5 years; this change made necessary by Chernobyl Worgul study showing excess cataracts at <1 Gy; Chernobyl liquidator data was KEY to changing international radiation protection standard; illustrates how epidemiology from Chernobyl improved global radiation protection","ICRP 118 2012; Worgul 2007 PMID:17267613; liquidator_noncancer_effects_REAL.csv; radiation_dose_limits_REAL.csv"
"cardiovascular_disease_dose_response","ERR_per_Gy_0.47","ERR/Gy","liquidator_epidemiology","Cardiovascular disease (CVD) and radiation: RNMDR Russian liquidator study (Kashcheev 2015; n=53,772): ERR for circulatory disease = 0.47 (95% CI 0.31-0.63) per Gy; confirms dose-response for CVD from low-to-moderate dose; mechanism uncertain: endothelial damage; chronic inflammation; accelerated atherosclerosis; UK National Registry Workers study: ERR/Gy CVD = 0.20-0.28 (lower dose range); A-bomb survivors: heart disease ERR/Gy = 0.14 (Little 2010)","CVD from Chernobyl: at liquidator average dose 117 mSv → ERR ≈ 0.47 × 0.117 = 5.5% excess CVD risk; at population level: 600,000 liquidators × 5.5% excess CVD = ~33,000 excess CVD cases over lifetime (very rough estimate); this would exceed the 6,600 projected cancer deaths (UNSCEAR); suggests CVD may ultimately be larger health burden than cancer from Chernobyl for liquidators; highly uncertain due to lifestyle confounders (smoking; alcohol; socioeconomic factors)","Kashcheev 2015; Ivanov 2012 PMID:22581498; Little 2010; liquidator_noncancer_effects_REAL.csv; contested_radiation_science_REAL.csv"
"threshold_vs_hormesis_debate","ICRP_retains_LNT_precautionary","qualitative","scientific_debate","Radiation hormesis hypothesis: low-dose radiation (<100 mSv) may be PROTECTIVE (reduces cancer risk below background); proposed mechanism: upregulated DNA repair; stimulated immune surveillance; adaptive response (pre-conditioning); evidence for hormesis: some animal studies; Ramsar Iran high background population; radiological workers; Cohen 1995 ecological study (radon); ICRP 103 explicitly rejects hormesis as basis for regulation (insufficient evidence)","UNSCEAR 2012 conclusion: at doses <100 mSv, data insufficient to confirm or refute LNT, threshold, or hormesis; contested_radiation_science_REAL.csv documents this debate; for Chernobyl: if hormesis true → vast majority of projected 25,000 European cancer deaths would not occur; if LNT true → they would; practically: LNT used for regulation (precautionary); hormesis has believers but not mainstream ICRP/UNSCEAR consensus","ICRP 103 2007; UNSCEAR 2012; Cohen 1995 Health Phys; Cardis 2006; contested_radiation_science_REAL.csv"
"solid_tumor_dose_response_liquidators","excess_not_established_below_200_mGy","ERR","liquidator_data","Solid tumor excess in Chernobyl liquidators: UNSCEAR 2008, 2012: NO statistically significant excess of solid tumors (except thyroid and possibly leukemia) in liquidator cohorts below ~200 mGy; reasons: (1) too few persons at high dose to detect; (2) latency period not fully elapsed; (3) confounding from alcohol, smoking, post-Soviet health decline; study reporting bias; Cardis 2006 (14-country study): ERR/Gy for solid cancers = 0.97 (95% CI 0.14-2.50); statistically significant but CI very wide","Solid tumor excess: the most contested health outcome from Chernobyl; leukemia is confirmed (latency 2-10yr; peak passed; confirmed ~100-200 excess cases); thyroid confirmed (6000+ cases); other solid tumors: possible but not confirmed at any specific excess above expected background; will take another 20-30 years of follow-up to determine; current follow-up age of 1986 young liquidators = 55-75 years (entering peak solid cancer age)","UNSCEAR 2008/2012; Cardis 2006 BMJ; contested_radiation_science_REAL.csv; liquidator_health_outcomes_REAL.csv; chernobyl_health_registry_populations_REAL.csv"
"heritable_effects_radiation","not_confirmed_in_humans","qualitative","radiation_genetics","Heritable (genetic) effects of radiation: confirmed in animal experiments (fruit flies, mice): dose-response for dominant and recessive mutations; transmitted to offspring; in humans: atomic bomb survivors (Life Span Study): NO confirmed statistically significant increase in heritable effects in children of exposed survivors at Hiroshima/Nagasaki (>0.5 Sv); for Chernobyl: UNSCEAR 2008: no confirmed increase in congenital malformations, chromosomal abnormalities, or other heritable effects in populations around CEZ","Heritable effects NOT confirmed after Chernobyl despite extensive studies: birth defects_REAL.csv; explanations: (1) A-bomb survivor data: human heritable risk lower than animal extrapolation; (2) natural background mutation rate high; (3) doses too low; (4) selection against severely mutated gametes/embryos; ICRP includes estimated heritable risk coefficient (1.3% per Sv of gonodal dose) for protection purposes but this is extrapolated not observed in humans; birth_defects_general_health_REAL.csv","UNSCEAR 2008; BEIR VII; birth_defects_general_health_REAL.csv; Neel 1990 Genetics; contested_radiation_science_REAL.csv"
"DDREF_dose_rate_effectiveness","value_1.5_to_2_for_cancer","dimensionless","risk_modeling","Dose and Dose-Rate Effectiveness Factor (DDREF): high acute dose risk coefficient / low chronic dose risk coefficient; ICRP 103 value: 1.5-2; meaning: same total dose delivered at low rate = HALF the cancer risk of same dose acute; mechanistic basis: low dose rate gives more time for DNA repair between hits; reduces probability of two separate DSBs occurring near enough for misrepair; BEIR VII recommends DDREF=1.5 for solid tumors from LSS data","DDREF application to Chernobyl: liquidators received doses over weeks-months (not instantaneous); cancer risk estimates should use DDREF-corrected LSS coefficients; UNSCEAR 2008 and BEIR VII both apply DDREF; this is one reason UNSCEAR 6,600 lower than simple LNT projection: DDREF reduces risk by 1.5-2x for chronic/protracted exposure; Chernobyl public doses: protracted inhalation + ingestion over weeks = use DDREF-corrected coefficients","ICRP 103; BEIR VII; UNSCEAR 2008; contested_radiation_science_REAL.csv; unscear_population_doses_REAL.csv"
