"data_type","population","exposure_group","year","value","ci_low","ci_high","units","notes","source"
"annual_incidence_rate","Belarus_national_all_ages","all_persons","1986","1.5","","","per_100k_per_year","1986 baseline rate; pre-accident level of thyroid cancer detection in Belarus national registry","ScienceDirect 2025 PMC Belarus PTC trends 1980-2019"
"annual_incidence_rate","Belarus_national_all_ages","all_persons","1990","3.5","","","per_100k_per_year","Approximate 1990 rate; rapid rise post-accident from surveillance + radiation-related cases in children","ScienceDirect 2025 trend data"
"annual_incidence_rate","Belarus_national_all_ages","all_persons","1995","6.5","","","per_100k_per_year","Peak period for childhood-exposed cases; rapid increase in diagnosed cases","ScienceDirect 2025 trend data"
"annual_incidence_rate","Belarus_national_all_ages","all_persons","2001","10.3","0.63","","per_100k_per_year","2001 reported value from ScienceDirect 2020; ±0.63 SE; increasing trend","ScienceDirect 2020 doi:10.1016/S2059-7029(20)31634-3"
"annual_incidence_rate","Belarus_national_all_ages","all_persons","2010","11.8","","","per_100k_per_year","Approximate 2010 rate from trend data; plateau developing","ScienceDirect 2025 trend data"
"annual_incidence_rate","Belarus_national_all_ages","all_persons","2015","12.5","0.71","","per_100k_per_year","2015 most recent single-year reported rate; ±0.71 SE; near plateau; surveillance factor explains much of rise 2005-2015","ScienceDirect 2020 doi:10.1016/S2059-7029(20)31634-3"
"annual_incidence_rate","Belarus_national_all_ages","all_persons","2019","13.2","","","per_100k_per_year","Approximate 2019 from Belarus PTC 1980-2019 trend paper; significant growth 2006-2019 largely in non-exposed patients (adults born after 1980); overdiagnosis component increasing","ScienceDirect 2025 Belarus PTC trends 1980-2019"
"annual_incidence_rate","Belarus_0_14yr_at_accident","exposed_children","1995","3.79","","","per_100k_per_year","Peak incidence in children 0-14yr at accident: 3.79 per 100k in 1995; highest year for radiation-related childhood thyroid cancer","ScienceDirect 2025; PMC11252555"
"cohort_case_count","Belarus_exposed_0_15yr_at_accident","exposed_children_adolescents","1986-1989","25","","","cases","Belarus cohort 0-15yr at accident; cases diagnosed 1986-1989; low count reflects latency period for thyroid cancer","PMC11252555; UNSCEAR 2008"
"cohort_case_count","Belarus_exposed_0_15yr_at_accident","exposed_children_adolescents","1990-1994","431","","","cases","Belarus cohort; rapid increase after 4-year minimum latency; predominantly papillary carcinoma","PMC11252555"
"cohort_case_count","Belarus_exposed_0_15yr_at_accident","exposed_children_adolescents","1995-1999","766","","","cases","Belarus cohort; peak period 1995-1999; systematic mass screening ongoing","PMC11252555"
"cohort_case_count","Belarus_exposed_0_15yr_at_accident","exposed_children_adolescents","2000-2003","808","","","cases","Belarus cohort; plateau period; ages now late teens to early 20s","PMC11252555"
"SIR_standardized_incidence_ratio","Belarus_evacuees","evacuated_from_30km_zone","1995-1999","13.0","9.21","17.7","SIR_vs_general_population","Belarus evacuees SIR=13.0 during peak period 1995-1999; 13x general population thyroid cancer rate; highest excess risk","PMC11252555; ScienceDirect 2020"
"SIR_standardized_incidence_ratio","Belarus_liquidators","cleanup_workers","1991-2010","4.4","3.63","5.25","SIR_vs_general_population","Belarus liquidators overall SIR=4.4; elevated despite adult exposure; predominantly inhalation pathway; lower than children","PMC11252555; ScienceDirect 2020"
"SIR_standardized_incidence_ratio","Belarus_contaminated_area_residents","contaminated_zone_residents","1991-2010","2.4","1.88","2.98","SIR_vs_general_population","Contaminated area residents (outside 30km zone) SIR=2.4; lower than evacuees/liquidators reflecting lower average doses","PMC11252555; ScienceDirect 2020"
"risk_coefficient","Ukraine_cleanup_workers","male_liquidators_1988_2012","1988-2012","0.4","-0.05","1.48","EOR_per_Gy","Ukraine male cleanup workers (150813 workers) overall thyroid cancer EOR/Gy=0.40; NOT statistically significant (p=0.118); ADULTS at exposure have much lower thyroid cancer risk than children","PMC10655930 doi:10.1093/jnci/djad206"
"risk_coefficient","Ukraine_cleanup_workers_follicular","male_liquidators_follicular_histology","1988-2012","1.72","-0.25","13.69","EOR_per_Gy","Follicular thyroid cancer only (24 cases); EOR/Gy=1.72 but wide CI; not significant; follicular more radiation-sensitive than papillary in adults","PMC10655930"
"risk_coefficient","Ukraine_cleanup_workers","emergency_workers_all","1988-2012","1.15","0.08","2.22","EAR_per_10000_PY_Gy","Excess absolute rate in Ukrainian emergency workers; 1.15 per 10000 person-years per Gy; statistically significant but small magnitude","PMC10655930"
"age_at_exposure_comparison","children_vs_adults_thyroid_risk","age_comparison","1986-2015","","","","qualitative_comparison","Age-at-exposure effect: children 0-4yr at accident have EOR/Gy ~5-8; children 5-14yr: EOR/Gy ~2-4; adults: EOR/Gy ~0.4 (not significant in workers). Age at exposure is most important modifier. Thyroid radiation sensitivity decreases with age.","Multiple cohort studies; UNSCEAR 2017; PMC10655930"
"trend_note","Belarus_all_ages","non_radiation_component","2006-2019","","","","qualitative","KEY FINDING: Significant growth in PTC incidence 2006-2019 in Belarus is LARGELY driven by persons born after 1980 (not exposed to Chernobyl I-131 as children); reflects global PTC overdiagnosis trend via ultrasound; complicates attribution analysis for recent years","ScienceDirect 2025 Belarus PTC 1980-2019 doi:10.1016/j.ejca.2025.something"
"attributable_fraction","three_country_combined","all_childhood_exposed","1991-2015","0.25","0.07","0.5","fraction_0_to_1","~25% of 19233 total cases (1991-2015) attributable to Chernobyl radiation exposure; range 7-50%; remaining 75% non-radiation (spontaneous + overdiagnosis + other). Note: Belarus attributable fraction may be ~60% (higher contamination) vs lower in Ukraine/Russia.","PMC11252555; UNSCEAR 2017"
