"category","radionuclide","crop_or_product","value_low","value_high","units","region_district","year_range","exceedance_rate","permissible_level_Bq_kg","notes","source"
"grain_Sr90","Sr-90","wheat_rye_barley_oat_triticale","1","70","Bq_per_kg","Ivankiv_district_Kyiv_region","2011-2019","45_percent_exceed_20_Bq/kg_limit","20","116 grain samples from 13 settlements ~50 km south of Chernobyl; sandy Podzoluvisol soils with low exchangeable calcium; Sr-90 transfer factor 3x higher than IAEA standard values","Environ Int 2021 doi:10.1016/j.envint.2020.106282 PMID:33395933; ScienceDaily 2020"
"grain_Sr90","Sr-90","barley","24","24","Bq_per_kg","Ivankiv_district_Kyiv_region","2018","exceeds_20_Bq/kg","20","Single 2018 barley measurement 24 Bq/kg = 20% above Ukrainian permissible level; from field within 50 km of reactor","Environ Int 2021 doi:10.1016/j.envint.2020.106282 PMID:33395933"
"grain_Sr90_annual","Sr-90","grain_annual_averages","","","Bq_per_kg","Ivankiv_district","2011-2019","67% exceed limit in 2018; 43% in 2019; 4 of 9 years above limit","20","Annual averages for 2018 and 2019 exceeded Ukrainian permissible levels; 2018 was worst year in study period; indicates continued elevated Sr-90 in food near Chernobyl despite 33 years since accident","Environ Int 2021 PMID:33395933; ukraine_solid_tumor_incidence_REAL.csv"
"grain_Sr90","Sr-90","grain_Dytiatky_field","above_limit","above_limit","Bq_per_kg","Dytiatky_checkpoint_area_CEZ_boundary","2019","exceeded_permissible","20","Dytiatky is the main entrance checkpoint to CEZ; grain fields in this area still producing contaminated grain in 2019; suggests CEZ-boundary agriculture still risky","Environ Int 2021 PMID:33395933"
"grain_transfer_factor","Sr-90","grain_sandy_soil","3x_higher","3x_higher","fold_vs_IAEA_standard","Ivankiv_sandy_Podzoluvisol","2011-2019","N/A","N/A","Sandy soils low in exchangeable calcium → higher Sr-90 plant uptake; Ca/Sr discrimination ratio lower in Ca-poor soils; liming would significantly reduce transfer; soil type more important than total Sr-90 activity","Environ Int 2021 PMID:33395933; soil_plant_transfer_factors_REAL.csv"
"milk_Cs137","Cs-137","fresh_cow_milk_small_farm","above_limit","above_limit","Bq_per_liter","6_settlements_Rivne_region","2016","above_Ukrainian_adult_limit","37_Bq/L_adult_100_Bq/L_child","2016 milk monitoring: Cs-137 exceeded Ukrainian permissible level in 6 settlements (adult limit) and 8 settlements (child limit) in Rivne region; small private farms where cows graze on forest margins","Radiation monitoring Volyn region PMID:33354965; food_agricultural_contamination_REAL.csv"
"soil_Cs137","Cs-137","agricultural_soil","0.01","2.826","Ci_per_km2","Volyn_region","2013-2022","varies","N/A","Soil Cs-137 density 0.01-2.826 Ci/km² across Volyn region; Sr-90 0.01-0.048 Ci/km²; continuing monitoring program; Volyn oblast agricultural restrictions ongoing for forest-edge fields","PMID:33354965 radiation monitoring Volyn; contamination_zones_REAL.csv"
"firewood_Cs137","Cs-137","firewood_forest_residue","elevated","elevated","qualitative","Zhytomyr_region","2020-2024","above_limits","varies","Cs-137 contamination of firewood documented in Zhytomyr region through 2024; burning contaminated wood releases Cs-137 to chimney ash; households using wood heating at risk; health physics concern for rural heating practices","Radiation monitoring Zhytomyr region; ongoing Ukrainian monitoring"
"combined_grain","Sr-90_plus_Cs137","combined_limit","above_limit","above_limit","combined_activity","Ivankiv_district","2011-2019","50_percent_of_samples","20+37","Combined Sr-90+Cs-137 activity exceeded Ukrainian limits in nearly 50% of all samples over 9-year study period; 4 of 9 years with average exceedance; persisting hazard 25-33 years post-accident in zone just outside CEZ","Environ Int 2021 PMID:33395933"
"mushrooms_Cs137","Cs-137","forest_mushrooms_multiple_species","500","50000","Bq_per_kg_fresh","Multiple_affected_regions_Ukraine_Belarus_Russia","2010-2024","many_species_exceed_1250_EU_limit","600_Bq/kg_EU_or_2500_Belarus","Forest mushrooms remain the highest contaminated food item decades after accident; some species (Cortinarius) >10000 Bq/kg in contaminated forest areas; Fv=0.03-16.7 for different species; primary ongoing public health food concern in rural communities","Multiple CEZ ecology studies; soil_plant_transfer_factors_REAL.csv; cez_wildlife_contamination_REAL.csv"
