"parameter","value","units_or_location","period_or_context","details","safety_or_significance","source"
"Ukraine_nuclear_overview","15_operating_reactors_4_sites","N/A","2025","Ukraine nuclear fleet: 15 operating VVER reactors at 4 sites; total capacity ~13.8 GWe; provides ~55-60% of Ukraine's electricity (2019 baseline); under normal conditions; 2022-2025 war disrupted generation significantly; Westinghouse fuel supply from 2022 fully replacing Russian TVEL fuel; all are VVER-1000 design (PWR analog; negative void coefficient)","15 operating VVER = none can have RBMK-type prompt criticality; negative void coefficient → self-limiting physics; containment buildings at all sites; fundamentally safer than Chernobyl RBMK design; war creates external threats to safety systems not inherent reactor physics vulnerabilities","IAEA PRIS database 2025; Energoatom annual reports; WNA Ukraine 2025; SNRIU"
"Khmelnytsky_NPP","2_operating_VVER-1000","Khmelnytsky_Khmelnytsky_Oblast_NW_Ukraine","1987-present","Khmelnytsky NPP (KhNPP): Unit 1 first power 1987; Unit 2 first power 2004; 2 × VVER-1000 (950 MWe net each); total 1900 MWe capacity; remotely located in NW Ukraine away from main conflict zones; Units 3 and 4 under construction (partially completed in Soviet era; restart of construction approved; VVER-1000 design); ~50 km from Polish border","KhNPP far from Russian-controlled territory 2022-2025; no direct occupation threat; however part of national grid under attack; Units 3-4 construction represents major expansion of Ukrainian nuclear capacity to reduce dependence on Russian gas; European investment (EBRD) being sought","IAEA PRIS; WNA Ukraine; Energoatom KhNPP; SNRIU"
"Rivne_NPP","4_operating_VVER","Kuznetsovsk_Rivne_Oblast_NW_Ukraine","1980-present","Rivne NPP (RNPP): 4 units operating; Units 1-2: VVER-440/V-213 (420 MWe net each); Units 3-4: VVER-1000 (950 MWe net each); total 2740 MWe; first power Unit 1 = 1980; Unit 4 first power = 2004; oldest Ukrainian nuclear station; VVER-440 reactors slightly different design from VVER-1000 but still negative void coefficient; western Ukraine; remotely located","VVER-440 (Units 1-2) vs VVER-1000 (Units 3-4): VVER-440 has smaller reactor vessel; multiple steam generators; slightly different safety systems; both designs have negative void coefficient; VVER-440 does not have full containment building (only protective shell) — minor design difference from VVER-1000; no fuel incidents 2022-2025","IAEA PRIS; WNA Ukraine; NEA/CRPPH/R(2024)3; Energoatom"
"South_Ukraine_NPP","3_operating_VVER-1000","Yuzhnoukrainsk_Mykolaiv_Oblast_S_Ukraine","1982-present","South Ukraine NPP (SUNPP): 3 × VVER-1000 (950 MWe net each); total 2850 MWe; Unit 1 first power 1982; Unit 3 first power 1989; southern Ukraine near Mykolaiv; not under occupation; Yuzhnoukrainsk ~200 km from front line 2022-2024; NPP on Southern Bug River; Unit 4 construction began but stopped","South Ukraine NPP on Southern Bug River = cooling water supply; unlike ZNPP (Kakhovka Reservoir) this plant not in immediate war zone threat as of 2025; however Russian missile/drone strikes have hit Ukrainian energy infrastructure broadly; national grid instability causes forced load-following which stresses VVER reactors (designed for baseload)","IAEA PRIS; Energoatom SUNPP; SNRIU annual report 2023"
"Zaporizhzhia_NPP_fleet_context","6_VVER-1000_under_Russian_occupation","Enerhodar_Zaporizhzhia_Oblast","2022-present","ZNPP under Russian occupation: see zaporizhzhia_npp_2022_2025_REAL.csv; largest capacity 6000 MWe; before 2022 ZNPP provided ~20% of Ukraine electricity alone; occupation removes these 6 units from Ukrainian grid = approximately 1/3 of Ukraine's pre-war nuclear capacity; Russian forces have operated site with non-Ukrainian staff from 2023","Loss of ZNPP capacity forced Ukraine to: (1) reduce electricity exports; (2) increase thermal generation (gas/coal); (3) accelerate other NPP fuel switch to Westinghouse; ZNPP in cold shutdown since Sep 2022 = 0 MWe generation; war's single largest energy impact on Ukraine","zaporizhzhia_npp_2022_2025_REAL.csv; Energoatom; NEA report 2024; IEA Ukraine 2022"
"Westinghouse_fuel_switch","full_transition_2022_to_2024","N/A","2022-2024","Ukraine completed transition from Russian TVEL nuclear fuel to Westinghouse AP1000 fuel assemblies for VVER-1000 reactors: partial switch began 2015 (South Ukraine NPP); accelerated 2022 after Russian invasion; full transition completed by 2023 for VVER-1000 units; Westinghouse VVER fuel manufactured in Sweden (Västerås); also UK (Springfields); compatibility engineering required adapting Westinghouse fuel geometry to Soviet reactor design","Pre-2022: Russia (TVEL/Rosatom) supplied 100% of Ukrainian reactor fuel; post-2022: complete independence from Russian fuel supply; political/energy security imperative; technical challenge: VVER-1000 fuel designed by Russians → Westinghouse required requalification; first Westinghouse fuel cycles showed some fuel rod vibration issues (remedied by 2019 design changes); now routine","Westinghouse press release 2022-2023; SNRIU; Energoatom; WNA Ukraine; NEA 2024"
"total_Ukraine_nuclear_capacity_2025","13800_MWe_installed_including_ZNPP","MWe","2025_war_context","Installed nuclear capacity Ukraine: 15 reactors total 13,800 MWe; available without ZNPP (6×1000=6000 MWe occupied): 7,800 MWe from 9 operating units at 3 sites; actual available capacity 2022-2025 further reduced by Russian missile strikes on switchgear/transformer stations forcing emergency shutdowns; lowest available: ~4000 MWe winter 2022-23","Ukraine 2021 (pre-war): 85 TWh nuclear generation = 55% of total electricity; 2022: grid attacks caused rolling blackouts; nuclear capacity factor fell; nuclear still provided ~50% of available generation; October-November 2023 strikes specifically targeted NPP switchyard transformers (not reactors; same threat as ZNPP external power supply vulnerability)","IAEA PRIS; IEA 2022; Ukrainian Energy Ministry; NEA/CRPPH/R(2024)3"
"SNRIU_regulatory_authority","State_Nuclear_Regulatory_Inspectorate_of_Ukraine","N/A","1990-present","SNRIU (Derzhatomrehulyuvannya): Ukrainian nuclear safety regulator; established post-independence; IAEA member; WANO member; oversees licensing of all nuclear facilities; during 2022-2025 war: SNRIU jurisdiction over ZNPP technically maintained (under international law) but physically inaccessible; SNRIU continued oversight of 3 unoccupied NPP sites","SNRIU working with IAEA to maintain regulatory standards at non-occupied plants despite wartime conditions; loss of ZNPP to Russian control = regulatory gap that IAEA monitoring partially fills; SNRIU publishes annual safety reports; SNRIU-IAEA cooperation agreement for post-war NPP return assessment","SNRIU annual reports; IAEA SNRIU partnership; WNA Ukraine"
"Ukraine_electricity_nuclear_fraction","55_to_60_percent_prewar","percent_total_generation","2019-2021_baseline","Ukraine nuclear electricity share: 55-60% pre-war (highest fraction in Europe after France); 85 TWh/year from nuclear (2019); total generation ~160 TWh/year; nuclear = baseload; renewables: 7%; hydro: 7%; gas/coal: remainder; this high nuclear fraction was deliberate policy for energy independence from Russian gas","High nuclear fraction = Ukraine extremely exposed when ZNPP occupied (lost ~25% total national generation) AND grid attacks hit remaining nuclear infrastructure; shows strategic value of nuclear to Ukraine and why ZNPP occupation was not just a safety issue but an energy warfare tool","IEA Ukraine 2022; Energoatom annual report 2021; IAEA PRIS; WNA Ukraine 2025"
"Energoatom_operator","state_nuclear_generating_company","N/A","1996-present","Energoatom (National Nuclear Energy Generating Company of Ukraine): state-owned enterprise operating all 4 NPP sites; 4 sites × capacity 13,800 MWe total; 35,000+ employees pre-war; responsible for: fuel procurement; operations; maintenance; decommissioning; Chernobyl site management; transformed to company structure 1996 from Ministry of Energy","Energoatom headquarters Kyiv; continued operations 2022-2025 from non-occupied sites; worked with IAEA and Westinghouse to maintain fuel supply; ZNPP Energoatom operators remained on-site under Russian occupation through 2022-2023 (under coercion); some relocated to Energoatom-run facilities in other cities","Energoatom corporate; WNA Ukraine; IAEA DG reports"
