country,year,n_workers_with_recorded_doses,pct_of_total,avg_external_dose_mGy,median_dose_mGy,p75_dose_mGy,p95_dose_mGy,collective_dose_man_Gy,notes,source
All countries,1986,305826,58.1,146,44,,,535,Most workers; highest average doses; graphite fire period,UNSCEAR 2008 pp.82/Table on page 122
All countries,1987,138173,26.3,96,,,13,240,Second year; dose declining,UNSCEAR 2008 Table p.122
All countries,1988,51278,9.7,43,,,2,200,Declining access; safer conditions,UNSCEAR 2008 Table p.122
All countries,1989,24128,4.6,41,,,993,993,Low doses; mostly administrative,UNSCEAR 2008 Table p.122
All countries,1990,5766,1.1,47,,,271,271,,UNSCEAR 2008 Table p.122
All countries,total_1986_1991,526250,100,110,,61,256,,,UNSCEAR 2008 Table p.122
Belarus,dose_<10mGy,2196,25,4.7,,,,2.7% of collective,,UNSCEAR 2008 Table p.83
Belarus,dose_10-20mGy,1791,20,16,,,,7.7% of collective,,UNSCEAR 2008 Table p.83
Belarus,dose_20-50mGy,1858,21,33,,,,15.9% of collective,,UNSCEAR 2008 Table p.83
Belarus,dose_50-100mGy,1865,21,75,,,,36.8% of collective,,UNSCEAR 2008 Table p.83
Belarus,dose_100-200mGy,1032,12,120,,,,33.1% of collective,,UNSCEAR 2008 Table p.83
Belarus,dose_200-500mGy,48,1,260,,,,3.3% of collective,,UNSCEAR 2008 Table p.83
Belarus,dose_500-1000mGy,3,0.03,630,,,,0.5% of collective,,UNSCEAR 2008 Table p.83
Belarus,dose_>1000mGy,0,0,,,,,0%,,UNSCEAR 2008 Table p.83
Belarus,total,8793,100,43,,,,100%,,UNSCEAR 2008 Table p.83
Russian Federation,dose_<10mGy,17297,13,4.5,,,,0.5% of collective,,UNSCEAR 2008 Table p.83
Russian Federation,dose_10-20mGy,8300,6,14,,,,0.8% of collective,,UNSCEAR 2008 Table p.83
Russian Federation,dose_20-50mGy,21347,16,36,,,,5.4% of collective,,UNSCEAR 2008 Table p.83
Russian Federation,dose_50-100mGy,33656,25,81,,,,19.0% of collective,,UNSCEAR 2008 Table p.83
Russian Federation,dose_100-200mGy,27185,20,150,,,,27.6% of collective,,UNSCEAR 2008 Table p.83
Russian Federation,dose_200-500mGy,25945,19,230,,,,41.7% of collective,,UNSCEAR 2008 Table p.83
Russian Federation,dose_500-1000mGy,401,0.3,610,,,,1.7% of collective,,UNSCEAR 2008 Table p.83
Russian Federation,dose_>1000mGy,51,0.04,9400,,,,3.3% of collective,51 workers received >1000 mGy — extreme doses,UNSCEAR 2008 Table p.83
Russian Federation,total,134182,100,107,,,,100%,,UNSCEAR 2008 Table p.83
Ukraine,dose_<10mGy,3426,3.6,5.0,,,,0.1% of collective,,UNSCEAR 2008 Table p.83
Ukraine,dose_10-20mGy,2164,2.4,16,,,,0.3% of collective,,UNSCEAR 2008 Table p.83
Ukraine,dose_20-50mGy,23796,26,43,,,,8.5% of collective,,UNSCEAR 2008 Table p.83
Ukraine,dose_50-100mGy,23592,26,86,,,,17.0% of collective,,UNSCEAR 2008 Table p.83
Ukraine,dose_100-200mGy,16357,18,160,,,,22.4% of collective,,UNSCEAR 2008 Table p.83
Ukraine,dose_200-500mGy,20755,23,240,,,,41.1% of collective,,UNSCEAR 2008 Table p.83
Ukraine,dose_500-1000mGy,129,0.1,710,,,,0.8% of collective,,UNSCEAR 2008 Table p.83
